Dx,Dt,iNstep,thrCrossTimeStep,avalStatus,computeTime,streamer,nCluster,size,finalChargesTot,ElecThr,ElecThrReachedTime,ElecMax,InducedChargeThr,InducedChargeThrTime,ChargeMax
0.0002,0.014960096399715723,500,-1,6,5196.0,1,12,1,2.511658982831846e-12,18724528.0,261,562195455.0,1e-14,287,1.2172112690530634e-13
0.0002,0.014960096399715723,500,-1,6,6039.0,0,4,1,2.9356373729610744e-12,18724528.0,318,408460847.0,1e-14,345,8.843599525993308e-14
0.0002,0.014960096399715723,500,401,6,6398.0,1,6,1,3.0628531636955262e-12,18724528.0,301,578742224.0,1e-14,327,1.2530367342255227e-13
0.0002,0.014960096399715723,500,403,6,6427.0,1,10,1,3.0865780385266443e-12,18724528.0,299,601748889.0,1e-14,324,1.3028485419380714e-13
0.0002,0.014960096399715723,500,-1,6,4564.0,1,12,1,2.181214997172725e-12,18724528.0,284,601101906.0,1e-14,307,1.3014477568703847e-13
0.0002,0.014960096399715723,500,-1,6,5927.0,0,7,1,2.8329891334726332e-12,18724528.0,319,364248615.0,1e-14,341,7.886359005071832e-14
0.0002,0.014960096399715723,500,-1,6,4784.0,0,11,1,2.279765180549282e-12,18724528.0,292,335526496.0,1e-14,316,7.26449544130675e-14
0.0002,0.014960096399715723,500,-1,6,5334.0,1,6,1,2.5559676550988184e-12,18724528.0,307,564096720.0,1e-14,329,1.221327704294355e-13
0.0002,0.014960096399715723,500,-1,6,2182.0,0,2,1,1.0405107949902956e-12,18724528.0,347,407013578.0,1e-14,558,8.812264656234333e-14
0.0002,0.014960096399715723,500,-1,6,4031.0,0,11,1,1.9078415317629872e-12,18724528.0,281,469536179.0,1e-14,308,1.0165943591751665e-13
0.0002,0.014960096399715723,500,-1,6,5405.0,1,10,1,2.569437372799529e-12,18724528.0,286,820440754.0,1e-14,309,1.776339033831556e-13
0.0002,0.014960096399715723,500,-1,6,6263.0,0,7,1,2.950091628979088e-12,18724528.0,285,448953447.0,1e-14,318,9.720306169472982e-14
0.0002,0.014960096399715723,500,-1,6,3897.0,1,6,1,1.8156276405039341e-12,18724528.0,309,564342963.0,1e-14,340,1.2218608458412308e-13
0.0002,0.014960096399715723,500,-1,6,2474.0,0,5,1,1.1289866980849058e-12,18724528.0,350,357716158.0,1e-14,583,7.744924559021307e-14
0.0002,0.014960096399715723,500,-1,6,3118.0,0,5,1,1.4687525622452383e-12,18724528.0,310,217488211.0,1e-14,336,4.70884456572831e-14
0.0002,0.014960096399715723,500,-1,6,5837.0,1,8,1,2.7472090440911458e-12,18724528.0,298,544950082.0,1e-14,319,1.1798732540123274e-13
0.0002,0.014960096399715723,500,-1,6,5005.0,0,10,1,2.3084294332020032e-12,18724528.0,301,334743671.0,1e-14,324,7.247546470922481e-14
0.0002,0.014960096399715723,500,-1,6,3043.0,0,9,1,1.4010293844460047e-12,18724528.0,295,370684189.0,1e-14,375,8.025695834033299e-14
0.0002,0.014960096399715723,500,-1,6,5947.0,1,9,1,2.8128228976544346e-12,18724528.0,294,929757507.0,1e-14,326,2.013021103144781e-13
0.0002,0.014960096399715723,500,397,6,6474.0,1,9,1,3.0181824835485027e-12,18724528.0,289,769423630.0,1e-14,315,1.665881687200254e-13
0.0002,0.014960096399715723,500,-1,6,6333.0,0,4,1,2.9114959963303994e-12,18724528.0,328,391267368.0,1e-14,360,8.471342934324001e-14
0.0002,0.014960096399715723,500,-1,6,3057.0,0,8,1,1.4322625805181337e-12,18724528.0,318,381562293.0,1e-14,349,8.26121802932979e-14
