Dx,Dt,iNstep,thrCrossTimeStep,avalStatus,computeTime,streamer,nCluster,size,finalChargesTot,ElecThr,ElecThrReachedTime,ElecMax,ChargeMax
0.0002,0.016152421797442428,500,-1,0,4004.0,0,3,1483,1.3967776625047033e-12,18724528.0,519,50980431.0,1.1037790249368368e-14
0.0002,0.016152421797442428,500,-1,0,4625.0,0,6,1200,1.6509414912702465e-12,18724528.0,517,43159150.0,9.34440207147379e-15
0.0002,0.016152421797442428,500,725,4,7686.0,0,8,725,3.015949026575527e-12,18724528.0,461,267487115.0,5.791372516600883e-14
0.0002,0.016152421797442428,500,621,4,7688.0,0,7,621,3.001149357978214e-12,18724528.0,469,138979519.0,3.0090502367076996e-14
0.0002,0.016152421797442428,500,-1,0,5511.0,0,5,1298,2.012026343807537e-12,18724528.0,544,43642099.0,9.44896552177381e-15
0.0002,0.016152421797442428,500,-1,0,2221.0,0,6,993,7.580746942769727e-13,18724528.0,456,28062504.0,6.0758221723166855e-15
0.0002,0.016152421797442428,500,680,4,8056.0,0,5,680,3.031699018578247e-12,18724528.0,474,241636496.0,5.2316798958414806e-14
0.0002,0.016152421797442428,500,765,4,7950.0,0,9,765,3.0161210407898896e-12,18724528.0,520,181075437.0,3.9204703720898587e-14
0.0002,0.016152421797442428,500,620,4,7888.0,1,13,620,3.0614281476570686e-12,18724528.0,435,635351829.0,1.375602380265197e-13
0.0002,0.016152421797442428,500,735,4,7679.0,0,5,735,3.0052918744876116e-12,18724528.0,488,95674259.0,2.07144659703984e-14
0.0002,0.016152421797442428,500,-1,0,1869.0,0,3,972,6.104963209958361e-13,18724528.0,539,27764719.0,6.011348641886778e-15
0.0002,0.016152421797442428,500,-1,0,6750.0,0,7,1321,2.370759421236408e-12,18724528.0,465,58816632.0,1.2734408761477268e-14
0.0002,0.016152421797442428,500,-1,0,1862.0,0,2,1050,6.788836598397421e-13,18724528.0,562,34938115.0,7.564463020689462e-15
0.0002,0.016152421797442428,500,-1,4,4623.0,1,8,823,1.868589076903975e-12,18724528.0,481,732106487.0,1.5850862154750967e-13
0.0002,0.016152421797442428,500,-1,4,6506.0,1,6,1238,2.634389346471041e-12,18724528.0,490,657144208.0,1.4227851332781592e-13
0.0002,0.016152421797442428,500,601,4,7617.0,0,12,601,3.0098033018761073e-12,18724528.0,435,120490516.0,2.6087442113742865e-14
0.0002,0.016152421797442428,500,825,4,7709.0,0,7,825,3.0013971538413497e-12,18724528.0,468,74383994.0,1.6104903539993124e-14
0.0002,0.016152421797442428,500,537,4,7444.0,0,10,537,3.0000372329344936e-12,18724528.0,412,188763323.0,4.0869210502511645e-14
0.0002,0.016152421797442428,500,-1,0,1838.0,0,7,889,5.903289417865501e-13,18724528.0,447,30022151.0,6.500106002886966e-15
0.0002,0.016152421797442428,500,-1,0,5728.0,0,7,1187,2.085136375413121e-12,18724528.0,494,71120888.0,1.5398407363264933e-14
0.0002,0.016152421797442428,500,718,4,7877.0,0,8,718,3.001705162744518e-12,18724528.0,446,93110836.0,2.0159458395150445e-14
0.0002,0.016152421797442428,500,-1,4,6669.0,1,10,690,2.7774292134159512e-12,18724528.0,430,542993417.0,1.175636872044846e-13
0.0002,0.016152421797442428,500,-1,0,3301.0,0,6,1058,1.2015069462250656e-12,18724528.0,460,39011422.0,8.446376088220881e-15
0.0002,0.016152421797442428,500,550,4,7601.0,0,13,550,3.003056977287882e-12,18724528.0,398,142541468.0,3.0861701142170674e-14
0.0002,0.016152421797442428,500,-1,0,741.0,0,5,779,2.3229386401928443e-13,18724528.0,-1,9061974.0,1.962011036298019e-15
0.0002,0.016152421797442428,500,670,4,7533.0,0,9,670,3.0219381891867668e-12,18724528.0,419,187311394.0,4.0554852866755756e-14
0.0002,0.016152421797442428,500,786,4,7497.0,1,5,786,3.1232919733491426e-12,18724528.0,474,649021596.0,1.4051988387383977e-13
0.0002,0.016152421797442428,500,-1,6,6053.0,0,9,1,2.4008646515025847e-12,18724528.0,458,457806311.0,9.911979825464996e-14
0.0002,0.016152421797442428,500,627,4,7644.0,0,11,627,3.001266359730813e-12,18724528.0,450,127274308.0,2.7556203199567032e-14
0.0002,0.016152421797442428,500,-1,0,5799.0,0,9,1231,2.111957696848351e-12,18724528.0,477,51453044.0,1.114011584883465e-14
0.0002,0.016152421797442428,500,739,4,7673.0,0,7,739,3.0003239387361654e-12,18724528.0,445,92783506.0,2.0088588066841e-14
0.0002,0.016152421797442428,500,-1,0,1245.0,0,6,893,4.1855336057088243e-13,18724528.0,486,19257182.0,4.169378946794545e-15
0.0002,0.016152421797442428,500,-1,6,5187.0,0,8,1,2.0267286981536196e-12,18724528.0,468,445983039.0,9.655993766035194e-14
0.0002,0.016152421797442428,500,650,4,7548.0,0,4,650,3.0096862574709726e-12,18724528.0,462,96922078.0,2.0984631681456772e-14
