Dx,Dt,iNstep,thrCrossTimeStep,avalStatus,computeTime,streamer,classicStreamer,elecLimit,nCluster,size,finalChargesTot,ElecThr,ElecThrReachedTime,ElecMax,InducedChargeThr,InducedChargeThrTime,ChargeMax
0.0005,0.045593585878806804,200,39,4,129.0,1,1,1,7,39,4.704380909613386e-12,18724528.0,38,8578195268.0,1e-14,38,4.646003519984798e-12
0.0005,0.045593585878806804,200,171,4,1702.0,1,1,1,6,171,6.855827241729118e-12,18724528.0,148,10704386701.0,1e-14,148,5.794025905438413e-12
0.0005,0.045593585878806804,200,-1,4,1947.0,1,1,1,8,179,2.8532150354257624e-12,18724528.0,157,3474247215.0,1e-14,156,1.8805260803710247e-12
0.0005,0.045593585878806804,200,-1,4,2187.0,1,1,1,4,186,1.7481571505106235e-12,18724528.0,161,1206631125.0,1e-14,161,6.531202759991075e-13
0.0005,0.045593585878806804,200,-1,6,2821.0,1,1,0,8,1,1.416401953357507e-12,18724528.0,143,549839170.0,1e-14,143,2.976146587181067e-13
0.0005,0.045593585878806804,200,166,4,2873.0,1,1,1,9,166,3.0145380273079715e-12,18724528.0,140,2878025759.0,1e-14,140,1.5578058108277462e-12
0.0005,0.045593585878806804,200,180,4,3335.0,1,1,1,7,180,3.776879942635163e-12,18724528.0,142,3665067798.0,1e-14,142,1.98381265176232e-12
0.0005,0.045593585878806804,200,-1,4,3213.0,1,1,1,17,164,2.6243019534571028e-12,18724528.0,132,1810283454.0,1e-14,132,9.79862697568901e-13
0.0005,0.045593585878806804,200,-1,6,3501.0,1,1,0,12,1,1.804852138994832e-12,18724528.0,135,683145168.0,1e-14,135,3.6976997478961646e-13
0.0005,0.045593585878806804,200,-1,6,1972.0,1,1,0,9,1,1.0816219806920668e-12,18724528.0,119,644826433.0,1e-14,119,3.4902896930698683e-13
0.0005,0.045593585878806804,200,-1,6,2443.0,1,1,0,9,1,1.3768207310173221e-12,18724528.0,165,917136716.0,1e-14,165,4.964239465336476e-13
0.0005,0.045593585878806804,200,-1,6,1925.0,1,1,0,7,1,1.077411026239731e-12,18724528.0,154,688500812.0,1e-14,153,3.726688554955431e-13
0.0005,0.045593585878806804,200,-1,6,3141.0,1,1,0,12,1,1.73959667499086e-12,18724528.0,135,577093403.0,1e-14,135,3.1236671658426196e-13
0.0005,0.045593585878806804,200,-1,4,1972.0,1,1,1,9,160,2.132811356772538e-12,18724528.0,136,1834826194.0,1e-14,136,9.931470897832766e-13
0.0005,0.045593585878806804,200,-1,6,2627.0,1,1,0,8,1,1.4507046921346194e-12,18724528.0,143,931508366.0,1e-14,143,5.042029734624967e-13
