Dx,Dt,iNstep,thrCrossTimeStep,avalStatus,computeTime,streamer,classicStreamer,elecLimit,nCluster,size,finalChargesTot,ElecThr,ElecThrReachedTime,ElecMax,InducedChargeThr,InducedChargeThrTime,ChargeMax
0.0004,0.04186986406239115,500,533,4,8893.0,1,1,1,11,534,3.3501993394803185e-12,18724528.0,408,1289841732.0,1e-14,442,2.952220135659652e-13
0.0004,0.04186986406239115,500,514,4,9005.0,1,1,1,26,515,3.3819124816603455e-12,18724528.0,393,1084882877.0,1e-14,430,2.4831054809690196e-13
0.0004,0.04186986406239115,500,625,0,9182.0,0,0,0,16,1019,3.135604455044547e-12,18724528.0,416,113765329.0,1e-14,448,2.6038876451374184e-14
0.0004,0.04186986406239115,500,528,0,17936.0,1,0,0,11,1011,6.039424860063124e-12,18724528.0,391,210104416.0,1e-14,426,4.80891935900095e-14
0.0004,0.04186986406239115,500,508,4,9949.0,1,1,1,20,510,3.652227427831118e-12,18724528.0,395,1510690339.0,1e-14,427,3.457703628976941e-13
0.0004,0.04186986406239115,500,490,4,19322.0,1,1,1,20,612,6.938009666799349e-12,18724528.0,379,1715221409.0,1e-14,407,3.925839159284014e-13
0.0004,0.04186986406239115,500,524,4,19608.0,1,1,1,14,687,6.986098804542063e-12,18724528.0,415,1439956436.0,1e-14,443,3.295806205805027e-13
0.0004,0.04186986406239115,500,-1,6,317.0,1,0,0,18,1,1.1432572320302722e-13,18724528.0,42,410684831.0,1e-14,42,9.520980855097959e-14
0.0004,0.04186986406239115,500,500,4,21912.0,1,1,1,25,617,7.903232467606297e-12,18724528.0,394,1509749872.0,1e-14,423,3.4555510659566567e-13
0.0004,0.04186986406239115,500,521,4,21996.0,1,1,1,20,646,7.840017696177347e-12,18724528.0,407,1552383230.0,1e-14,438,3.5531312998844477e-13
0.0004,0.04186986406239115,500,489,4,20093.0,1,1,1,22,546,7.017764969534201e-12,18724528.0,383,1095683754.0,1e-14,412,2.5078267826381316e-13
0.0004,0.04186986406239115,500,520,4,10567.0,1,1,1,18,527,3.8720192724538915e-12,18724528.0,402,1136628464.0,1e-14,434,2.6015419992510376e-13
0.0004,0.04186986406239115,500,494,4,21891.0,1,1,1,25,649,7.630317347154831e-12,18724528.0,387,1102626662.0,1e-14,417,2.523717873993854e-13
0.0004,0.04186986406239115,500,570,4,10429.0,1,1,1,9,576,4.171158328065215e-12,18724528.0,437,2307267739.0,1e-14,472,5.280928743770648e-13
0.0004,0.04186986406239115,500,524,4,15524.0,1,1,1,14,683,5.6336851777417286e-12,18724528.0,390,1356151058.0,1e-14,421,3.1039904827825327e-13
0.0004,0.04186986406239115,500,-1,4,6176.0,1,1,1,12,506,2.321108677765088e-12,18724528.0,407,1177677949.0,1e-14,443,2.695497027351693e-13
0.0004,0.04186986406239115,500,-1,4,7856.0,1,1,1,21,545,2.9638199778831204e-12,18724528.0,407,1213582607.0,1e-14,474,2.7776764542393754e-13
0.0004,0.04186986406239115,500,519,0,17017.0,1,0,0,16,952,5.761550058558035e-12,18724528.0,400,241836462.0,1e-14,440,5.5352099016524137e-14
0.0004,0.04186986406239115,500,508,0,19756.0,1,0,0,21,1061,6.7130727892161774e-12,18724528.0,399,259946401.0,1e-14,428,5.949714450892477e-14
0.0004,0.04186986406239115,500,-1,6,555.0,1,1,0,22,1,1.8511119418340648e-13,18724528.0,40,706983848.0,1e-14,40,1.631770629926083e-13
0.0004,0.04186986406239115,500,497,4,22329.0,1,1,1,19,587,7.892946175497756e-12,18724528.0,390,1060542456.0,1e-14,418,2.4273945520977613e-13
0.0004,0.04186986406239115,500,519,4,12710.0,1,1,1,20,534,4.793738446106036e-12,18724528.0,403,2067292549.0,1e-14,437,4.73166787679728e-13
0.0004,0.04186986406239115,500,505,4,9790.0,1,1,1,28,507,3.5671499184245153e-12,18724528.0,399,1289429295.0,1e-14,430,2.951276140139979e-13
0.0004,0.04186986406239115,500,496,4,11398.0,1,1,1,27,505,4.291086581146868e-12,18724528.0,385,1807124619.0,1e-14,414,4.1361893909151913e-13
0.0004,0.04186986406239115,500,530,4,11490.0,1,1,1,22,536,4.147282171975291e-12,18724528.0,409,1519785446.0,1e-14,444,3.478520724094296e-13
0.0004,0.04186986406239115,500,546,4,8157.0,1,1,1,17,546,3.080541745036102e-12,18724528.0,418,1307870894.0,1e-14,453,2.9934857062835285e-13
0.0004,0.04186986406239115,500,526,0,16284.0,0,0,0,17,1121,5.275844200525734e-12,18724528.0,412,222175080.0,1e-14,442,5.0851955596192024e-14
0.0004,0.04186986406239115,500,533,0,15601.0,1,0,0,16,1160,5.0492481135502785e-12,18724528.0,410,228663507.0,1e-14,446,5.233704205005145e-14
0.0004,0.04186986406239115,500,479,4,25564.0,1,1,1,25,570,9.050568116102057e-12,18724528.0,372,1114274036.0,1e-14,404,2.550376657933992e-13
0.0004,0.04186986406239115,500,-1,0,3894.0,0,0,0,11,903,1.271188199880078e-12,18724528.0,493,55091201.0,1e-14,524,1.2609403840398696e-14
0.0004,0.04186986406239115,500,521,4,15594.0,1,1,1,21,594,5.4824055724702855e-12,18724528.0,389,1002023106.0,1e-14,426,2.2934540855198665e-13
0.0004,0.04186986406239115,500,544,0,14116.0,1,0,0,13,1100,4.568595056442325e-12,18724528.0,411,166526747.0,1e-14,444,3.811503407142827e-14
0.0004,0.04186986406239115,500,532,4,21310.0,1,1,1,19,664,7.521341194653541e-12,18724528.0,423,1254085864.0,1e-14,455,2.870381262828402e-13
0.0004,0.04186986406239115,500,517,4,12536.0,1,1,1,23,527,4.455758563379319e-12,18724528.0,403,1121202046.0,1e-14,433,2.566233650396416e-13
0.0004,0.04186986406239115,500,519,4,10642.0,1,1,1,15,523,3.8429659995905224e-12,18724528.0,406,1395843411.0,1e-14,436,3.194839275197253e-13
0.0004,0.04186986406239115,500,-1,4,77.0,1,1,1,18,43,3.1133808574834223e-13,18724528.0,42,1241778003.0,1e-14,42,2.857754102523754e-13
0.0004,0.04186986406239115,500,-1,4,8149.0,1,1,1,20,509,2.9040077372154965e-12,18724528.0,391,1152727511.0,1e-14,436,2.6383898772031907e-13
0.0004,0.04186986406239115,500,666,0,9688.0,0,0,0,11,1043,3.1163404770835116e-12,18724528.0,432,112675637.0,1e-14,468,2.578946517987818e-14
0.0004,0.04186986406239115,500,559,4,11521.0,1,1,1,19,566,4.306487071642679e-12,18724528.0,439,2362263081.0,1e-14,471,5.406803377837681e-13
0.0004,0.04186986406239115,500,520,0,16559.0,1,0,0,18,1130,5.523146973890257e-12,18724528.0,406,233900752.0,1e-14,436,5.353575502085978e-14
0.0004,0.04186986406239115,500,543,0,12845.0,0,0,0,20,1019,3.711610316328232e-12,18724528.0,400,149943566.0,1e-14,428,3.4319436546018955e-14
0.0004,0.04186986406239115,500,539,0,18502.0,1,0,0,19,1096,5.466779059961984e-12,18724528.0,418,224160070.0,1e-14,450,5.1306284782610575e-14
