Dx,Dt,iNstep,thrCrossTimeStep,avalStatus,computeTime,streamer,classicStreamer,elecLimit,nCluster,size,finalChargesTot,ElecThr,ElecThrReachedTime,ElecMax,InducedChargeThr,InducedChargeThrTime,ChargeMax
0.0002,0.018751909597866975,500,-1,4,4921.0,1,1,1,5,512,1.766260978042369e-12,18724528.0,420,1695662428.0,1e-14,460,3.671284421663421e-13
0.0002,0.018751909597866975,500,-1,4,7408.0,1,1,1,8,707,2.6702103926675447e-12,18724528.0,397,2717250052.0,1e-14,434,5.883127219748552e-13
0.0002,0.018751909597866975,500,-1,0,1148.0,0,0,0,5,797,2.5151797048226227e-13,18724528.0,-1,11038450.0,1e-14,-1,2.38993851931421e-15
0.0002,0.018751909597866975,500,500,4,10192.0,1,1,1,10,500,6.037953899863258e-12,18724528.0,374,14189740337.0,1e-14,405,3.0722254492671433e-12
0.0002,0.018751909597866975,500,-1,4,5535.0,1,1,1,8,543,2.612836227280815e-12,18724528.0,423,4914941120.0,1e-14,466,1.0641355537099252e-12
0.0002,0.018751909597866975,500,540,4,11267.0,1,1,1,11,542,3.464436667996061e-12,18724528.0,405,1213982422.0,1e-14,437,2.628397421837449e-13
0.0002,0.018751909597866975,500,580,4,14908.0,1,1,1,11,665,4.641737675940315e-12,18724528.0,421,1997326240.0,1e-14,459,4.324417754859622e-13
0.0002,0.018751909597866975,500,507,4,15370.0,1,1,1,16,552,4.572447737115795e-12,18724528.0,388,1107722759.0,1e-14,417,2.3983342683575193e-13
0.0002,0.018751909597866975,500,533,4,15416.0,1,1,1,11,604,4.722513495238777e-12,18724528.0,395,1813254533.0,1e-14,425,3.9258834834037393e-13
0.0002,0.018751909597866975,500,478,4,17360.0,1,1,1,18,552,5.2421195745553444e-12,18724528.0,368,1323328112.0,1e-14,395,2.8651421427466245e-13
0.0002,0.018751909597866975,500,538,4,10408.0,1,1,1,9,538,3.0356483688959977e-12,18724528.0,399,1095745183.0,1e-14,433,2.372401578305557e-13
0.0002,0.018751909597866975,500,588,4,10200.0,1,1,1,12,588,3.231947593061517e-12,18724528.0,410,2242136480.0,1e-14,443,4.854457228244524e-13
0.0002,0.018751909597866975,500,506,4,15127.0,1,1,1,10,553,4.31879991310403e-12,18724528.0,384,1287048586.0,1e-14,415,2.7865932190754e-13
0.0002,0.018751909597866975,500,-1,4,10728.0,1,1,1,5,598,2.8913287221286255e-12,18724528.0,438,1002622270.0,1e-14,465,2.170780846400764e-13
0.0002,0.018751909597866975,500,558,4,14921.0,1,1,1,8,591,4.820599980377144e-12,18724528.0,389,4051402942.0,1e-14,419,8.771706125723008e-13
0.0002,0.018751909597866975,500,532,6,12773.0,1,1,0,14,1,3.2682442890832724e-12,18724528.0,411,868862323.0,1e-14,442,1.8811767356091885e-13
0.0002,0.018751909597866975,500,-1,0,7768.0,1,0,0,6,1189,1.7625398653430523e-12,18724528.0,425,67717104.0,1e-14,485,1.4661452945477523e-14
0.0002,0.018751909597866975,500,774,4,13622.0,1,1,1,11,780,3.83444305237024e-12,18724528.0,430,1821623436.0,1e-14,475,3.944003023415337e-13
0.0002,0.018751909597866975,500,728,4,11274.0,1,1,1,11,728,3.0778279666376576e-12,18724528.0,400,1239564609.0,1e-14,443,2.68378550088804e-13
0.0002,0.018751909597866975,500,605,4,14306.0,1,1,1,13,615,3.809929960402078e-12,18724528.0,393,1421886345.0,1e-14,422,3.0785309042505005e-13
0.0002,0.018751909597866975,500,608,4,11933.0,1,1,1,5,608,3.2142941350669137e-12,18724528.0,432,1052461046.0,1e-14,462,2.27868694781706e-13
0.0002,0.018751909597866975,500,-1,0,1405.0,0,0,0,9,798,2.462001934325913e-13,18724528.0,-1,10473737.0,1e-14,-1,2.2676723178948545e-15
0.0002,0.018751909597866975,500,-1,4,9814.0,1,1,1,11,586,2.5676634685413427e-12,18724528.0,458,1126339780.0,1e-14,500,2.438642043092911e-13
0.0002,0.018751909597866975,500,-1,0,9640.0,1,0,0,8,1112,2.2126984291794766e-12,18724528.0,364,62872749.0,1e-14,425,1.3612600016331453e-14
0.0002,0.018751909597866975,500,564,4,13364.0,1,1,1,12,567,3.5707872978855252e-12,18724528.0,384,1440231143.0,1e-14,428,3.118249288053694e-13
0.0002,0.018751909597866975,500,780,4,13532.0,1,1,1,10,783,3.512744948259063e-12,18724528.0,480,1119243207.0,1e-14,516,2.423277229040369e-13
0.0002,0.018751909597866975,500,-1,0,734.0,0,0,0,4,759,1.1288398949836095e-13,18724528.0,-1,4619597.0,1e-14,-1,1.000190499029154e-15
