Dx,Dt,iNstep,thrCrossTimeStep,avalStatus,computeTime,streamer,nCluster,size,finalChargesTot,ElecThr,ElecThrReachedTime,ElecMax,ChargeMax
0.0002,0.018739975208964935,500,-1,0,4409.0,0,5,940,8.106876607552544e-13,6241.0,179,35050798.0,7.588860054890086e-15
0.0002,0.018739975208964935,500,-1,4,5819.0,1,13,517,1.3692179901600205e-12,6241.0,156,1007158712.0,2.1806027122210881e-13
0.0002,0.018739975208964935,500,-1,4,6624.0,1,12,475,2.16767387111552e-12,6241.0,147,4109971322.0,8.898512722098247e-13
0.0002,0.018739975208964935,500,-1,0,1679.0,0,5,842,4.738476259093611e-13,6241.0,192,18797775.0,4.069912582826544e-15
0.0002,0.018739975208964935,500,571,4,10796.0,0,9,571,3.006909163179561e-12,6241.0,173,187123505.0,4.051417295621988e-14
0.0002,0.018739975208964935,500,-1,4,6845.0,1,3,648,1.7732360421199852e-12,6241.0,232,1049633875.0,2.2725658303833748e-13
0.0002,0.018739975208964935,500,528,4,11977.0,0,16,528,3.002104980041072e-12,6241.0,173,190557800.0,4.1257733320871436e-14
0.0002,0.018739975208964935,500,518,4,13468.0,0,9,518,3.0024960685069124e-12,6241.0,173,187269160.0,4.054570876922173e-14
0.0002,0.018739975208964935,500,-1,0,5713.0,0,10,1043,2.01204111544172e-12,6241.0,161,120905124.0,2.6177209031164795e-14
0.0002,0.018739975208964935,500,551,4,14239.0,0,12,551,3.0037811246862697e-12,6241.0,152,161020983.0,3.4862707145436076e-14
0.0002,0.018739975208964935,500,-1,0,14893.0,0,9,1117,2.9886852296782766e-12,6241.0,150,130688395.0,2.829538832334707e-14
0.0002,0.018739975208964935,500,523,4,9291.0,0,13,523,3.0048015023925253e-12,6241.0,170,231534291.0,5.0129567158704816e-14
0.0002,0.018739975208964935,500,-1,0,4926.0,0,5,963,1.60123522238706e-12,6241.0,180,64983722.0,1.4069647490019549e-14
0.0002,0.018739975208964935,500,-1,4,5096.0,1,6,553,1.5781522208101096e-12,6241.0,211,2124244466.0,4.599208832520364e-13
0.0002,0.018739975208964935,500,542,4,10860.0,0,8,542,3.0077079670225037e-12,6241.0,160,155622680.0,3.369391874863853e-14
0.0002,0.018739975208964935,500,-1,4,7806.0,1,4,562,2.399210477243741e-12,6241.0,177,1039800225.0,2.2512749617193373e-13
0.0002,0.018739975208964935,500,-1,4,7878.0,1,14,521,2.0888928193516336e-12,6241.0,166,539939410.0,1.1690246312252055e-13
0.0002,0.018739975208964935,500,540,4,12047.0,0,10,540,3.002675210891071e-12,6241.0,167,167808553.0,3.6332286207309913e-14
0.0002,0.018739975208964935,500,536,4,11294.0,0,8,536,3.0147595352438844e-12,6241.0,187,202355466.0,4.381204995150378e-14
0.0002,0.018739975208964935,500,509,4,10933.0,0,10,509,3.0091514072245215e-12,6241.0,127,183128312.0,3.9649172377081077e-14
0.0002,0.018739975208964935,500,615,4,11573.0,0,7,615,3.0095728736060905e-12,6241.0,87,99054911.0,2.1446412071091572e-14
0.0002,0.018739975208964935,500,-1,4,4183.0,1,11,525,1.355052052296153e-12,6241.0,169,652328690.0,1.412359039072314e-13
0.0002,0.018739975208964935,500,-1,4,7293.0,1,7,478,1.768182468952759e-12,6241.0,133,956199432.0,2.0702706038285886e-13
0.0002,0.018739975208964935,500,-1,0,7347.0,0,11,842,1.9182932374095087e-12,6241.0,160,83667629.0,1.8114906473897216e-14
0.0002,0.018739975208964935,500,-1,4,5895.0,1,6,583,1.5321129690857522e-12,6241.0,174,660148768.0,1.4292903162319161e-13
0.0002,0.018739975208964935,500,-1,4,13219.0,1,8,604,2.5916204513296598e-12,6241.0,180,774372168.0,1.6765957834551537e-13
0.0002,0.018739975208964935,500,579,4,13542.0,0,8,579,3.013223061199985e-12,6241.0,157,147823296.0,3.2005271497573114e-14
0.0002,0.018739975208964935,500,582,4,13599.0,1,14,582,3.577272025159243e-12,6241.0,150,3918250229.0,8.483416739305641e-13
0.0002,0.018739975208964935,500,697,4,11217.0,0,14,697,3.0003171184440737e-12,6241.0,167,175412096.0,3.7978531857646836e-14
0.0002,0.018739975208964935,500,-1,0,1006.0,0,7,667,1.1133383265074905e-13,6241.0,155,4778724.0,1.0346431392787283e-15
0.0002,0.018739975208964935,500,507,4,11085.0,0,13,507,3.0018016778560957e-12,6241.0,134,173970167.0,3.766633932525178e-14
0.0002,0.018739975208964935,500,-1,4,5624.0,1,8,544,1.964351061607005e-12,6241.0,168,3124758517.0,6.765425166878908e-13
0.0002,0.018739975208964935,500,507,4,10214.0,0,12,507,3.0174312556868085e-12,6241.0,163,205727128.0,4.45420496242756e-14
0.0002,0.018739975208964935,500,-1,4,8841.0,1,8,552,1.5969395356404025e-12,6241.0,187,725429384.0,1.5706295973293164e-13
0.0002,0.018739975208964935,500,-1,4,10126.0,1,9,556,2.7494360776354695e-12,6241.0,175,637818761.0,1.3809435430292888e-13
0.0002,0.018739975208964935,500,-1,4,4166.0,1,14,464,2.3120205476827807e-12,6241.0,145,5421681527.0,1.173850089535359e-12
0.0002,0.018739975208964935,500,-1,0,3546.0,0,13,783,8.409057204033449e-13,6241.0,170,30723208.0,6.6518920895689606e-15
