Dx,Dt,iNstep,thrCrossTimeStep,avalStatus,computeTime,streamer,nCluster,size,finalChargesTot,ElecThr,ElecThrReachedTime,ElecMax,InducedChargeThr,InducedChargeThrTime,ChargeMax
0.0002,0.01951055442651065,500,-1,0,3210.0,1,10,1115,1.3857307519739359e-12,18724528.0,481,40768061.0,1e-14,-1,8.826706588484016e-15
0.0002,0.01951055442651065,500,-1,0,4976.0,1,12,1176,2.2006491974714703e-12,18724528.0,556,70302504.0,1e-14,600,1.522121876838155e-14
0.0002,0.01951055442651065,500,-1,0,5073.0,1,7,1330,2.2257505153296946e-12,18724528.0,543,66650782.0,1e-14,599,1.4430583210886868e-14
0.0002,0.01951055442651065,500,-1,0,6488.0,1,9,1299,2.924848247430825e-12,18724528.0,523,119237318.0,1e-14,564,2.5816111793586754e-14
0.0002,0.01951055442651065,500,-1,0,2941.0,1,12,1152,1.2303854248133124e-12,18724528.0,566,40827700.0,1e-14,-1,8.839619048417558e-15
0.0002,0.01951055442651065,500,-1,0,5866.0,1,9,1161,2.6870697149985645e-12,18724528.0,541,89742176.0,1e-14,580,1.943010868640753e-14
0.0002,0.01951055442651065,500,-1,0,1704.0,0,8,1118,6.907349517362195e-13,18724528.0,655,24800050.0,1e-14,-1,5.369467160327617e-15
0.0002,0.01951055442651065,500,-1,0,3412.0,0,10,1307,1.4363650943613304e-12,18724528.0,667,59663488.0,1e-14,690,1.2917761838649542e-14
0.0002,0.01951055442651065,500,-1,0,5913.0,1,7,1173,2.7407241678583226e-12,18724528.0,536,92748565.0,1e-14,578,2.0081022979187988e-14
0.0002,0.01951055442651065,500,694,0,7483.0,1,13,1273,3.4354519220211746e-12,18724528.0,483,111266863.0,1e-14,520,2.4090425902817613e-14
0.0002,0.01951055442651065,500,-1,0,2684.0,1,6,1205,1.1362417554942453e-12,18724528.0,595,40439824.0,1e-14,-1,8.755639885299768e-15
0.0002,0.01951055442651065,500,-1,0,5745.0,1,8,1459,2.562238288291804e-12,18724528.0,574,50424893.0,1e-14,671,1.0917510530282555e-14
0.0002,0.01951055442651065,500,-1,0,4521.0,1,8,1358,2.028046159001959e-12,18724528.0,609,46331821.0,1e-14,734,1.003131813595849e-14
0.0002,0.01951055442651065,500,769,6,6436.0,1,14,1,3.0795507735904893e-12,18724528.0,522,949268851.0,1e-14,573,2.055265179613119e-13
0.0002,0.01951055442651065,500,780,0,6755.0,1,12,1235,3.119660361909064e-12,18724528.0,512,93998498.0,1e-14,552,2.035164639309684e-14
0.0002,0.01951055442651065,500,-1,0,4438.0,1,3,1330,2.023682005191722e-12,18724528.0,633,46076909.0,1e-14,-1,9.976127053167392e-15
0.0002,0.01951055442651065,500,-1,0,5182.0,1,5,1266,2.3461000899598703e-12,18724528.0,510,105775409.0,1e-14,556,2.2901469351703805e-14
0.0002,0.01951055442651065,500,729,0,7023.0,1,13,1230,3.2484596494847653e-12,18724528.0,499,106950535.0,1e-14,538,2.3155896276901436e-14
0.0002,0.01951055442651065,500,-1,0,3627.0,1,10,1132,1.592618849744298e-12,18724528.0,497,56500276.0,1e-14,541,1.2232893745433843e-14
0.0002,0.01951055442651065,500,-1,0,4595.0,1,6,1269,2.1336372515795472e-12,18724528.0,556,74834478.0,1e-14,599,1.6202437982232268e-14
0.0002,0.01951055442651065,500,-1,0,4662.0,1,15,1125,2.148004465895738e-12,18724528.0,526,72146996.0,1e-14,565,1.562057035120042e-14
0.0002,0.01951055442651065,500,-1,0,2826.0,1,9,1130,1.2279114761699052e-12,18724528.0,532,40742484.0,1e-14,-1,8.82116890361807e-15
0.0002,0.01951055442651065,500,690,6,6890.0,1,10,1,3.308446928997582e-12,18724528.0,485,565367734.0,1e-14,522,1.2240795809773927e-13
0.0002,0.01951055442651065,500,-1,0,3875.0,1,11,1113,1.7671289749080476e-12,18724528.0,582,56596941.0,1e-14,624,1.2253822717071118e-14
0.0002,0.01951055442651065,500,-1,0,3959.0,1,9,1287,1.736602916965793e-12,18724528.0,636,35643265.0,1e-14,-1,7.717135284177035e-15
0.0002,0.01951055442651065,500,777,0,6774.0,1,12,1256,3.1214566031056015e-12,18724528.0,533,113245438.0,1e-14,574,2.4518807841029226e-14
0.0002,0.01951055442651065,500,-1,0,2545.0,1,9,999,1.1082455069446624e-12,18724528.0,638,38744847.0,1e-14,-1,8.388659845380064e-15
0.0002,0.01951055442651065,500,-1,0,1289.0,0,2,988,5.349846627769485e-13,18724528.0,569,26829369.0,1e-14,-1,5.80883569903334e-15
0.0002,0.01951055442651065,500,663,0,7833.0,1,16,1194,3.658813428253739e-12,18724528.0,487,121726610.0,1e-14,527,2.6355069241110693e-14
0.0002,0.01951055442651065,500,-1,0,14.0,0,3,344,2.2751339136072153e-17,18724528.0,-1,1228.0,1e-14,-1,2.6587469270756757e-19
0.0002,0.01951055442651065,500,-1,0,3429.0,1,8,1155,1.4761964114713933e-12,18724528.0,523,38172552.0,1e-14,-1,8.264752062592546e-15
0.0002,0.01951055442651065,500,-1,0,4040.0,1,3,1209,1.8230856111837484e-12,18724528.0,563,51652743.0,1e-14,633,1.1183352746439713e-14
0.0002,0.01951055442651065,500,-1,0,366.0,0,9,826,8.723817845633571e-14,18724528.0,-1,3214557.0,1e-14,-1,6.959848164217919e-16
0.0002,0.01951055442651065,500,-1,0,3484.0,0,8,1201,1.5627529266205089e-12,18724528.0,542,53783809.0,1e-14,600,1.164475056231068e-14
0.0002,0.01951055442651065,500,-1,0,5424.0,1,10,1328,2.400924320452141e-12,18724528.0,563,61240247.0,1e-14,623,1.3259146459658422e-14
0.0002,0.01951055442651065,500,-1,0,6401.0,1,15,1368,2.8856956120641344e-12,18724528.0,523,91783509.0,1e-14,574,1.9872078380290938e-14
0.0002,0.01951055442651065,500,-1,0,4136.0,1,9,1084,1.8812149102786237e-12,18724528.0,536,56553065.0,1e-14,628,1.224432310956523e-14
0.0002,0.01951055442651065,500,686,6,7871.0,1,11,1,3.741218343202309e-12,18724528.0,503,1400738499.0,1e-14,543,3.032743631801989e-13
0.0002,0.01951055442651065,500,-1,0,508.0,0,6,869,1.6850042611411268e-13,18724528.0,-1,6498871.0,1e-14,-1,1.4070727443575916e-15
0.0002,0.01951055442651065,500,-1,0,3382.0,1,8,1052,1.524492602446754e-12,18724528.0,505,50941987.0,1e-14,570,1.1029466726008067e-14
0.0002,0.01951055442651065,500,-1,0,5341.0,1,3,1205,2.437449955152807e-12,18724528.0,552,66192712.0,1e-14,595,1.4331406321238215e-14
0.0002,0.01951055442651065,500,-1,0,5553.0,1,11,1296,2.4992789846027313e-12,18724528.0,515,140580181.0,1e-14,564,3.043706223464922e-14
0.0002,0.01951055442651065,500,847,0,6835.0,1,6,1357,3.1307660768636183e-12,18724528.0,479,67960604.0,1e-14,579,1.4714173212313268e-14
0.0002,0.01951055442651065,500,-1,0,960.0,0,11,909,3.6196564169966506e-13,18724528.0,-1,15770869.0,1e-14,-1,3.4145561474807036e-15
0.0002,0.01951055442651065,500,-1,0,6366.0,1,8,1421,2.8819289923563356e-12,18724528.0,511,85213028.0,1e-14,555,1.844950133076657e-14
0.0002,0.01951055442651065,500,694,6,7543.0,1,8,1,3.6265865203213714e-12,18724528.0,514,1012453929.0,1e-14,557,2.1920674043440123e-13
0.0002,0.01951055442651065,500,734,0,7214.0,1,9,1217,3.367946583498465e-12,18724528.0,535,106292506.0,1e-14,574,2.301342619696033e-14
0.0002,0.01951055442651065,500,-1,0,2172.0,0,12,1096,1.0157852994541137e-12,18724528.0,536,37422912.0,1e-14,-1,8.102447254252723e-15
0.0002,0.01951055442651065,500,-1,6,5478.0,1,7,1,2.7924129842162e-12,18724528.0,476,556831014.0,1e-14,515,1.2055966998150924e-13
0.0002,0.01951055442651065,500,674,6,3572.0,1,6,1,3.810670493735724e-12,18724528.0,494,872152112.0,1e-14,536,1.888299468829448e-13
