Dx,Dt,iNstep,thrCrossTimeStep,avalStatus,computeTime,streamer,classicStreamer,elecLimit,nCluster,size,finalChargesTot,ElecThr,ElecThrReachedTime,ElecMax,InducedChargeThr,InducedChargeThrTime,ChargeMax
0.0001,0.010045907273120056,1000,-1,0,2447.0,0,0,0,7,1585,1.88562058211091e-14,18724528.0,-1,667677.0,1e-14,-1,7.227948583180399e-17
0.0001,0.010045907273120056,1000,-1,0,4569.0,0,0,0,5,1837,1.9886634792380754e-13,18724528.0,-1,7412951.0,1e-14,-1,8.024902561812933e-16
0.0001,0.010045907273120056,1000,-1,0,8792.0,0,0,0,8,2112,5.030051900014929e-13,18724528.0,1343,20711397.0,1e-14,-1,2.2421157625893478e-15
0.0001,0.010045907273120056,1000,-1,0,11287.0,1,0,0,5,2276,9.6459992905971e-13,18724528.0,1254,39397543.0,1e-14,-1,4.2649876378494235e-15
0.0001,0.010045907273120056,1000,-1,0,12270.0,0,0,0,17,2296,1.0181770591501212e-12,18724528.0,1204,27182180.0,1e-14,-1,2.94261146360822e-15
0.0001,0.010045907273120056,1000,-1,0,14233.0,1,0,0,6,2589,1.2724087661793827e-12,18724528.0,1406,56133847.0,1e-14,-1,6.076779039746993e-15
0.0001,0.010045907273120056,1000,-1,0,17024.0,0,0,0,12,2391,1.525740215869866e-12,18724528.0,1143,41248294.0,1e-14,-1,4.4653409983556225e-15
0.0001,0.010045907273120056,1000,-1,0,18213.0,1,0,0,9,2523,1.5354551184393252e-12,18724528.0,1277,36651133.0,1e-14,-1,3.9676745617912026e-15
0.0001,0.010045907273120056,1000,-1,0,7959.0,0,0,0,11,2221,4.683405007195651e-13,18724528.0,-1,13094236.0,1e-14,-1,1.4175187185424955e-15
0.0001,0.010045907273120056,1000,-1,0,15636.0,1,0,0,6,2667,1.3542640235231066e-12,18724528.0,1472,50487103.0,1e-14,-1,5.4654898191450795e-15
0.0001,0.010045907273120056,1000,-1,0,12136.0,0,0,0,8,2517,9.768827964218594e-13,18724528.0,1285,23017520.0,1e-14,-1,2.491765495476503e-15
0.0001,0.010045907273120056,1000,-1,0,21480.0,0,0,0,12,2558,2.141891753934567e-12,18724528.0,1176,58864557.0,1e-14,-1,6.372392509666975e-15
0.0001,0.010045907273120056,1000,-1,0,6185.0,0,0,0,6,2210,3.9313517842848393e-13,18724528.0,-1,15111832.0,1e-14,-1,1.635933912560418e-15
0.0001,0.010045907273120056,1000,-1,0,4316.0,0,0,0,12,1834,1.98388201084848e-13,18724528.0,-1,6517458.0,1e-14,-1,7.055485109871655e-16
