#eta	alpha	v	dl	dt	E
0	0	-0.00480741	0.0072885	0.0109391	2498
0	0	-0.00480741	0.0072885	0.0109391	4896
0	0	-0.00489846	0.00625564	0.0113483	7294
0	0	-0.00489557	0.00668989	0.0119072	9692
0	0	-0.00491686	0.00693516	0.0123115	12090
0	0	-0.00497135	0.00698711	0.0125585	14488
0	0	-0.00504432	0.00681318	0.0126944	16886
0	0	-0.00513214	0.00693458	0.0127542	19284
0	0	-0.00522805	0.0070109	0.0127629	21682
0.00889584	0.00889355	-0.00533739	0.00732535	0.0127273	24080
0.00950256	0.0495445	-0.00545499	0.00684301	0.0126661	26478
0.00912032	0.203803	-0.00558343	0.00740682	0.012577	28876
0.0518464	0.71258	-0.00573988	0.00732844	0.0124462	31274
0.0669261	1.90518	-0.00589958	0.00776627	0.0123082	33672
0.0532898	3.56763	-0.00607912	0.00803268	0.0121525	36070
0.0912448	6.74042	-0.00629047	0.00838823	0.011966	38468
0.14744	11.3123	-0.00649626	0.00775849	0.0117924	40866
0.0845394	18.0686	-0.00670478	0.00794036	0.0116186	43264
0.226706	26.639	-0.00694302	0.00833994	0.0114285	45662
0.201081	37.3449	-0.00717257	0.00758237	0.0112536	48060
0.251482	51.84	-0.00741381	0.00790089	0.0110765	50458
0.234379	68.1448	-0.00764907	0.00778082	0.0109114	52856
0.281435	87.0622	-0.00788932	0.00790522	0.0107489	55254
0.325804	108.642	-0.00814173	0.00837647	0.0105882	57652
0.319811	132.493	-0.00839083	0.00771461	0.0104353	60050
0.380887	160.704	-0.00863572	0.00754255	0.0102928	62448
0.418837	191.105	-0.00887851	0.00786241	0.0101553	64846
0.337689	223.344	-0.00913905	0.00734673	0.010016	67244
0.362674	257.784	-0.00937064	0.00765368	0.00989756	69642
0.444278	296.639	-0.00962123	0.00717182	0.00977189	72040
0.412442	333.286	-0.00986467	0.00763327	0.00965662	74438
0.415474	379.449	-0.0101177	0.00751962	0.0095411	76836
0.453641	425.617	-0.0103568	0.00737582	0.00943409	79234
0.443447	470.946	-0.0106054	0.00744574	0.00933061	81632
0.500271	522.211	-0.0108618	0.00723188	0.00922498	84030
0.478573	577.226	-0.0110959	0.00695419	0.00913071	86428
0.487363	632.482	-0.0113453	0.00709239	0.00903877	88826
0.306545	674.893	-0.0116019	0.00764002	0.00894017	91224
0.140144	718.494	-0.0118579	0.00815289	0.00884211	93622
-nan	762.094	-0.012114	0.00866575	0.00874406	96020
-nan	805.695	-0.01237	0.00917862	0.008646	98418
-nan	849.296	-0.0126261	0.00969148	0.00854794	100816
-nan	892.897	-0.0128821	0.0102043	0.00844988	103214
-nan	936.498	-0.0131381	0.0107172	0.00835183	105612
-nan	980.098	-0.0133942	0.0112301	0.00825377	108010
-nan	1023.7	-0.0136502	0.0117429	0.00815571	110408
-nan	1067.3	-0.0139063	0.0122558	0.00805765	112806
-nan	1110.9	-0.0141623	0.0127687	0.0079596	115204
-nan	1154.5	-0.0144184	0.0132815	0.00786154	117602
-nan	1198.1	-0.0146744	0.0137944	0.00776348	120000
