Dx,Dt,iNstep,thrCrossTimeStep,avalStatus,computeTime,streamer,classicStreamer,elecLimit,nCluster,size,finalChargesTot,totalInducedCharge,ElecThr,ElecThrReachedTime,ElecMax,InducedChargeThr,InducedChargeThrTime,ChargeMax
0.0002,0.014049440349626968,500,-1,0,10309.0,1,0,0,3,537,7.532333019274943e-13,6.293010174573329e-13,18724528.0,235,75188017.0,1e-14,258,1.544416319763542e-14
0.0002,0.014049440349626968,500,288,0,11933.0,0,0,0,9,504,8.533076836948846e-13,6.725286975032717e-13,18724528.0,227,79097841.0,1e-14,245,1.6247269361880076e-14
0.0002,0.014049440349626968,500,319,0,12351.0,0,0,0,6,507,9.176071556253865e-13,7.166851826339102e-13,18724528.0,262,78790497.0,1e-14,280,1.6184138678518465e-14
0.0002,0.014049440349626968,500,307,0,16637.0,1,0,0,7,580,1.2219805008447203e-12,9.514555857328033e-13,18724528.0,254,106287994.0,1e-14,280,2.1832323697076562e-14
0.0002,0.014049440349626968,500,312,0,18480.0,1,0,0,5,614,1.3670337427942993e-12,1.141244739911533e-12,18724528.0,259,148777964.0,1e-14,284,3.056007124417083e-14
0.0002,0.014049440349626968,500,300,0,18761.0,1,0,0,5,688,1.4359637165470973e-12,1.1561850472113832e-12,18724528.0,250,136675242.0,1e-14,275,2.807408449838908e-14
0.0002,0.014049440349626968,500,276,0,20607.0,1,0,0,6,533,1.5757537376659666e-12,1.2220383078336257e-12,18724528.0,232,134570903.0,1e-14,249,2.7641838028327926e-14
0.0002,0.014049440349626968,500,175,0,20934.0,1,0,0,8,685,1.9668617430165287e-12,1.6314421832904223e-12,18724528.0,118,195639996.0,1e-14,148,4.0185871988201824e-14
0.0002,0.014049440349626968,500,267,0,22605.0,1,0,0,12,578,2.075135924162051e-12,1.6314774563803201e-12,18724528.0,224,198298527.0,1e-14,242,4.0731953508478815e-14
0.0002,0.014049440349626968,500,280,0,24328.0,1,0,0,8,562,1.9206192287794358e-12,1.4851579271836566e-12,18724528.0,232,152057918.0,1e-14,251,3.1233797548945415e-14
0.0002,0.014049440349626968,500,-1,0,4366.0,0,0,0,5,429,3.6326923559392423e-13,2.8973270310564235e-13,18724528.0,246,25267640.0,1e-14,-1,5.190156242305214e-15
0.0002,0.014049440349626968,500,295,0,26207.0,1,0,0,6,627,2.2355848468325433e-12,1.7987777594560937e-12,18724528.0,244,214823448.0,1e-14,267,4.4126291954085533e-14
0.0002,0.014049440349626968,500,334,0,26298.0,1,0,0,3,720,2.1795062730958425e-12,1.8128581238525841e-12,18724528.0,283,234995160.0,1e-14,306,4.826970768087216e-14
0.0002,0.014049440349626968,500,263,0,27582.0,1,0,0,15,595,2.0962946324742626e-12,1.7108903603687092e-12,18724528.0,219,208447341.0,1e-14,239,4.2816593401009125e-14
0.0002,0.014049440349626968,500,261,0,27904.0,1,0,0,6,554,2.2790689599531025e-12,1.777491861194532e-12,18724528.0,218,171132434.0,1e-14,237,3.5151841271523e-14
0.0002,0.014049440349626968,500,277,0,29246.0,1,0,0,9,600,2.2934157271552915e-12,1.7518589208601611e-12,18724528.0,230,178996138.0,1e-14,251,3.676710302146247e-14
0.0002,0.014049440349626968,500,301,0,30459.0,1,0,0,7,597,2.521851365177475e-12,1.9277987926960582e-12,18724528.0,259,200027496.0,1e-14,278,4.108709626213929e-14
0.0002,0.014049440349626968,500,266,0,30735.0,1,0,0,10,615,2.46978881688263e-12,1.9701994411243863e-12,18724528.0,217,230100899.0,1e-14,240,4.726439102761052e-14
0.0002,0.014049440349626968,500,261,0,30830.0,1,0,0,12,677,2.3481915412009515e-12,1.9389875499196025e-12,18724528.0,219,243591984.0,1e-14,237,5.003555758801029e-14
0.0002,0.014049440349626968,500,310,0,31389.0,1,0,0,7,586,2.3945020253106236e-12,1.903865349533377e-12,18724528.0,256,223633257.0,1e-14,286,4.593589052264463e-14
0.0002,0.014049440349626968,500,267,0,32167.0,1,0,0,10,589,2.4607259546095947e-12,1.8793718636461655e-12,18724528.0,219,196060632.0,1e-14,240,4.027227366881535e-14
0.0002,0.014049440349626968,500,302,0,22152.0,1,0,0,10,615,1.8295164304149105e-12,1.4570477199730673e-12,18724528.0,256,165703601.0,1e-14,281,3.403671965813203e-14
0.0002,0.014049440349626968,500,276,0,33890.0,1,0,0,8,656,2.5461816430570576e-12,2.0460617083307456e-12,18724528.0,229,259050941.0,1e-14,252,5.321093930838776e-14
0.0002,0.014049440349626968,500,274,0,35157.0,1,0,0,7,516,2.8390745786911026e-12,2.2242492874920726e-12,18724528.0,233,260336507.0,1e-14,250,5.3475003874757855e-14
0.0002,0.014049440349626968,500,-1,0,5947.0,1,0,0,1,504,3.969640010811786e-13,3.2840135278253674e-13,18724528.0,248,31334493.0,1e-14,-1,6.43633178418796e-15
0.0002,0.014049440349626968,500,-1,0,9466.0,0,0,0,4,470,6.482882401687881e-13,5.092239431697917e-13,18724528.0,246,55012242.0,1e-14,270,1.1299912901224858e-14
0.0002,0.014049440349626968,500,298,0,17891.0,1,0,0,8,532,1.4274256611500665e-12,1.1230980496374974e-12,18724528.0,254,129542398.0,1e-14,272,2.6608946685281506e-14
0.0002,0.014049440349626968,500,315,0,20137.0,1,0,0,6,581,1.5573619579519434e-12,1.2493967485721227e-12,18724528.0,271,150990801.0,1e-14,292,3.101460398916615e-14
0.0002,0.014049440349626968,500,276,0,39958.0,1,0,0,4,629,3.1497274890930044e-12,2.4156690344529273e-12,18724528.0,233,245535686.0,1e-14,252,5.043480805495063e-14
0.0002,0.014049440349626968,500,278,0,20985.0,1,0,0,6,666,1.6174455281994597e-12,1.3411850836381777e-12,18724528.0,232,168917416.0,1e-14,251,3.469686053333304e-14
0.0002,0.014049440349626968,500,-1,0,7424.0,0,0,0,6,461,5.017516249673904e-13,4.038537638598312e-13,18724528.0,260,44911876.0,1e-14,-1,9.225224578751229e-15
0.0002,0.014049440349626968,500,283,0,45230.0,1,0,0,7,654,3.579463435075494e-12,2.733210363715234e-12,18724528.0,239,292091360.0,1e-14,260,5.999768064716053e-14
0.0002,0.014049440349626968,500,259,0,32985.0,1,0,0,10,562,2.595377531786354e-12,1.9926794832612713e-12,18724528.0,218,209044996.0,1e-14,234,4.293935606618065e-14
0.0002,0.014049440349626968,500,286,0,31164.0,1,0,0,7,540,2.4956341093564066e-12,1.9702464321100548e-12,18724528.0,238,231172498.0,1e-14,261,4.7484505222648013e-14
0.0002,0.014049440349626968,500,262,0,13004.0,1,0,0,7,508,9.704634595359997e-13,8.052881381051552e-13,18724528.0,210,97194146.0,1e-14,230,1.9964381460928872e-14
0.0002,0.014049440349626968,500,295,0,23630.0,1,0,0,6,619,1.7399747293484956e-12,1.3677668951530027e-12,18724528.0,249,143634203.0,1e-14,267,2.9503505484049356e-14
0.0002,0.014049440349626968,500,277,0,17255.0,1,0,0,12,534,1.236721462825405e-12,9.57223202898778e-13,18724528.0,228,98237229.0,1e-14,248,2.0178638263055714e-14
0.0002,0.014049440349626968,500,283,0,41823.0,1,0,0,7,640,3.394198927667439e-12,2.5970461042543425e-12,18724528.0,239,276564310.0,1e-14,260,5.680831213145883e-14
0.0002,0.014049440349626968,500,288,0,31544.0,1,0,0,4,536,2.3153827797218234e-12,1.8315407939569457e-12,18724528.0,226,196027217.0,1e-14,267,4.02654099858265e-14
0.0002,0.014049440349626968,500,282,0,12833.0,1,0,0,6,591,2.24410953391545e-12,1.7325418332092274e-12,18724528.0,229,172416734.0,1e-14,249,3.5415645792324784e-14
0.0002,0.014049440349626968,500,269,0,26690.0,1,0,0,6,532,1.9471084546753836e-12,1.4964572733954313e-12,18724528.0,227,162662844.0,1e-14,244,3.34121261494037e-14
0.0002,0.014049440349626968,500,288,0,30476.0,1,0,0,8,604,2.1241314866029547e-12,1.6314978359926582e-12,18724528.0,246,167171789.0,1e-14,263,3.433829610583659e-14
0.0002,0.014049440349626968,500,285,0,28238.0,1,0,0,9,588,2.1117184085923217e-12,1.723695389147677e-12,18724528.0,239,231787481.0,1e-14,260,4.761082718450761e-14
0.0002,0.014049440349626968,500,279,0,21489.0,1,0,0,13,556,1.5389425912236945e-12,1.1847660555701514e-12,18724528.0,230,117717283.0,1e-14,248,2.4179982427708314e-14
0.0002,0.014049440349626968,500,263,0,24166.0,1,0,0,6,646,1.6420666423982944e-12,1.370240811418444e-12,18724528.0,212,178067456.0,1e-14,235,3.6576345013218856e-14
0.0002,0.014049440349626968,500,274,0,20006.0,1,0,0,6,545,1.670660513208886e-12,1.365042389619112e-12,18724528.0,225,171898392.0,1e-14,247,3.530917459173192e-14
0.0002,0.014049440349626968,500,291,0,29486.0,1,0,0,8,578,2.165458064498164e-12,1.7107646631355947e-12,18724528.0,231,183821990.0,1e-14,270,3.7758367970711474e-14
0.0002,0.014049440349626968,500,248,0,34351.0,1,0,0,7,597,2.495836674583719e-12,1.9175831051648117e-12,18724528.0,205,202019648.0,1e-14,223,4.149629870995083e-14
0.0002,0.014049440349626968,500,-1,0,11301.0,0,0,0,4,461,5.89225548227177e-13,4.702261900265156e-13,18724528.0,245,50930521.0,1e-14,270,1.0461497848315355e-14
0.0002,0.014049440349626968,500,294,0,21373.0,1,0,0,6,526,1.4188197648762145e-12,1.1269519142962755e-12,18724528.0,244,133360520.0,1e-14,270,2.7393216594627345e-14
0.0002,0.014049440349626968,500,265,0,16156.0,1,0,0,7,513,9.848384959098548e-13,8.232047036054585e-13,18724528.0,216,109402929.0,1e-14,237,2.2472153904196205e-14
0.0002,0.014049440349626968,500,272,0,35021.0,1,0,0,8,599,2.3853996402193535e-12,1.833223854610859e-12,18724528.0,230,191343952.0,1e-14,247,3.9303433438981625e-14
0.0002,0.014049440349626968,500,267,0,36552.0,1,0,0,9,584,2.6403038777584755e-12,2.0190445481304224e-12,18724528.0,225,218056555.0,1e-14,242,4.479039554579775e-14
0.0002,0.014049440349626968,500,281,0,22546.0,1,0,0,10,513,1.488797869340743e-12,1.1898627665988402e-12,18724528.0,233,149643789.0,1e-14,255,3.07379179694089e-14
0.0002,0.014049440349626968,500,287,0,12990.0,1,0,0,4,520,1.509844670760518e-12,1.1699681482108926e-12,18724528.0,240,127707219.0,1e-14,259,2.6231987628456356e-14
0.0002,0.014049440349626968,500,261,0,14815.0,1,0,0,5,512,1.8234594936120304e-12,1.4075372339013218e-12,18724528.0,217,157134576.0,1e-14,235,3.227657986691212e-14
0.0002,0.014049440349626968,500,291,0,29801.0,1,0,0,8,550,2.1593299481291443e-12,1.7080617315529584e-12,18724528.0,240,201474165.0,1e-14,267,4.1384252551404907e-14
0.0002,0.014049440349626968,500,266,0,21349.0,1,0,0,8,599,2.1545605133673744e-12,1.7682626165444514e-12,18724528.0,220,231023527.0,1e-14,240,4.74539055004115e-14
0.0002,0.014049440349626968,500,-1,0,6112.0,0,0,0,10,469,5.725972389827973e-13,4.516307164517129e-13,18724528.0,243,47965957.0,1e-14,-1,9.852554933570903e-15
0.0002,0.014049440349626968,500,276,0,46280.0,1,0,0,7,620,3.2996841545915143e-12,2.5240418014804377e-12,18724528.0,227,265235367.0,1e-14,248,5.448126519592508e-14
0.0002,0.014049440349626968,500,290,0,28953.0,1,0,0,9,587,2.141775291661878e-12,1.6503733143352135e-12,18724528.0,236,166069733.0,1e-14,265,3.411192582243178e-14
0.0002,0.014049440349626968,500,245,0,46438.0,1,0,0,14,584,3.2411815311709154e-12,2.4845529462685455e-12,18724528.0,203,234828496.0,1e-14,221,4.823547368830428e-14
0.0002,0.014049440349626968,500,280,0,43248.0,1,0,0,7,650,2.9382706395028435e-12,2.271858968770263e-12,18724528.0,228,227696869.0,1e-14,249,4.6770585855810156e-14
0.0002,0.014049440349626968,500,266,0,24080.0,1,0,0,8,565,2.475306525372455e-12,1.9061384886782107e-12,18724528.0,225,201549195.0,1e-14,242,4.1399664256766396e-14
0.0002,0.014049440349626968,500,307,0,9791.0,1,0,0,5,571,1.1156120005862769e-12,8.953060584684792e-13,18724528.0,255,90640192.0,1e-14,273,1.8618151846098146e-14
0.0002,0.014049440349626968,500,283,0,26865.0,1,0,0,8,709,1.8147357334303156e-12,1.5100604736766106e-12,18724528.0,236,198439380.0,1e-14,256,4.0760885734725363e-14
0.0002,0.014049440349626968,500,-1,0,7364.0,1,0,0,7,455,5.623004376880918e-13,4.412791860131739e-13,18724528.0,249,47064137.0,1e-14,-1,9.667314574659835e-15
0.0002,0.014049440349626968,500,266,0,38900.0,1,0,0,7,590,2.6708237483405184e-12,2.0363859231054083e-12,18724528.0,224,217702644.0,1e-14,242,4.4717699663401504e-14
0.0002,0.014049440349626968,500,-1,0,9650.0,1,0,0,2,474,7.361146266447649e-13,6.021285990100397e-13,18724528.0,248,65626084.0,1e-14,268,1.3480072912652176e-14
0.0002,0.014049440349626968,500,282,0,21365.0,1,0,0,8,531,1.6507655883581459e-12,1.2833789510699282e-12,18724528.0,236,147565517.0,1e-14,256,3.0311025849922934e-14
0.0002,0.014049440349626968,500,340,0,18443.0,1,0,0,8,621,1.6289190712260617e-12,1.2963345451868798e-12,18724528.0,271,136142179.0,1e-14,321,2.7964589497787862e-14
0.0002,0.014049440349626968,500,270,0,35418.0,1,0,0,9,652,2.4700558276050746e-12,2.0068346444684757e-12,18724528.0,225,258782252.0,1e-14,246,5.3155748641962654e-14
0.0002,0.014049440349626968,500,277,0,24145.0,1,0,0,5,607,1.6761168723069454e-12,1.288688699730575e-12,18724528.0,232,136221018.0,1e-14,249,2.7980783599333812e-14
0.0002,0.014049440349626968,500,266,0,45457.0,1,0,0,7,637,3.25671433272862e-12,2.480127431875571e-12,18724528.0,223,262759455.0,1e-14,242,5.397269494076088e-14
