Dx,Dt,iNstep,thrCrossTimeStep,avalStatus,computeTime,streamer,classicStreamer,elecLimit,nCluster,size,finalChargesTot,totalInducedCharge,ElecThr,ElecThrReachedTime,ElecMax,InducedChargeThr,InducedChargeThrTime,ChargeMax
0.0002,0.013374538250055724,500,-1,0,3079.0,0,0,0,5,384,1.7627325769962272e-13,1.441334363603054e-13,18724528.0,-1,15822883.0,1e-14,-1,3.250134756301542e-15
0.0002,0.013374538250055724,500,-1,0,5315.0,0,0,0,4,472,3.1044984993771474e-13,2.521016088298514e-13,18724528.0,268,22012185.0,1e-14,-1,4.5214622095505255e-15
0.0002,0.013374538250055724,500,-1,6,6285.0,1,0,0,10,1,3.850208065149475e-13,3.5083932382544216e-13,18724528.0,234,76178598.0,1e-14,255,1.564763570874683e-14
0.0002,0.013374538250055724,500,-1,6,6858.0,1,0,0,8,1,4.0679682480049693e-13,3.6494415846032957e-13,18724528.0,246,77042318.0,1e-14,269,1.5825050051740628e-14
0.0002,0.013374538250055724,500,-1,6,7483.0,1,0,0,5,1,4.2727214732697664e-13,3.8168197797533663e-13,18724528.0,272,73164464.0,1e-14,295,1.5028510757020248e-14
0.0002,0.013374538250055724,500,-1,6,7736.0,1,0,0,9,1,4.5349386870148173e-13,4.1357603512343934e-13,18724528.0,260,93357850.0,1e-14,281,1.9176378480368334e-14
0.0002,0.013374538250055724,500,-1,6,7802.0,1,0,0,7,1,4.466953080246011e-13,4.054762159049061e-13,18724528.0,229,81930450.0,1e-14,256,1.6829107764016566e-14
0.0002,0.013374538250055724,500,-1,6,8404.0,1,0,0,9,1,4.690600608496203e-13,4.1981720061413826e-13,18724528.0,236,76006676.0,1e-14,263,1.561232168490093e-14
0.0002,0.013374538250055724,500,-1,6,9750.0,1,0,0,7,1,5.552163118526071e-13,5.12396524889264e-13,18724528.0,242,115677292.0,1e-14,263,2.3760953502850404e-14
0.0002,0.013374538250055724,500,-1,6,9846.0,1,0,0,10,1,5.695759607591563e-13,4.96557254304189e-13,18724528.0,251,77665275.0,1e-14,279,1.5953009930947302e-14
0.0002,0.013374538250055724,500,-1,6,10741.0,1,0,0,10,1,6.562034264508842e-13,5.899378136576145e-13,18724528.0,221,127555834.0,1e-14,242,2.6200892053137827e-14
0.0002,0.013374538250055724,500,-1,0,11096.0,0,0,0,5,460,6.447325709726368e-13,5.111996263791769e-13,18724528.0,253,49805662.0,1e-14,288,1.0230443663573e-14
0.0002,0.013374538250055724,500,-1,6,8149.0,1,0,0,6,1,4.805769220040628e-13,4.4044985460765387e-13,18724528.0,251,100763534.0,1e-14,271,2.069755960536218e-14
0.0002,0.013374538250055724,500,300,0,13457.0,1,0,0,6,556,8.468417529325408e-13,6.959161982216011e-13,18724528.0,243,86358144.0,1e-14,264,1.773858817663591e-14
0.0002,0.013374538250055724,500,-1,6,6665.0,1,0,0,8,1,3.891705405684957e-13,3.513058786083398e-13,18724528.0,284,71362447.0,1e-14,308,1.4658363415151758e-14
0.0002,0.013374538250055724,500,-1,6,8068.0,1,0,0,7,1,4.688382795694073e-13,4.2759575430414787e-13,18724528.0,248,89450021.0,1e-14,272,1.8373682103571307e-14
0.0002,0.013374538250055724,500,-1,0,10444.0,1,0,0,9,496,6.088040329513714e-13,5.035422352812758e-13,18724528.0,233,60127905.0,1e-14,254,1.2350707128662786e-14
0.0002,0.013374538250055724,500,-1,6,5218.0,1,0,0,5,1,3.192382899842091e-13,2.9265569029771004e-13,18724528.0,253,65942895.0,1e-14,275,1.3545148186373053e-14
0.0002,0.013374538250055724,500,-1,0,221.0,0,0,0,2,350,3.192207860006812e-15,3.1057606052893973e-15,18724528.0,-1,396776.0,1e-14,-1,8.150066382127077e-17
0.0002,0.013374538250055724,500,319,0,16097.0,1,0,0,5,517,9.527694104278502e-13,7.408628166313888e-13,18724528.0,255,70346572.0,1e-14,280,1.4449695333263152e-14
0.0002,0.013374538250055724,500,-1,6,9383.0,1,0,0,5,1,5.62618090949807e-13,5.100425801946955e-13,18724528.0,272,112497904.0,1e-14,291,2.3107884182767085e-14
0.0002,0.013374538250055724,500,-1,6,7136.0,1,0,0,7,1,4.320090862522636e-13,4.0158763946806933e-13,18724528.0,220,81460496.0,1e-14,252,1.673257580904584e-14
0.0002,0.013374538250055724,500,296,6,11022.0,1,0,0,8,1,8.34782230493807e-13,7.062724644681973e-13,18724528.0,240,87541981.0,1e-14,263,1.798175686969241e-14
0.0002,0.013374538250055724,500,-1,6,6283.0,1,0,0,6,1,5.363987064934934e-13,4.808207269185602e-13,18724528.0,255,101722689.0,1e-14,276,2.0894576988488906e-14
0.0002,0.013374538250055724,500,-1,0,8819.0,0,0,0,9,423,5.470938230359661e-13,4.3019137994239204e-13,18724528.0,239,45859785.0,1e-14,-1,9.4199319520353e-15
0.0002,0.013374538250055724,500,-1,0,10334.0,0,0,0,4,514,6.641178340341256e-13,5.231902123423876e-13,18724528.0,298,45614423.0,1e-14,-1,9.36953282034256e-15
0.0002,0.013374538250055724,500,269,0,19191.0,0,0,0,11,494,1.4375462466530355e-12,1.1188175274935548e-12,18724528.0,224,125047000.0,1e-14,242,2.5685559380755013e-14
0.0002,0.013374538250055724,500,-1,6,1931.0,1,0,0,9,1,1.5986786070772926e-13,1.400430396284263e-13,18724528.0,124,27181154.0,1e-14,-1,5.5832058754264205e-15
0.0002,0.013374538250055724,500,-1,0,5401.0,0,0,0,9,449,3.646960840592873e-13,2.9910604533293845e-13,18724528.0,209,29815804.0,1e-14,-1,6.124382065359043e-15
0.0002,0.013374538250055724,500,-1,6,6407.0,1,0,0,7,1,4.4830111426297337e-13,4.030961926483922e-13,18724528.0,226,85206080.0,1e-14,249,1.750194588787705e-14
0.0002,0.013374538250055724,500,-1,6,2385.0,1,0,0,12,1,1.8731104035447466e-13,1.6395590090592152e-13,18724528.0,127,31818792.0,1e-14,-1,6.535810306044066e-15
0.0002,0.013374538250055724,500,290,0,20056.0,1,0,0,11,517,1.5592008467715708e-12,1.2007475326034818e-12,18724528.0,243,126732056.0,1e-14,263,2.6031682086200927e-14
0.0002,0.013374538250055724,500,-1,6,4267.0,1,0,0,9,1,3.2264702110985015e-13,2.9993565241215105e-13,18724528.0,252,67105561.0,1e-14,272,1.3783968202710787e-14
0.0002,0.013374538250055724,500,-1,6,1626.0,1,0,0,7,1,1.480858717990323e-13,1.2956880347403943e-13,18724528.0,112,25172427.0,1e-14,-1,5.17059880258e-15
0.0002,0.013374538250055724,500,-1,6,1663.0,1,0,0,8,1,1.5668897124788145e-13,1.3722754637228316e-13,18724528.0,120,26632247.0,1e-14,-1,5.470456402484145e-15
