Dx,Dt,iNstep,thrCrossTimeStep,avalStatus,computeTime,streamer,classicStreamer,elecLimit,nCluster,size,finalChargesTot,totalInducedCharge,ElecThr,ElecThrReachedTime,ElecMax,InducedChargeThr,InducedChargeThrTime,ChargeMax
0.0002,0.018484056555360447,500,-1,0,1170.0,0,0,0,8,557,2.8305712796372594e-14,2.6776410287590527e-14,18724528.0,-1,1757898.0,1e-14,-1,3.6108497976209314e-16
0.0002,0.018484056555360447,500,-1,0,2632.0,0,0,0,7,571,1.9432583446737093e-13,1.7162926410988477e-13,18724528.0,-1,10356153.0,1e-14,-1,2.127228824663399e-15
0.0002,0.018484056555360447,500,-1,0,8378.0,0,0,0,7,616,5.602748470370259e-13,4.79471174592755e-13,18724528.0,389,32573630.0,1e-14,-1,6.6908594977227945e-15
0.0002,0.018484056555360447,500,-1,0,9606.0,0,0,0,13,595,6.179361310218158e-13,5.307599673939361e-13,18724528.0,339,35512824.0,1e-14,-1,7.294591230739652e-15
0.0002,0.018484056555360447,500,-1,0,11755.0,0,0,0,6,640,7.348885274012999e-13,6.220686273601726e-13,18724528.0,386,37773099.0,1e-14,-1,7.758868084477335e-15
0.0002,0.018484056555360447,500,525,0,11801.0,0,0,0,6,653,7.463747771252944e-13,6.350668939991746e-13,18724528.0,395,38290806.0,1e-14,-1,7.865208851471601e-15
0.0002,0.018484056555360447,500,448,0,14617.0,0,0,0,7,702,1.0244217324234896e-12,8.614385756413629e-13,18724528.0,374,49382854.0,1e-14,424,1.014359583842999e-14
0.0002,0.018484056555360447,500,426,0,14804.0,0,0,0,11,640,9.380405368687645e-13,7.948067572227019e-13,18724528.0,353,50756161.0,1e-14,406,1.0425683041613645e-14
0.0002,0.018484056555360447,500,446,0,15913.0,0,0,0,10,685,1.043198941367369e-12,8.76899057139056e-13,18724528.0,377,55790462.0,1e-14,419,1.1459764925034224e-14
0.0002,0.018484056555360447,500,444,0,17109.0,0,0,0,10,660,1.088249880388598e-12,9.147968373105083e-13,18724528.0,373,59520944.0,1e-14,423,1.2226032943697912e-14
0.0002,0.018484056555360447,500,470,0,17400.0,0,0,0,8,709,1.1093508493413288e-12,9.299140688757829e-13,18724528.0,405,54590504.0,1e-14,442,1.1213284861830702e-14
0.0002,0.018484056555360447,500,450,0,17530.0,0,0,0,10,685,1.2113332269354099e-12,1.0139205299125928e-12,18724528.0,383,66866773.0,1e-14,428,1.3734919418226468e-14
0.0002,0.018484056555360447,500,462,0,17580.0,0,0,0,11,709,1.0699417168275747e-12,9.086833418928396e-13,18724528.0,399,60444910.0,1e-14,431,1.2415822251388612e-14
