Dx,Dt,iNstep,thrCrossTimeStep,avalStatus,computeTime,streamer,classicStreamer,elecLimit,nCluster,size,finalChargesTot,ElecThr,ElecThrReachedTime,ElecMax,InducedChargeThr,InducedChargeThrTime,ChargeMax
0.0002,0.015944976277389097,500,422,0,3864.0,0,0,0,6,650,4.5034968855211044e-13,18724528.0,484,18952773.0,1e-14,-1,4.103471251898441e-15
0.0002,0.015944976277389097,500,417,0,4785.0,0,0,0,9,658,5.537600634764668e-13,18724528.0,432,23629477.0,1e-14,-1,5.116026006690176e-15
0.0002,0.015944976277389097,500,398,0,4859.0,0,0,0,9,643,5.47514941912893e-13,18724528.0,416,26442107.0,1e-14,-1,5.72498947326191e-15
0.0002,0.015944976277389097,500,394,0,5507.0,0,0,0,4,683,7.036798509803936e-13,18724528.0,404,29129229.0,1e-14,-1,6.3067791605727766e-15
0.0002,0.015944976277389097,500,486,0,2343.0,0,0,0,5,650,2.597544042919574e-13,18724528.0,-1,13598233.0,1e-14,-1,2.944157996938848e-15
0.0002,0.015944976277389097,500,437,0,7102.0,0,0,0,6,749,8.578794019783111e-13,18724528.0,450,33478843.0,1e-14,-1,7.248515549535752e-15
0.0002,0.015944976277389097,500,393,0,7456.0,0,0,0,8,709,8.878912868442337e-13,18724528.0,403,38325094.0,1e-14,-1,8.297778982279028e-15
0.0002,0.015944976277389097,500,419,0,8448.0,0,0,0,6,781,1.0710322635629602e-12,18724528.0,430,44700928.0,1e-14,-1,9.67821294441621e-15
0.0002,0.015944976277389097,500,458,0,8569.0,0,0,0,4,809,1.029219382584648e-12,18724528.0,469,42947096.0,1e-14,-1,9.298490188666457e-15
0.0002,0.015944976277389097,500,397,0,8633.0,0,0,0,12,730,1.058448596658808e-12,18724528.0,406,43949279.0,1e-14,-1,9.5154731668112e-15
0.0002,0.015944976277389097,500,478,0,4131.0,0,0,0,9,730,4.658504955613782e-13,18724528.0,536,19214568.0,1e-14,-1,4.160152575332788e-15
0.0002,0.015944976277389097,500,538,0,1198.0,0,0,0,7,633,1.0627487119078809e-13,18724528.0,-1,5172131.0,1e-14,-1,1.1198198210653781e-15
0.0002,0.015944976277389097,500,469,0,10785.0,0,0,0,3,862,1.3752399140327603e-12,18724528.0,480,56380907.0,1e-14,525,1.220704912312618e-14
0.0002,0.015944976277389097,500,404,0,10950.0,0,0,0,12,765,1.3228894379741224e-12,18724528.0,414,55297090.0,1e-14,445,1.1972391540205789e-14
0.0002,0.015944976277389097,500,426,0,11195.0,0,0,0,7,789,1.3615751064460692e-12,18724528.0,439,55644128.0,1e-14,481,1.2047528854218695e-14
0.0002,0.015944976277389097,500,391,0,4312.0,0,0,0,9,694,4.558209954627147e-13,18724528.0,-1,18521198.0,1e-14,-1,4.010030803604247e-15
0.0002,0.015944976277389097,500,391,0,7393.0,0,0,0,9,708,9.070781236509793e-13,18724528.0,403,41578653.0,1e-14,-1,9.002208134828653e-15
0.0002,0.015944976277389097,500,409,0,6566.0,0,0,0,10,709,7.545081647613673e-13,18724528.0,418,31017883.0,1e-14,-1,6.715692272853652e-15
0.0002,0.015944976277389097,500,393,0,6726.0,0,0,0,8,716,7.728159395086882e-13,18724528.0,405,34419825.0,1e-14,-1,7.452247878601998e-15
0.0002,0.015944976277389097,500,402,0,10604.0,0,0,0,9,694,1.2922318021539144e-12,18724528.0,412,67361484.0,1e-14,452,1.458445753976036e-14
0.0002,0.015944976277389097,500,427,0,9182.0,0,0,0,8,756,1.1227743613824652e-12,18724528.0,449,51150143.0,1e-14,481,1.1074534651525357e-14
0.0002,0.015944976277389097,500,404,0,12705.0,0,0,0,8,722,1.5653403860038563e-12,18724528.0,412,74653808.0,1e-14,451,1.6163321059812493e-14
0.0002,0.015944976277389097,500,423,0,9073.0,0,0,0,6,742,1.0868510969756233e-12,18724528.0,436,47078406.0,1e-14,476,1.0192961505221584e-14
0.0002,0.015944976277389097,500,411,0,9459.0,0,0,0,9,732,1.0968151143891836e-12,18724528.0,428,44819743.0,1e-14,-1,9.703937619997686e-15
0.0002,0.015944976277389097,500,393,0,9853.0,0,0,0,12,683,1.1770524417373443e-12,18724528.0,404,55036189.0,1e-14,444,1.1915903777011903e-14
