Dx,Dt,iNstep,thrCrossTimeStep,avalStatus,computeTime,streamer,classicStreamer,elecLimit,nCluster,size,finalChargesTot,totalInducedCharge,ElecThr,ElecThrReachedTime,ElecMax,InducedChargeThr,InducedChargeThrTime,ChargeMax
0.0004,0.04485688809402535,500,-1,0,865.0,0,0,0,18,805,4.2485852323435684e-15,4.243939107869115e-15,18724528.0,-1,135213.0,1e-14,-1,3.094786990524729e-17
0.0004,0.04485688809402535,500,-1,0,1073.0,0,0,0,16,914,5.9324640226510635e-15,5.924080495768538e-15,18724528.0,-1,160874.0,1e-14,-1,3.682122002423401e-17
0.0004,0.04485688809402535,500,-1,0,1171.0,0,0,0,20,956,1.0560737158766287e-15,1.0557371885220432e-15,18724528.0,-1,21620.0,1e-14,-1,4.948436521277143e-18
0.0004,0.04485688809402535,500,-1,0,1334.0,0,0,0,11,1046,6.168627812305487e-15,6.159962410950731e-15,18724528.0,-1,110993.0,1e-14,-1,2.5404339260227285e-17
0.0004,0.04485688809402535,500,-1,0,1490.0,0,0,0,16,1004,8.816694810313103e-15,8.800647885100763e-15,18724528.0,-1,229420.0,1e-14,-1,5.251018994964857e-17
0.0004,0.04485688809402535,500,-1,0,1822.0,0,0,0,21,1040,1.932196072809943e-14,1.9263463457931168e-14,18724528.0,-1,372554.0,1e-14,-1,8.527103699111399e-17
0.0004,0.04485688809402535,500,-1,0,1856.0,0,0,0,27,1002,1.7697445323223524e-14,1.7647131612488887e-14,18724528.0,-1,304877.0,1e-14,-1,6.978096583244273e-17
0.0004,0.04485688809402535,500,-1,0,1997.0,0,0,0,18,1068,2.1204756137973917e-14,2.1136957604909237e-14,18724528.0,-1,632029.0,1e-14,-1,1.4466028612887474e-16
0.0004,0.04485688809402535,500,-1,0,2105.0,0,0,0,17,1067,2.690692193908947e-14,2.6806328740790697e-14,18724528.0,-1,745050.0,1e-14,-1,1.7052879880562145e-16
0.0004,0.04485688809402535,500,-1,0,2257.0,0,0,0,13,1125,3.650296506015046e-14,3.635858701530976e-14,18724528.0,-1,1207982.0,1e-14,-1,2.7648576530274776e-16
0.0004,0.04485688809402535,500,-1,0,2769.0,0,0,0,12,1122,3.9578838815010894e-14,3.944182138009684e-14,18724528.0,-1,1470782.0,1e-14,-1,3.366360482718335e-16
0.0004,0.04485688809402535,500,-1,0,2799.0,0,0,0,19,1145,5.1895042069464985e-14,5.1666243799499935e-14,18724528.0,-1,1801727.0,1e-14,-1,4.123835193418641e-16
0.0004,0.04485688809402535,500,-1,0,2970.0,0,0,0,20,1058,4.976200683396841e-14,4.9591773216221015e-14,18724528.0,-1,1783854.0,1e-14,-1,4.0829270500584273e-16
0.0004,0.04485688809402535,500,-1,0,3025.0,0,0,0,19,1041,5.685859192154407e-14,5.649910708078824e-14,18724528.0,-1,1144453.0,1e-14,-1,2.6194509815380155e-16
0.0004,0.04485688809402535,500,-1,0,2159.0,0,0,0,22,1012,4.392127908819823e-14,4.3748460082076316e-14,18724528.0,-1,1576354.0,1e-14,-1,3.6079961628405694e-16
0.0004,0.04485688809402535,500,-1,0,3381.0,0,0,0,25,1106,4.73217011563831e-14,4.7065282389099254e-14,18724528.0,-1,1118801.0,1e-14,-1,2.5607380797601247e-16
0.0004,0.04485688809402535,500,-1,0,3421.0,0,0,0,13,1128,7.914853927310458e-14,7.85994645926219e-14,18724528.0,-1,1996164.0,1e-14,-1,4.568867178565525e-16
0.0004,0.04485688809402535,500,-1,0,3497.0,0,0,0,13,1153,7.857098875301204e-14,7.804077033995706e-14,18724528.0,-1,2163558.0,1e-14,-1,4.952002508372494e-16
0.0004,0.04485688809402535,500,-1,0,3616.0,0,0,0,17,1183,5.851021226157987e-14,5.830486733072369e-14,18724528.0,-1,2073256.0,1e-14,-1,4.745317163902388e-16
0.0004,0.04485688809402535,500,-1,0,3744.0,0,0,0,11,1137,7.556927700114642e-14,7.523630547154116e-14,18724528.0,-1,2502843.0,1e-14,-1,5.728566007503629e-16
0.0004,0.04485688809402535,500,-1,0,3794.0,0,0,0,24,1133,6.749982151148767e-14,6.707165362108946e-14,18724528.0,-1,1607979.0,1e-14,-1,3.680380207699676e-16
0.0004,0.04485688809402535,500,-1,0,1993.0,0,0,0,18,943,2.2098131578183945e-14,2.2025856533319222e-14,18724528.0,-1,753794.0,1e-14,-1,1.7253014612023974e-16
0.0004,0.04485688809402535,500,-1,0,3874.0,0,0,0,19,1138,7.96343054510216e-14,7.911820618557568e-14,18724528.0,-1,2472149.0,1e-14,-1,5.658312857372233e-16
0.0004,0.04485688809402535,500,-1,0,3079.0,0,0,0,17,1142,3.492144177247967e-14,3.4768967732927855e-14,18724528.0,-1,966788.0,1e-14,-1,2.2128071450196515e-16
0.0004,0.04485688809402535,500,-1,0,3994.0,0,0,0,17,1125,1.0208566659047085e-13,1.0131426064165112e-13,18724528.0,-1,3048447.0,1e-14,-1,6.977357293236698e-16
0.0004,0.04485688809402535,500,-1,0,4102.0,0,0,0,21,1137,1.0054209405724774e-13,9.983373904277428e-14,18724528.0,-1,2778676.0,1e-14,-1,6.359899074558874e-16
0.0004,0.04485688809402535,500,-1,0,3276.0,0,0,0,21,1125,4.858818916806216e-14,4.8358682931799566e-14,18724528.0,-1,1542211.0,1e-14,-1,3.5298488602753676e-16
0.0004,0.04485688809402535,500,-1,0,839.0,0,0,0,11,711,1.7580682591851e-16,1.7579643356305174e-16,18724528.0,-1,5319.0,1e-14,-1,1.217425247764714e-18
0.0004,0.04485688809402535,500,-1,0,3534.0,0,0,0,24,1078,8.952413486797437e-14,8.908496122621273e-14,18724528.0,-1,2879000.0,1e-14,-1,6.589523008675714e-16
0.0004,0.04485688809402535,500,-1,0,2796.0,0,0,0,14,1126,3.6222967323988195e-14,3.6101798337204624e-14,18724528.0,-1,1363351.0,1e-14,-1,3.120469879611338e-16
0.0004,0.04485688809402535,500,-1,0,3915.0,0,0,0,19,1181,6.965850896583538e-14,6.924558101948138e-14,18724528.0,-1,2080582.0,1e-14,-1,4.76208508525062e-16
0.0004,0.04485688809402535,500,-1,0,2008.0,0,0,0,19,1051,2.0621121924877856e-14,2.055551560125959e-14,18724528.0,-1,564045.0,1e-14,-1,1.2909994808713073e-16
