Dx,Dt,iNstep,thrCrossTimeStep,avalStatus,computeTime,streamer,classicStreamer,elecLimit,nCluster,size,finalChargesTot,totalInducedCharge,ElecThr,ElecThrReachedTime,ElecMax,InducedChargeThr,InducedChargeThrTime,ChargeMax
0.0004,0.04273227220536436,500,650,0,9308.0,0,0,0,19,835,7.703006731833354e-13,7.308458100901146e-13,18724528.0,568,19519912.0,1e-14,-1,4.4677634335298765e-15
0.0004,0.04273227220536436,500,607,0,11506.0,0,0,0,16,843,1.0038489921203765e-12,9.454164019320317e-13,18724528.0,559,36279897.0,1e-14,-1,8.303828274883122e-15
0.0004,0.04273227220536436,500,585,0,13113.0,0,0,0,17,824,1.16019252154087e-12,1.0948453442062675e-12,18724528.0,516,38844971.0,1e-14,-1,8.890928453485265e-15
0.0004,0.04273227220536436,500,667,0,13602.0,0,0,0,13,934,1.17525999095633e-12,1.1098659664749026e-12,18724528.0,582,44438380.0,1e-14,674,1.0171161079481578e-14
0.0004,0.04273227220536436,500,563,0,13849.0,0,0,0,18,793,1.222743210042072e-12,1.1477891119620846e-12,18724528.0,495,38281993.0,1e-14,-1,8.762072722871226e-15
0.0004,0.04273227220536436,500,629,0,13883.0,0,0,0,16,902,1.2289578686137323e-12,1.1577502240816596e-12,18724528.0,546,37016360.0,1e-14,-1,8.472391660903901e-15
0.0004,0.04273227220536436,500,588,0,14250.0,0,0,0,14,827,1.2616316494938944e-12,1.1874332776996463e-12,18724528.0,515,43202112.0,1e-14,-1,9.88820114787722e-15
0.0004,0.04273227220536436,500,550,0,14634.0,0,0,0,19,825,1.2482816874087942e-12,1.1738678977840598e-12,18724528.0,485,44252673.0,1e-14,547,1.0128656023928536e-14
0.0004,0.04273227220536436,500,608,0,15269.0,0,0,0,19,877,1.3126277888431519e-12,1.2325481571460775e-12,18724528.0,528,47932495.0,1e-14,610,1.0970902350320725e-14
0.0004,0.04273227220536436,500,587,0,15269.0,0,0,0,15,865,1.2814067606642815e-12,1.208705994868217e-12,18724528.0,520,43960345.0,1e-14,583,1.0061747302772573e-14
0.0004,0.04273227220536436,500,586,0,15376.0,0,0,0,18,858,1.2673172741960729e-12,1.1930404848642017e-12,18724528.0,517,35155156.0,1e-14,-1,8.046394905716714e-15
0.0004,0.04273227220536436,500,567,0,15478.0,0,0,0,16,851,1.3171725066444112e-12,1.2393144068445702e-12,18724528.0,517,50387706.0,1e-14,555,1.1532856826724115e-14
0.0004,0.04273227220536436,500,568,0,16273.0,0,0,0,17,872,1.36216811212967e-12,1.2864500180696983e-12,18724528.0,509,42067752.0,1e-14,-1,9.628566159335312e-15
0.0004,0.04273227220536436,500,619,0,16637.0,0,0,0,17,915,1.3671424178502764e-12,1.2804745343014395e-12,18724528.0,565,48608238.0,1e-14,605,1.1125567999728552e-14
0.0004,0.04273227220536436,500,555,0,16951.0,0,0,0,18,837,1.429352855106402e-12,1.3459309139833087e-12,18724528.0,492,49202491.0,1e-14,544,1.126158202600416e-14
0.0004,0.04273227220536436,500,545,0,17612.0,0,0,0,16,817,1.5334544806321719e-12,1.4369282570326025e-12,18724528.0,490,50361239.0,1e-14,535,1.1526798997426762e-14
0.0004,0.04273227220536436,500,547,0,17895.0,0,0,0,24,820,1.5923012076343745e-12,1.496201874969458e-12,18724528.0,483,44748011.0,1e-14,549,1.0242030152031047e-14
0.0004,0.04273227220536436,500,574,0,18292.0,0,0,0,22,894,1.5155394281562479e-12,1.4190078230773142e-12,18724528.0,514,45945322.0,1e-14,583,1.051607351372055e-14
0.0004,0.04273227220536436,500,572,0,18579.0,0,0,0,20,863,1.567907404801028e-12,1.4742807296989373e-12,18724528.0,504,47432811.0,1e-14,621,1.085653349950214e-14
0.0004,0.04273227220536436,500,548,0,18617.0,0,0,0,20,868,1.5502705224356609e-12,1.4574758651115344e-12,18724528.0,488,56650818.0,1e-14,534,1.296637265270234e-14
0.0004,0.04273227220536436,500,624,0,18938.0,0,0,0,23,921,1.5401081751579173e-12,1.44177197964414e-12,18724528.0,567,50860772.0,1e-14,652,1.1641133287009704e-14
0.0004,0.04273227220536436,500,531,0,19919.0,0,0,0,17,846,1.6455323978314668e-12,1.549468038277582e-12,18724528.0,476,54097242.0,1e-14,515,1.2381904163421266e-14
0.0004,0.04273227220536436,500,-1,0,9759.0,0,0,0,15,773,6.117100884932368e-13,5.815279273981824e-13,18724528.0,530,25359284.0,1e-14,-1,5.804292650279331e-15
0.0004,0.04273227220536436,500,621,0,12957.0,0,0,0,18,821,9.429138832280143e-13,8.921705798754538e-13,18724528.0,556,34309966.0,1e-14,-1,7.852945827852775e-15
0.0004,0.04273227220536436,500,549,0,20458.0,0,0,0,21,852,1.5998172937958982e-12,1.5037050225056813e-12,18724528.0,485,56336643.0,1e-14,550,1.2894463538730449e-14
0.0004,0.04273227220536436,500,621,0,16711.0,0,0,0,16,909,1.052051582268959e-12,9.961288767345205e-13,18724528.0,534,29920214.0,1e-14,-1,6.848209050972602e-15
0.0004,0.04273227220536436,500,565,0,19510.0,0,0,0,19,924,1.4853543258661712e-12,1.3992024082358984e-12,18724528.0,505,55382605.0,1e-14,551,1.267610107425837e-14
0.0004,0.04273227220536436,500,592,0,21171.0,0,0,0,20,938,1.38975143544487e-12,1.3142154626772582e-12,18724528.0,535,48516998.0,1e-14,579,1.1104684773632291e-14
0.0004,0.04273227220536436,500,560,0,18649.0,0,0,0,15,807,1.3020813186082359e-12,1.221533058657589e-12,18724528.0,506,47152315.0,1e-14,555,1.0792332914373917e-14
0.0004,0.04273227220536436,500,586,0,16090.0,0,0,0,17,857,1.151883966616469e-12,1.0870349861817961e-12,18724528.0,516,34580781.0,1e-14,-1,7.914930602899488e-15
0.0004,0.04273227220536436,500,562,0,17540.0,0,0,0,19,866,1.4281669693894316e-12,1.348088617195756e-12,18724528.0,503,47991943.0,1e-14,548,1.0984508948577744e-14
0.0004,0.04273227220536436,500,545,0,23366.0,0,0,0,18,929,1.5520273975311301e-12,1.4629133556448992e-12,18724528.0,487,52485741.0,1e-14,531,1.201306001899598e-14
0.0004,0.04273227220536436,500,556,0,22682.0,0,0,0,22,845,1.5628516139864782e-12,1.4687200579204445e-12,18724528.0,493,57995593.0,1e-14,559,1.3274167922031679e-14
0.0004,0.04273227220536436,500,597,0,20681.0,0,0,0,16,837,1.3582860314063173e-12,1.2776144938883516e-12,18724528.0,555,54791032.0,1e-14,590,1.2540700452694944e-14
0.0004,0.04273227220536436,500,559,0,23078.0,0,0,0,21,899,1.6147404501397583e-12,1.5109234766093475e-12,18724528.0,494,49287267.0,1e-14,575,1.1280985756555869e-14
0.0004,0.04273227220536436,500,263,0,38539.0,1,0,0,20,699,3.0571775685624817e-12,2.8784844340914825e-12,18724528.0,205,96974071.0,1e-14,250,2.2195653772124075e-14
0.0004,0.04273227220536436,500,574,0,19695.0,0,0,0,19,841,1.2623437764301892e-12,1.1933842423046567e-12,18724528.0,505,36927034.0,1e-14,-1,8.451946515635649e-15
0.0004,0.04273227220536436,500,568,0,15034.0,0,0,0,17,846,1.0416431546446363e-12,9.842821453700025e-13,18724528.0,492,35212886.0,1e-14,-1,8.059608284087357e-15
0.0004,0.04273227220536436,500,-1,0,6343.0,0,0,0,14,754,3.645587228666805e-13,3.4659845455796003e-13,18724528.0,-1,9805599.0,1e-14,-1,2.2443285941072455e-15
0.0004,0.04273227220536436,500,261,0,39826.0,1,0,0,28,715,3.131323226610698e-12,2.948320650924255e-12,18724528.0,203,94337889.0,1e-14,250,2.1592278227002282e-14
0.0004,0.04273227220536436,500,530,0,23490.0,0,0,0,22,830,1.8872317704200008e-12,1.7701782755424744e-12,18724528.0,473,62241526.0,1e-14,515,1.4245987067457022e-14
0.0004,0.04273227220536436,500,555,0,23335.0,0,0,0,17,842,1.586873859275074e-12,1.4915816075829364e-12,18724528.0,492,46870693.0,1e-14,546,1.0727874607713646e-14
0.0004,0.04273227220536436,500,521,0,25133.0,0,0,0,17,869,1.718833496697094e-12,1.6143634223938366e-12,18724528.0,461,52391807.0,1e-14,576,1.199156018383458e-14
0.0004,0.04273227220536436,500,601,0,22834.0,0,0,0,21,890,1.5917833361284812e-12,1.494398958185279e-12,18724528.0,553,54193390.0,1e-14,590,1.240391074411728e-14
0.0004,0.04273227220536436,500,566,0,22774.0,0,0,0,15,939,1.4899739454182036e-12,1.4043427019111976e-12,18724528.0,502,56166360.0,1e-14,561,1.2855488764625339e-14
0.0004,0.04273227220536436,500,547,0,22847.0,0,0,0,27,850,1.53646097007432e-12,1.447887135865269e-12,18724528.0,481,44014892.0,1e-14,553,1.007423214860634e-14
0.0004,0.04273227220536436,500,604,0,12995.0,0,0,0,11,941,1.2386004236048618e-12,1.171718568378936e-12,18724528.0,532,34083755.0,1e-14,-1,7.80117012138124e-15
0.0004,0.04273227220536436,500,659,0,9051.0,0,0,0,13,832,7.50785422679491e-13,7.104171487306821e-13,18724528.0,547,29325356.0,1e-14,-1,6.712056550872053e-15
0.0004,0.04273227220536436,500,552,0,15482.0,0,0,0,24,789,1.4107350543775746e-12,1.3247461240210444e-12,18724528.0,486,55525519.0,1e-14,544,1.2708811567181685e-14
0.0004,0.04273227220536436,500,643,0,14625.0,0,0,0,15,861,9.798732639661362e-13,9.230617766709215e-13,18724528.0,562,30510027.0,1e-14,-1,6.9832068395907365e-15
0.0004,0.04273227220536436,500,533,0,18797.0,0,0,0,25,789,1.302459300651813e-12,1.2282909828444873e-12,18724528.0,453,42625541.0,1e-14,-1,9.756234219407779e-15
0.0004,0.04273227220536436,500,264,0,32612.0,1,0,0,18,690,2.4124339661645736e-12,2.2855399574806e-12,18724528.0,206,98671188.0,1e-14,253,2.2584093908279507e-14
0.0004,0.04273227220536436,500,614,0,15472.0,0,0,0,21,884,1.1075798476855825e-12,1.047323953820369e-12,18724528.0,535,41158378.0,1e-14,-1,9.420426496379725e-15
0.0004,0.04273227220536436,500,694,0,10010.0,0,0,0,12,832,6.649736595926611e-13,6.324718075287624e-13,18724528.0,569,27927463.0,1e-14,-1,6.392103508594638e-15
0.0004,0.04273227220536436,500,570,0,12637.0,0,0,0,22,789,8.465599078047251e-13,7.991477735702173e-13,18724528.0,463,24292934.0,1e-14,-1,5.560223950720409e-15
0.0004,0.04273227220536436,500,589,0,13479.0,0,0,0,23,845,9.350279927605926e-13,8.848383612071704e-13,18724528.0,509,35398293.0,1e-14,-1,8.102044674933815e-15
0.0004,0.04273227220536436,500,-1,0,9517.0,0,0,0,15,812,6.220666928035599e-13,5.924874739408898e-13,18724528.0,522,20618122.0,1e-14,-1,4.719124324928202e-15
0.0004,0.04273227220536436,500,630,0,14316.0,0,0,0,14,864,9.728016838181082e-13,9.225176700192802e-13,18724528.0,539,29499243.0,1e-14,-1,6.751856216985617e-15
0.0004,0.04273227220536436,500,570,0,14711.0,0,0,0,25,788,1.007817829327208e-12,9.510430493498163e-13,18724528.0,512,40866958.0,1e-14,-1,9.353725600402362e-15
0.0004,0.04273227220536436,500,548,0,20851.0,0,0,0,20,862,1.456663598533686e-12,1.3726221583783037e-12,18724528.0,489,47116780.0,1e-14,532,1.078419957987884e-14
0.0004,0.04273227220536436,500,578,0,12460.0,0,0,0,22,777,8.684080790226441e-13,8.203961135332249e-13,18724528.0,496,29592172.0,1e-14,-1,6.773126025379965e-15
0.0004,0.04273227220536436,500,635,0,15041.0,0,0,0,15,880,9.837847141866735e-13,9.290727756376207e-13,18724528.0,545,30771997.0,1e-14,-1,7.0431671502049336e-15
0.0004,0.04273227220536436,500,593,0,17096.0,0,0,0,24,796,1.1717583861786956e-12,1.0994766685916967e-12,18724528.0,504,39859788.0,1e-14,-1,9.123202158629252e-15
