Dx,Dt,iNstep,thrCrossTimeStep,avalStatus,computeTime,streamer,classicStreamer,elecLimit,nCluster,size,finalChargesTot,ElecThr,ElecThrReachedTime,ElecMax,InducedChargeThr,InducedChargeThrTime,ChargeMax
0.0002,0.019020631749550408,500,-1,0,972.0,0,0,0,7,608,4.311087170165036e-14,18724528.0,-1,2500089.0,1e-14,-1,5.412951096226141e-16
0.0002,0.019020631749550408,500,445,0,5065.0,0,0,0,9,760,7.807744933440497e-13,18724528.0,460,31314922.0,1e-14,-1,6.7800042865728385e-15
0.0002,0.019020631749550408,500,445,0,4416.0,0,0,0,12,726,6.883826914281418e-13,18724528.0,496,28626644.0,1e-14,-1,6.197964313313461e-15
0.0002,0.019020631749550408,500,412,0,5706.0,0,0,0,10,700,8.489287886895908e-13,18724528.0,425,38302360.0,1e-14,-1,8.292856836298559e-15
0.0002,0.019020631749550408,500,186,0,5832.0,1,0,0,9,630,8.514651156929093e-13,18724528.0,204,59216522.0,1e-14,239,1.2820989079772738e-14
0.0002,0.019020631749550408,500,-1,0,64.0,0,0,0,6,473,2.297568714631939e-16,18724528.0,-1,10462.0,1e-14,-1,2.265131136080271e-18
0.0002,0.019020631749550408,500,410,0,6060.0,0,0,0,13,710,9.461186164065374e-13,18724528.0,420,33797219.0,1e-14,-1,7.317447244295901e-15
0.0002,0.019020631749550408,500,446,0,6210.0,0,0,0,6,750,8.715829307065275e-13,18724528.0,495,35552807.0,1e-14,-1,7.697550192195812e-15
0.0002,0.019020631749550408,500,440,0,7016.0,0,0,0,10,753,9.990126962245148e-13,18724528.0,457,37463848.0,1e-14,-1,8.111310321370533e-15
0.0002,0.019020631749550408,500,403,0,7485.0,0,0,0,15,716,1.0838877431722895e-12,18724528.0,416,45675457.0,1e-14,-1,9.88920854572697e-15
0.0002,0.019020631749550408,500,405,0,7768.0,0,0,0,8,783,1.3138256854772027e-12,18724528.0,414,55119290.0,1e-14,453,1.1933896002450568e-14
0.0002,0.019020631749550408,500,445,0,9928.0,0,0,0,10,831,1.3218766448414532e-12,18724528.0,460,58749770.0,1e-14,492,1.271993244738622e-14
0.0002,0.019020631749550408,500,423,0,9983.0,0,0,0,10,792,1.4424073743193584e-12,18724528.0,434,60935580.0,1e-14,468,1.31931829050956e-14
0.0002,0.019020631749550408,500,441,0,2532.0,0,0,0,5,660,2.911540364061486e-13,18724528.0,-1,12295463.0,1e-14,-1,2.662094826402499e-15
0.0002,0.019020631749550408,500,371,0,4530.0,0,0,0,7,695,6.938010013716963e-13,18724528.0,384,28365938.0,1e-14,-1,6.141518769635111e-15
0.0002,0.019020631749550408,500,462,0,3017.0,0,0,0,5,666,3.4347231889338656e-13,18724528.0,-1,14776562.0,1e-14,-1,3.199278404742931e-15
