Dx,Dt,iNstep,thrCrossTimeStep,avalStatus,computeTime,streamer,classicStreamer,elecLimit,nCluster,size,finalChargesTot,ElecThr,ElecThrReachedTime,ElecMax,InducedChargeThr,InducedChargeThrTime,ChargeMax
0.0002,0.022428444047012674,1000,-1,0,3485.0,0,0,0,10,1826,3.830788645299208e-15,18724528.0,-1,127771.0,1e-14,-1,1.4622263708605507e-17
0.0002,0.022428444047012674,1000,-1,0,4073.0,0,0,0,19,1808,1.1463359331688697e-14,18724528.0,-1,265828.0,1e-14,-1,3.0421669370445436e-17
0.0002,0.022428444047012674,1000,-1,0,5210.0,0,0,0,23,2009,1.9708889897386444e-14,18724528.0,-1,508075.0,1e-14,-1,5.814470133089465e-17
0.0002,0.022428444047012674,1000,-1,0,5699.0,0,0,0,15,2152,1.7137316412485886e-14,18724528.0,-1,369827.0,1e-14,-1,4.232343740412493e-17
0.0002,0.022428444047012674,1000,-1,0,6049.0,0,0,0,16,2259,3.283074256291669e-14,18724528.0,-1,732998.0,1e-14,-1,8.388515432985898e-17
0.0002,0.022428444047012674,1000,-1,0,6126.0,0,0,0,18,2109,2.015730579371501e-14,18724528.0,-1,574900.0,1e-14,-1,6.579223302687858e-17
0.0002,0.022428444047012674,1000,-1,0,6796.0,0,0,0,18,2258,5.564214869352456e-14,18724528.0,-1,1845399.0,1e-14,-1,2.1118963478095083e-16
0.0002,0.022428444047012674,1000,-1,0,6810.0,0,0,0,10,2273,5.069119881510409e-14,18724528.0,-1,1788144.0,1e-14,-1,2.0463730515500912e-16
0.0002,0.022428444047012674,1000,-1,0,6956.0,0,0,0,21,2295,4.173673502305615e-14,18724528.0,-1,1499447.0,1e-14,-1,1.7159848049304915e-16
0.0002,0.022428444047012674,1000,-1,0,6986.0,0,0,0,19,2178,4.114980204301462e-14,18724528.0,-1,1536792.0,1e-14,-1,1.7587228627212175e-16
0.0002,0.022428444047012674,1000,-1,0,7507.0,0,0,0,20,2238,2.848773752251768e-14,18724528.0,-1,923857.0,1e-14,-1,1.0572728305359706e-16
0.0002,0.022428444047012674,1000,-1,0,4917.0,0,0,0,17,2169,3.777282817104053e-15,18724528.0,-1,72861.0,1e-14,-1,8.338298644236212e-18
0.0002,0.022428444047012674,1000,-1,0,8552.0,0,0,0,18,2252,8.847159635451632e-14,18724528.0,-1,2724729.0,1e-14,-1,3.118211955176444e-16
0.0002,0.022428444047012674,1000,-1,0,5498.0,0,0,0,18,2009,3.157951974548226e-14,18724528.0,-1,1123426.0,1e-14,-1,1.285661944346044e-16
0.0002,0.022428444047012674,1000,-1,0,2041.0,0,0,0,16,1451,9.151313947270154e-16,18724528.0,-1,22659.0,1e-14,-1,2.5931226442095007e-18
0.0002,0.022428444047012674,1000,-1,0,5678.0,0,0,0,19,2182,1.3088509770659303e-14,18724528.0,-1,274432.0,1e-14,-1,3.1406321262884574e-17
0.0002,0.022428444047012674,1000,-1,0,6277.0,0,0,0,13,2157,3.7960789908877654e-14,18724528.0,-1,1394088.0,1e-14,-1,1.5954107245777539e-16
0.0002,0.022428444047012674,1000,-1,0,7582.0,0,0,0,17,2142,5.736186428084638e-14,18724528.0,-1,2001313.0,1e-14,-1,2.2903261655195936e-16
0.0002,0.022428444047012674,1000,-1,0,6714.0,0,0,0,8,2241,5.026143442746658e-14,18724528.0,-1,1747205.0,1e-14,-1,1.9995219778348823e-16
0.0002,0.022428444047012674,1000,-1,0,6204.0,0,0,0,11,2194,2.8156744568715492e-14,18724528.0,-1,750371.0,1e-14,-1,8.587334090904836e-17
0.0002,0.022428444047012674,1000,-1,0,6943.0,0,0,0,14,2208,5.94742288075136e-14,18724528.0,-1,2029001.0,1e-14,-1,2.322012638785347e-16
0.0002,0.022428444047012674,1000,-1,0,7001.0,0,0,0,17,2233,5.432640485566463e-14,18724528.0,-1,1868429.0,1e-14,-1,2.13825215102066e-16
