Dx,Dt,iNstep,thrCrossTimeStep,avalStatus,computeTime,streamer,classicStreamer,elecLimit,nCluster,size,finalChargesTot,ElecThr,ElecThrReachedTime,ElecMax,InducedChargeThr,InducedChargeThrTime,ChargeMax
0.0002,0.014227764196964554,500,260,0,2847.0,1,0,0,2,504,4.0223029342188305e-13,18724528.0,256,37644361.0,1e-14,-1,8.150393251667542e-15
0.0002,0.014227764196964554,500,270,0,5188.0,1,0,0,5,530,8.330973916151425e-13,18724528.0,269,82877293.0,1e-14,286,1.794379056092023e-14
0.0002,0.014227764196964554,500,267,0,5366.0,1,0,0,5,496,8.899256361489187e-13,18724528.0,263,68527564.0,1e-14,286,1.4836925912457797e-14
0.0002,0.014227764196964554,500,259,0,8197.0,1,0,0,6,477,1.4290331203560315e-12,18724528.0,258,143494076.0,1e-14,278,3.106795062040418e-14
0.0002,0.014227764196964554,500,251,0,9552.0,1,0,0,8,440,1.7452194576205755e-12,18724528.0,247,175184943.0,1e-14,266,3.7929350885275036e-14
0.0002,0.014227764196964554,500,223,0,9803.0,1,0,0,10,531,1.7565783675565163e-12,18724528.0,218,192121732.0,1e-14,234,4.159634076379941e-14
0.0002,0.014227764196964554,500,243,0,9887.0,1,0,0,7,479,1.865287970224009e-12,18724528.0,238,191158278.0,1e-14,257,4.138774301446076e-14
0.0002,0.014227764196964554,500,276,0,7675.0,1,0,0,4,546,1.5561178783855568e-12,18724528.0,278,121216336.0,1e-14,302,2.624458964587725e-14
0.0002,0.014227764196964554,500,235,0,12893.0,1,0,0,12,525,2.444091124134958e-12,18724528.0,231,267498609.0,1e-14,248,5.791621373581169e-14
0.0002,0.014227764196964554,500,242,0,12960.0,1,0,0,5,497,3.185815902465688e-12,18724528.0,237,317708201.0,1e-14,254,6.878710937422565e-14
0.0002,0.014227764196964554,500,235,0,8864.0,1,0,0,9,442,1.8202430134222305e-12,18724528.0,229,201167885.0,1e-14,247,4.355492639007026e-14
0.0002,0.014227764196964554,500,287,0,4430.0,1,0,0,5,571,9.20857340495503e-13,18724528.0,287,101885000.0,1e-14,306,2.2059155591620953e-14
0.0002,0.014227764196964554,500,252,0,15597.0,1,0,0,6,743,3.0122401486587987e-12,18724528.0,255,207144233.0,1e-14,285,4.484886750408781e-14
0.0002,0.014227764196964554,500,249,0,12055.0,1,0,0,9,607,2.4740545905779134e-12,18724528.0,244,239470355.0,1e-14,263,5.1847807042505806e-14
0.0002,0.014227764196964554,500,237,0,17833.0,1,0,0,13,519,3.510326873572042e-12,18724528.0,232,336899727.0,1e-14,248,7.294227311839446e-14
0.0002,0.014227764196964554,500,283,0,5023.0,1,0,0,7,584,1.0578167590917463e-12,18724528.0,298,97843797.0,1e-14,314,2.118419337191907e-14
0.0002,0.014227764196964554,500,248,0,18098.0,1,0,0,9,497,3.673699903855678e-12,18724528.0,244,314791709.0,1e-14,260,6.815565871112792e-14
0.0002,0.014227764196964554,500,240,0,8303.0,1,0,0,8,469,1.7379176636405583e-12,18724528.0,235,149060876.0,1e-14,251,3.227322035930038e-14
0.0002,0.014227764196964554,500,241,0,13308.0,1,0,0,10,569,2.9029587987029143e-12,18724528.0,236,308846463.0,1e-14,254,6.686845150158316e-14
0.0002,0.014227764196964554,500,235,0,7975.0,1,0,0,12,497,1.638101155476372e-12,18724528.0,230,128227952.0,1e-14,248,2.776267698250875e-14
0.0002,0.014227764196964554,500,238,0,13671.0,1,0,0,11,445,2.906741706050267e-12,18724528.0,233,268981509.0,1e-14,251,5.823727691318637e-14
0.0002,0.014227764196964554,500,198,0,7719.0,1,0,0,8,531,1.5142957980995795e-12,18724528.0,193,146293628.0,1e-14,210,3.167408256480067e-14
0.0002,0.014227764196964554,500,257,0,3543.0,1,0,0,7,482,6.316980835319974e-13,18724528.0,254,47372317.0,1e-14,285,1.0256596274609519e-14
0.0002,0.014227764196964554,500,255,0,16664.0,1,0,0,7,469,3.4839610922655445e-12,18724528.0,254,293967101.0,1e-14,270,6.364691583429114e-14
0.0002,0.014227764196964554,500,201,0,3338.0,1,0,0,4,404,5.72564750446595e-13,18724528.0,198,52903348.0,1e-14,217,1.1454121655294398e-14
0.0002,0.014227764196964554,500,248,0,8911.0,1,0,0,4,438,1.828717188355051e-12,18724528.0,243,171218273.0,1e-14,260,3.707052583045231e-14
0.0002,0.014227764196964554,500,239,0,14709.0,1,0,0,8,435,2.890359379156239e-12,18724528.0,234,253543064.0,1e-14,252,5.4894693997667036e-14
0.0002,0.014227764196964554,500,227,0,11156.0,1,0,0,16,545,2.157154548425e-12,18724528.0,222,219278741.0,1e-14,242,4.7476113909346385e-14
0.0002,0.014227764196964554,500,256,0,14762.0,1,0,0,4,502,2.7920552169075913e-12,18724528.0,251,253966500.0,1e-14,269,5.4986372268335844e-14
0.0002,0.014227764196964554,500,228,0,15110.0,1,0,0,9,511,2.9637305055558493e-12,18724528.0,223,284627098.0,1e-14,240,6.162470864576283e-14
0.0002,0.014227764196964554,500,243,0,13527.0,1,0,0,9,480,3.1119904449310637e-12,18724528.0,240,327111356.0,1e-14,259,7.082298962349821e-14
0.0002,0.014227764196964554,500,245,0,5221.0,1,0,0,7,467,8.722432631989272e-13,18724528.0,243,65671900.0,1e-14,263,1.4218645140083148e-14
0.0002,0.014227764196964554,500,266,0,4589.0,0,0,0,5,435,7.269681004587615e-13,18724528.0,262,73764590.0,1e-14,281,1.5970796171783148e-14
0.0002,0.014227764196964554,500,249,0,8121.0,1,0,0,8,448,1.3368355511616835e-12,18724528.0,253,126049764.0,1e-14,272,2.729107676658096e-14
0.0002,0.014227764196964554,500,248,0,4586.0,0,0,0,8,447,8.199265707635976e-13,18724528.0,246,67367321.0,1e-14,265,1.4585721310592078e-14
0.0002,0.014227764196964554,500,226,0,14707.0,1,0,0,12,542,2.412525179606111e-12,18724528.0,221,279751075.0,1e-14,238,6.056899926729368e-14
0.0002,0.014227764196964554,500,250,0,18911.0,1,0,0,6,544,3.5785225875613837e-12,18724528.0,245,342837391.0,1e-14,269,7.422783874657103e-14
0.0002,0.014227764196964554,500,248,0,13393.0,1,0,0,6,482,2.306345824548206e-12,18724528.0,242,247113398.0,1e-14,260,5.350260485111796e-14
0.0002,0.014227764196964554,500,228,0,7176.0,1,0,0,16,611,1.1726884048426893e-12,18724528.0,227,101604197.0,1e-14,277,2.1998358839718364e-14
0.0002,0.014227764196964554,500,235,0,8662.0,1,0,0,5,621,1.7184643948434997e-12,18724528.0,232,156105361.0,1e-14,252,3.37984241741685e-14
0.0002,0.014227764196964554,500,250,0,15755.0,1,0,0,7,520,2.6203437043480315e-12,18724528.0,249,211734704.0,1e-14,267,4.584275192306822e-14
0.0002,0.014227764196964554,500,242,0,8318.0,1,0,0,6,578,1.4013221181119442e-12,18724528.0,239,161728532.0,1e-14,271,3.5015898817219886e-14
0.0002,0.014227764196964554,500,239,0,11263.0,1,0,0,13,614,1.727745953923884e-12,18724528.0,241,171788561.0,1e-14,335,3.719399907699531e-14
0.0002,0.014227764196964554,500,281,0,6865.0,1,0,0,5,520,1.1312965990117705e-12,18724528.0,281,104403814.0,1e-14,303,2.260450485728669e-14
0.0002,0.014227764196964554,500,248,0,14779.0,1,0,0,5,490,2.524357455424252e-12,18724528.0,242,203961679.0,1e-14,259,4.4159811667951595e-14
0.0002,0.014227764196964554,500,253,0,13404.0,1,0,0,8,425,2.2625701669530503e-12,18724528.0,248,201553462.0,1e-14,264,4.3638407795925426e-14
0.0002,0.014227764196964554,500,225,0,11742.0,1,0,0,14,432,2.056042765010102e-12,18724528.0,220,175728181.0,1e-14,242,3.804696752722707e-14
0.0002,0.014227764196964554,500,227,0,18067.0,1,0,0,11,431,3.0376508024120447e-12,18724528.0,222,277600632.0,1e-14,243,6.010340613064054e-14
0.0002,0.014227764196964554,500,255,0,9171.0,1,0,0,7,571,1.681318095591667e-12,18724528.0,250,188507195.0,1e-14,269,4.08137561431519e-14
0.0002,0.014227764196964554,500,251,0,6607.0,1,0,0,6,450,1.2086805128245817e-12,18724528.0,249,129168703.0,1e-14,271,2.7966359297687352e-14
0.0002,0.014227764196964554,500,277,0,4968.0,1,0,0,7,537,8.034462686122864e-13,18724528.0,278,63522835.0,1e-14,293,1.375335035467306e-14
0.0002,0.014227764196964554,500,241,0,23294.0,1,0,0,7,505,4.135530407838935e-12,18724528.0,236,348175013.0,1e-14,255,7.538348907966479e-14
0.0002,0.014227764196964554,500,136,0,9358.0,1,0,0,14,610,1.7052546831063239e-12,18724528.0,136,163767185.0,1e-14,183,3.545728826340257e-14
0.0002,0.014227764196964554,500,262,0,5450.0,1,0,0,4,501,9.029350398845009e-13,18724528.0,258,101950024.0,1e-14,280,2.20732339597143e-14
0.0002,0.014227764196964554,500,265,0,9268.0,1,0,0,6,542,1.7325712734509123e-12,18724528.0,261,171248031.0,1e-14,285,3.70769687450334e-14
0.0002,0.014227764196964554,500,258,0,9531.0,1,0,0,9,598,1.6073185899445886e-12,18724528.0,271,146215638.0,1e-14,303,3.1657196923689674e-14
0.0002,0.014227764196964554,500,243,0,18555.0,1,0,0,8,578,3.739728544889687e-12,18724528.0,237,290733064.0,1e-14,254,6.294671339652248e-14
0.0002,0.014227764196964554,500,245,0,11879.0,1,0,0,7,534,2.2105472768786812e-12,18724528.0,240,227525871.0,1e-14,257,4.9261702797350727e-14
0.0002,0.014227764196964554,500,134,0,8562.0,1,0,0,10,652,1.6135283794029273e-12,18724528.0,133,126970893.0,1e-14,187,2.7490510715944978e-14
0.0002,0.014227764196964554,500,244,0,17030.0,1,0,0,9,482,2.938134652541791e-12,18724528.0,238,270883720.0,1e-14,259,5.864912525609344e-14
0.0002,0.014227764196964554,500,253,0,16126.0,1,0,0,8,545,2.9197759181896883e-12,18724528.0,249,294358039.0,1e-14,274,6.373155795205798e-14
0.0002,0.014227764196964554,500,239,0,13791.0,1,0,0,10,488,2.4110865974630072e-12,18724528.0,237,236712069.0,1e-14,260,5.125060961363806e-14
0.0002,0.014227764196964554,500,259,0,10459.0,1,0,0,6,623,1.7131947716411657e-12,18724528.0,254,186234363.0,1e-14,270,4.032166452297608e-14
0.0002,0.014227764196964554,500,280,0,9901.0,1,0,0,4,492,1.6607794808318057e-12,18724528.0,275,145426049.0,1e-14,292,3.148624274393376e-14
0.0002,0.014227764196964554,500,235,0,16198.0,1,0,0,11,414,2.9270777000451278e-12,18724528.0,230,287605773.0,1e-14,246,6.22696225710891e-14
0.0002,0.014227764196964554,500,241,0,16577.0,1,0,0,9,510,2.9900528124529046e-12,18724528.0,237,220428480.0,1e-14,255,4.7725044286641885e-14
0.0002,0.014227764196964554,500,252,0,19680.0,1,0,0,10,512,3.49454659393841e-12,18724528.0,248,351996719.0,1e-14,273,7.621092793012785e-14
0.0002,0.014227764196964554,500,240,0,18132.0,1,0,0,6,466,3.3420605908288005e-12,18724528.0,234,291799591.0,1e-14,252,6.317762751573198e-14
0.0002,0.014227764196964554,500,272,0,8190.0,1,0,0,5,585,1.517025735140732e-12,18724528.0,272,135287821.0,1e-14,293,2.929121159238715e-14
0.0002,0.014227764196964554,500,246,0,14121.0,1,0,0,6,473,2.4286180598941205e-12,18724528.0,244,205097667.0,1e-14,260,4.4405764811615676e-14
0.0002,0.014227764196964554,500,256,0,5938.0,1,0,0,6,602,1.1940673696138848e-12,18724528.0,255,116343317.0,1e-14,278,2.518953066445776e-14
0.0002,0.014227764196964554,500,245,0,15349.0,1,0,0,9,456,2.820641292224671e-12,18724528.0,243,240218639.0,1e-14,258,5.200981826282988e-14
0.0002,0.014227764196964554,500,227,0,11018.0,1,0,0,8,439,1.9501531020809436e-12,18724528.0,222,161958532.0,1e-14,238,3.5065696194518535e-14
0.0002,0.014227764196964554,500,262,0,7856.0,1,0,0,7,401,1.2921312655793561e-12,18724528.0,257,123943956.0,1e-14,277,2.6835147568778724e-14
0.0002,0.014227764196964554,500,261,0,11446.0,1,0,0,5,674,2.0135304361325497e-12,18724528.0,256,194665631.0,1e-14,276,4.2147121191245723e-14
0.0002,0.014227764196964554,500,220,0,11567.0,1,0,0,7,381,2.0941957123982516e-12,18724528.0,214,191155170.0,1e-14,233,4.138707010033621e-14
0.0002,0.014227764196964554,500,268,0,5273.0,1,0,0,5,548,9.085772856026224e-13,18724528.0,269,96279506.0,1e-14,288,2.0845508201780477e-14
0.0002,0.014227764196964554,500,253,0,13767.0,1,0,0,5,491,2.3006562265040105e-12,18724528.0,248,211716975.0,1e-14,264,4.583891341131986e-14
0.0002,0.014227764196964554,500,214,0,13299.0,1,0,0,12,412,2.6162529524288438e-12,18724528.0,209,282335331.0,1e-14,225,6.112851740237332e-14
0.0002,0.014227764196964554,500,-1,0,186.0,0,0,0,3,315,2.3250451969936766e-14,18724528.0,-1,1719832.0,1e-14,-1,3.723614043229979e-16
0.0002,0.014227764196964554,500,248,0,13519.0,1,0,0,9,571,2.32640431248208e-12,18724528.0,244,227710055.0,1e-14,261,4.930158053709145e-14
0.0002,0.014227764196964554,500,233,0,21028.0,1,0,0,7,514,3.5300223074479274e-12,18724528.0,228,268760436.0,1e-14,247,5.818941232365787e-14
0.0002,0.014227764196964554,500,254,0,11889.0,1,0,0,6,632,2.121523546341103e-12,18724528.0,249,245753945.0,1e-14,267,5.3208269225201535e-14
0.0002,0.014227764196964554,500,247,0,15305.0,1,0,0,9,544,2.639728593984703e-12,18724528.0,242,274397738.0,1e-14,262,5.94099464742685e-14
0.0002,0.014227764196964554,500,248,0,20244.0,1,0,0,6,551,3.561143782887571e-12,18724528.0,242,277001716.0,1e-14,259,5.997373462619621e-14
0.0002,0.014227764196964554,500,242,0,11273.0,0,0,0,9,430,1.858485748729302e-12,18724528.0,238,201910268.0,1e-14,257,4.3715659982901157e-14
0.0002,0.014227764196964554,500,243,0,8949.0,1,0,0,8,504,1.7161281970042358e-12,18724528.0,238,203209076.0,1e-14,258,4.399686533948596e-14
0.0002,0.014227764196964554,500,241,0,7964.0,1,0,0,10,468,1.5801344978633947e-12,18724528.0,240,156326112.0,1e-14,258,3.3846219047368713e-14
0.0002,0.014227764196964554,500,242,0,12991.0,1,0,0,8,572,2.080717234905852e-12,18724528.0,237,211324637.0,1e-14,255,4.5753968179082456e-14
0.0002,0.014227764196964554,500,259,0,13144.0,1,0,0,8,541,2.273243120398318e-12,18724528.0,256,256039513.0,1e-14,276,5.543520100966637e-14
0.0002,0.014227764196964554,500,249,0,22434.0,1,0,0,10,461,4.069341278301794e-12,18724528.0,243,317407066.0,1e-14,260,6.872191053416994e-14
0.0002,0.014227764196964554,500,256,0,15387.0,1,0,0,7,663,2.7890996314951135e-12,18724528.0,259,165412405.0,1e-14,299,3.5813495398529894e-14
0.0002,0.014227764196964554,500,281,0,8865.0,1,0,0,5,481,1.8553439419107236e-12,18724528.0,278,173071188.0,1e-14,298,3.7471701079831954e-14
0.0002,0.014227764196964554,500,240,0,14028.0,1,0,0,11,441,2.870436355677358e-12,18724528.0,234,247906459.0,1e-14,250,5.367431075476077e-14
0.0002,0.014227764196964554,500,254,0,9850.0,1,0,0,10,712,2.0339328726028415e-12,18724528.0,249,213686622.0,1e-14,272,4.6265362345250955e-14
0.0002,0.014227764196964554,500,242,0,11450.0,1,0,0,11,557,2.8548314972647426e-12,18724528.0,241,309568683.0,1e-14,263,6.702481959650767e-14
0.0002,0.014227764196964554,500,241,0,7814.0,1,0,0,6,436,2.171241591437975e-12,18724528.0,236,176683621.0,1e-14,256,3.825383016273237e-14
0.0002,0.014227764196964554,500,253,0,8823.0,1,0,0,7,505,2.5755796907088138e-12,18724528.0,248,267933353.0,1e-14,266,5.801034030536099e-14
0.0002,0.014227764196964554,500,241,0,13381.0,1,0,0,8,559,3.6147285977958527e-12,18724528.0,237,342456448.0,1e-14,253,7.414536064961329e-14
0.0002,0.014227764196964554,500,251,0,10939.0,1,0,0,4,465,3.6425786061710166e-12,18724528.0,246,345983736.0,1e-14,263,7.490905495994804e-14
