Dx,Dt,iNstep,thrCrossTimeStep,avalStatus,computeTime,streamer,classicStreamer,elecLimit,nCluster,size,finalChargesTot,ElecThr,ElecThrReachedTime,ElecMax,InducedChargeThr,InducedChargeThrTime,ChargeMax
0.0002,0.018484056555360447,500,358,0,3654.0,0,0,0,11,576,6.024858224336616e-13,18724528.0,375,33320272.0,1e-14,-1,7.214183289033036e-15
0.0002,0.018484056555360447,500,379,0,4709.0,0,0,0,10,675,5.928615493588056e-13,18724528.0,387,28084142.0,1e-14,-1,6.080507022968804e-15
0.0002,0.018484056555360447,500,407,0,4855.0,0,0,0,8,696,5.820267466429472e-13,18724528.0,413,28312979.0,1e-14,-1,6.130052598746593e-15
0.0002,0.018484056555360447,500,367,0,4917.0,0,0,0,12,627,8.410338756859056e-13,18724528.0,389,37819951.0,1e-14,-1,8.188410301580024e-15
0.0002,0.018484056555360447,500,368,0,1789.0,0,0,0,8,500,2.1008130609132273e-13,18724528.0,-1,12530136.0,1e-14,-1,2.7129039565016528e-15
0.0002,0.018484056555360447,500,360,0,6912.0,0,0,0,7,670,9.626556334403861e-13,18724528.0,364,52377237.0,1e-14,407,1.1340213185868434e-14
0.0002,0.018484056555360447,500,386,0,9411.0,0,0,0,10,681,1.4098241611726755e-12,18724528.0,390,67653016.0,1e-14,421,1.464757723105876e-14
0.0002,0.018484056555360447,500,366,0,10004.0,0,0,0,5,694,1.538263390110879e-12,18724528.0,380,81284608.0,1e-14,412,1.7598957796298936e-14
0.0002,0.018484056555360447,500,331,0,10315.0,0,0,0,8,637,1.4377842702499814e-12,18724528.0,334,67487145.0,1e-14,369,1.4611664445102662e-14
0.0002,0.018484056555360447,500,391,0,11019.0,0,0,0,11,726,1.5354800369386694e-12,18724528.0,396,76980504.0,1e-14,424,1.6667074792731012e-14
0.0002,0.018484056555360447,500,355,0,11284.0,0,0,0,14,717,2.047854729920942e-12,18724528.0,365,95692659.0,1e-14,392,2.0718449760582293e-14
0.0002,0.018484056555360447,500,372,0,13067.0,0,0,0,8,695,1.780905441205263e-12,18724528.0,375,85543557.0,1e-14,408,1.852106427564112e-14
0.0002,0.018484056555360447,500,390,0,9179.0,0,0,0,5,724,1.2417655891359283e-12,18724528.0,398,54992967.0,1e-14,436,1.19065457672658e-14
0.0002,0.018484056555360447,500,388,0,10808.0,1,0,0,9,801,1.4708712782665462e-12,18724528.0,394,81402387.0,1e-14,424,1.7624458167172226e-14
0.0002,0.018484056555360447,500,367,0,16824.0,0,0,0,11,708,2.292159514144265e-12,18724528.0,373,124197372.0,1e-14,401,2.689001475210706e-14
0.0002,0.018484056555360447,500,373,0,4303.0,0,0,0,10,627,4.712044932747038e-13,18724528.0,425,21118373.0,1e-14,-1,4.5723460357156295e-15
0.0002,0.018484056555360447,500,303,0,12831.0,0,0,0,12,742,1.6774716719060758e-12,18724528.0,309,87147986.0,1e-14,336,1.8868439737649352e-14
0.0002,0.018484056555360447,500,393,0,11477.0,0,0,0,4,769,1.5048233310303566e-12,18724528.0,407,79227255.0,1e-14,433,1.7153519606831512e-14
0.0002,0.018484056555360447,500,397,0,8236.0,0,0,0,8,705,9.745344881851962e-13,18724528.0,443,45712386.0,1e-14,-1,9.897204055928104e-15
0.0002,0.018484056555360447,500,373,0,9400.0,0,0,0,14,689,1.4097803282221157e-12,18724528.0,388,70731430.0,1e-14,429,1.5314085680795465e-14
0.0002,0.018484056555360447,500,358,0,15288.0,1,0,0,11,709,2.0183788664058696e-12,18724528.0,368,99601621.0,1e-14,395,2.1564780436930472e-14
0.0002,0.018484056555360447,500,377,0,11016.0,0,0,0,14,701,1.3721641578059005e-12,18724528.0,386,60818700.0,1e-14,415,1.3167877177014448e-14
0.0002,0.018484056555360447,500,378,0,14796.0,0,0,0,7,695,1.890348413961927e-12,18724528.0,385,99111991.0,1e-14,410,2.1458770481075096e-14
0.0002,0.018484056555360447,500,335,0,5762.0,0,0,0,7,593,7.416014986444216e-13,18724528.0,368,40057237.0,1e-14,-1,8.672805845349516e-15
0.0002,0.018484056555360447,500,363,0,10118.0,0,0,0,12,696,1.3043722429546975e-12,18724528.0,373,54616817.0,1e-14,417,1.1825105404348908e-14
0.0002,0.018484056555360447,500,365,0,17177.0,0,0,0,7,751,2.1924102326559448e-12,18724528.0,374,101431528.0,1e-14,402,2.1960974216497593e-14
0.0002,0.018484056555360447,500,363,0,12567.0,0,0,0,9,743,1.6256616348751866e-12,18724528.0,374,80028163.0,1e-14,400,1.732692446708155e-14
0.0002,0.018484056555360447,500,362,0,10843.0,0,0,0,9,699,1.4749648437375472e-12,18724528.0,367,74170792.0,1e-14,409,1.605874310331998e-14
0.0002,0.018484056555360447,500,354,0,11049.0,0,0,0,13,678,1.4592772038969884e-12,18724528.0,359,70799622.0,1e-14,388,1.5328849953633512e-14
0.0002,0.018484056555360447,500,-1,0,821.0,0,0,0,4,520,7.053910863218e-14,18724528.0,-1,4364787.0,1e-14,-1,9.45021500292334e-16
0.0002,0.018484056555360447,500,333,0,14348.0,1,0,0,12,676,1.8864865418308366e-12,18724528.0,348,91959857.0,1e-14,374,1.9910259545038165e-14
0.0002,0.018484056555360447,500,393,0,11619.0,0,0,0,6,736,1.5235432113348616e-12,18724528.0,400,73803223.0,1e-14,427,1.5979160615596965e-14
0.0002,0.018484056555360447,500,395,0,4662.0,0,0,0,10,630,5.785842721371589e-13,18724528.0,417,24684852.0,1e-14,-1,5.34452560263175e-15
0.0002,0.018484056555360447,500,379,0,13461.0,0,0,0,9,709,1.8185633331632425e-12,18724528.0,387,82160916.0,1e-14,425,1.7788687535889478e-14
0.0002,0.018484056555360447,500,392,0,12804.0,0,0,0,7,756,1.7384465942779086e-12,18724528.0,404,83174076.0,1e-14,430,1.8008047147993384e-14
0.0002,0.018484056555360447,500,372,0,15531.0,0,0,0,12,706,2.1110958109869067e-12,18724528.0,376,99774969.0,1e-14,406,2.1602312070669436e-14
0.0002,0.018484056555360447,500,399,0,6147.0,0,0,0,6,651,7.911210496633001e-13,18724528.0,413,32915177.0,1e-14,-1,7.126476034438272e-15
0.0002,0.018484056555360447,500,375,0,3056.0,0,0,0,11,600,3.7003591876563123e-13,18724528.0,-1,18597571.0,1e-14,-1,4.026566347501768e-15
0.0002,0.018484056555360447,500,415,0,7121.0,0,0,0,10,695,9.26629867411174e-13,18724528.0,431,38273315.0,1e-14,-1,8.286568293587084e-15
0.0002,0.018484056555360447,500,378,0,2743.0,0,0,0,10,595,3.2510047700553753e-13,18724528.0,-1,15344353.0,1e-14,-1,3.3222110249767458e-15
0.0002,0.018484056555360447,500,401,0,5535.0,0,0,0,6,657,7.453550333335459e-13,18724528.0,410,37539511.0,1e-14,-1,8.127692142929443e-15
0.0002,0.018484056555360447,500,414,0,1637.0,0,0,0,5,554,1.900024059959802e-13,18724528.0,-1,8092139.0,1e-14,-1,1.7520317345048236e-15
0.0002,0.018484056555360447,500,369,0,9382.0,0,0,0,10,663,1.2572679994042313e-12,18724528.0,382,58560452.0,1e-14,412,1.2678943143580023e-14
0.0002,0.018484056555360447,500,360,0,11989.0,0,0,0,12,686,1.6315285735045213e-12,18724528.0,377,80242952.0,1e-14,403,1.7373428505658068e-14
