Dx,Dt,iNstep,thrCrossTimeStep,avalStatus,computeTime,streamer,classicStreamer,elecLimit,nCluster,size,finalChargesTot,ElecThr,ElecThrReachedTime,ElecMax,InducedChargeThr,InducedChargeThrTime,ChargeMax
0.0002,0.021064589180391783,1000,841,0,11296.0,0,0,0,11,1418,5.879892063075796e-13,18724528.0,1003,21765359.0,1e-14,-1,2.490853315779559e-15
0.0002,0.021064589180391783,1000,933,0,18210.0,0,0,0,12,1658,1.0386352825241754e-12,18724528.0,976,39606687.0,1e-14,-1,4.53263590281204e-15
0.0002,0.021064589180391783,1000,860,0,22447.0,0,0,0,21,1519,1.3344188011560439e-12,18724528.0,896,46301458.0,1e-14,-1,5.298793380101289e-15
0.0002,0.021064589180391783,1000,861,0,31320.0,0,0,0,19,1596,2.0122724326011065e-12,18724528.0,896,77134922.0,1e-14,-1,8.827411311069935e-15
0.0002,0.021064589180391783,1000,836,0,35620.0,0,0,0,18,1694,2.321576383179698e-12,18724528.0,868,91375743.0,1e-14,1031,1.0457147636911065e-14
0.0002,0.021064589180391783,1000,844,0,37003.0,0,0,0,22,1618,2.4903760704339637e-12,18724528.0,884,79502531.0,1e-14,-1,9.098363273227763e-15
0.0002,0.021064589180391783,1000,785,0,37304.0,0,0,0,25,1594,2.5130700230662504e-12,18724528.0,825,81249388.0,1e-14,-1,9.298275645481436e-15
0.0002,0.021064589180391783,1000,891,0,37408.0,0,0,0,12,1716,2.4931386994595074e-12,18724528.0,949,90973315.0,1e-14,1074,1.041109330267459e-14
0.0002,0.021064589180391783,1000,817,0,38766.0,0,0,0,13,1617,2.6506916160083226e-12,18724528.0,847,86660340.0,1e-14,-1,9.9175113645304e-15
0.0002,0.021064589180391783,1000,874,0,38833.0,0,0,0,16,1702,2.585277252529351e-12,18724528.0,896,84739035.0,1e-14,-1,9.697634957719285e-15
0.0002,0.021064589180391783,1000,787,0,39280.0,0,0,0,21,1635,2.604078457147228e-12,18724528.0,820,94386932.0,1e-14,963,1.0801751652176274e-14
0.0002,0.021064589180391783,1000,834,0,39309.0,0,0,0,22,1682,2.6221755292317246e-12,18724528.0,870,101894775.0,1e-14,1001,1.1660958046653955e-14
0.0002,0.021064589180391783,1000,788,0,24712.0,0,0,0,22,1609,1.5685877751116145e-12,18724528.0,930,73947738.0,1e-14,-1,8.462666220745452e-15
0.0002,0.021064589180391783,1000,808,0,38162.0,0,0,0,17,1571,2.5690192050797467e-12,18724528.0,837,103951366.0,1e-14,1019,1.1896316742623662e-14
0.0002,0.021064589180391783,1000,892,0,15974.0,0,0,0,14,1472,8.965347712236697e-13,18724528.0,981,46574680.0,1e-14,-1,5.3300612275392275e-15
0.0002,0.021064589180391783,1000,795,0,41001.0,0,0,0,18,1734,2.722605871135689e-12,18724528.0,825,90384747.0,1e-14,1020,1.0343736887631702e-14
0.0002,0.021064589180391783,1000,816,0,23954.0,0,0,0,24,1592,1.4552812807151148e-12,18724528.0,851,50413222.0,1e-14,-1,5.76934849445079e-15
0.0002,0.021064589180391783,1000,758,0,32577.0,0,0,0,21,1587,2.1446740531808595e-12,18724528.0,791,89907147.0,1e-14,1018,1.0289079781189482e-14
0.0002,0.021064589180391783,1000,835,0,26935.0,0,0,0,12,1649,1.719961279712645e-12,18724528.0,861,56675246.0,1e-14,-1,6.48598189543863e-15
0.0002,0.021064589180391783,1000,857,0,28701.0,0,0,0,19,1547,1.8638598700824177e-12,18724528.0,884,71187632.0,1e-14,-1,8.146796439686342e-15
0.0002,0.021064589180391783,1000,920,0,34580.0,0,0,0,21,1694,2.2713812163738793e-12,18724528.0,953,73342126.0,1e-14,-1,8.393359270270815e-15
0.0002,0.021064589180391783,1000,786,0,32691.0,0,0,0,26,1585,2.1785741883527934e-12,18724528.0,859,89099232.0,1e-14,1045,1.0196621037154144e-14
0.0002,0.021064589180391783,1000,809,0,37031.0,1,0,0,18,1719,2.5020140196240987e-12,18724528.0,831,101496199.0,1e-14,1049,1.1615344539833778e-14
0.0002,0.021064589180391783,1000,746,0,35688.0,1,0,0,19,1606,2.4275183894682856e-12,18724528.0,798,92454919.0,1e-14,968,1.0580649809234968e-14
0.0002,0.021064589180391783,1000,868,0,29838.0,0,0,0,16,1565,1.975239488845122e-12,18724528.0,907,91947655.0,1e-14,1099,1.0522597919699144e-14
0.0002,0.021064589180391783,1000,819,0,32941.0,0,0,0,20,1512,2.230666174075919e-12,18724528.0,848,104769376.0,1e-14,1016,1.1989930770347294e-14
0.0002,0.021064589180391783,1000,774,0,30852.0,0,0,0,25,1509,2.0417682167682458e-12,18724528.0,835,84882767.0,1e-14,-1,9.714083817064251e-15
0.0002,0.021064589180391783,1000,914,0,27675.0,0,0,0,15,1699,1.8181193674296382e-12,18724528.0,1003,61216488.0,1e-14,-1,7.005686977879828e-15
0.0002,0.021064589180391783,1000,820,0,36734.0,0,0,0,22,1634,2.528188728941376e-12,18724528.0,844,107737029.0,1e-14,1018,1.232955247450265e-14
0.0002,0.021064589180391783,1000,840,0,36938.0,1,0,0,17,1694,2.604722342351539e-12,18724528.0,901,91526524.0,1e-14,1031,1.047440319211723e-14
0.0002,0.021064589180391783,1000,884,0,29119.0,0,0,0,14,1688,2.0008243928232393e-12,18724528.0,911,86487773.0,1e-14,-1,9.897762593828111e-15
0.0002,0.021064589180391783,1000,911,0,35903.0,0,0,0,10,1686,2.5336946684061146e-12,18724528.0,935,80741628.0,1e-14,-1,9.24016699312149e-15
0.0002,0.021064589180391783,1000,833,0,35811.0,0,0,0,22,1650,2.425581042810077e-12,18724528.0,862,96707460.0,1e-14,1015,1.1067315609249504e-14
0.0002,0.021064589180391783,1000,801,0,28805.0,0,0,0,14,1595,1.9692484238441696e-12,18724528.0,865,82752973.0,1e-14,-1,9.470347683567567e-15
0.0002,0.021064589180391783,1000,909,0,25986.0,0,0,0,13,1573,1.7272326369634455e-12,18724528.0,934,67084125.0,1e-14,-1,7.677186266140636e-15
0.0002,0.021064589180391783,1000,860,0,36524.0,0,0,0,17,1724,2.5686864570560586e-12,18724528.0,893,112281420.0,1e-14,1065,1.2849617932212245e-14
0.0002,0.021064589180391783,1000,821,0,33562.0,0,0,0,21,1648,2.3514304992679865e-12,18724528.0,861,86597856.0,1e-14,-1,9.910360621986567e-15
0.0002,0.021064589180391783,1000,806,0,41388.0,1,0,0,18,1700,2.9455882151701462e-12,18724528.0,852,99847793.0,1e-14,975,1.1426699015960225e-14
0.0002,0.021064589180391783,1000,787,0,35673.0,0,0,0,12,1643,2.5512611396925315e-12,18724528.0,861,88022097.0,1e-14,1030,1.0073352439273802e-14
0.0002,0.021064589180391783,1000,904,0,19567.0,0,0,0,12,1707,1.189892555172003e-12,18724528.0,1003,49431408.0,1e-14,-1,5.656988544064551e-15
0.0002,0.021064589180391783,1000,778,0,42653.0,1,0,0,21,1647,2.9941359407988133e-12,18724528.0,821,103776840.0,1e-14,1068,1.187634378165436e-14
0.0002,0.021064589180391783,1000,866,0,18533.0,0,0,0,22,1540,1.1321173071559295e-12,18724528.0,904,59476786.0,1e-14,-1,6.8065934322521965e-15
0.0002,0.021064589180391783,1000,853,0,33550.0,0,0,0,16,1659,2.3141419195559714e-12,18724528.0,888,82930305.0,1e-14,-1,9.490641766481323e-15
0.0002,0.021064589180391783,1000,867,0,37845.0,0,0,0,13,1730,2.6200887626788016e-12,18724528.0,909,97490866.0,1e-14,1082,1.1156969514461977e-14
0.0002,0.021064589180391783,1000,955,0,34865.0,0,0,0,19,1834,2.3504681771381394e-12,18724528.0,979,89088201.0,1e-14,1235,1.0195358636523573e-14
0.0002,0.021064589180391783,1000,822,0,36493.0,0,0,0,17,1671,2.6018616379234047e-12,18724528.0,857,109467743.0,1e-14,1049,1.252761742282564e-14
0.0002,0.021064589180391783,1000,845,0,39126.0,0,0,0,14,1714,2.7837235415155917e-12,18724528.0,872,89674352.0,1e-14,1071,1.0262438447240099e-14
0.0002,0.021064589180391783,1000,797,0,43874.0,1,0,0,23,1634,3.1462319952952616e-12,18724528.0,824,107477282.0,1e-14,966,1.2299826721933455e-14
0.0002,0.021064589180391783,1000,797,0,10085.0,0,0,0,15,1387,5.859929948841313e-13,18724528.0,857,22343433.0,1e-14,-1,2.5570087851042763e-15
0.0002,0.021064589180391783,1000,881,0,29184.0,0,0,0,18,1637,2.019872568025613e-12,18724528.0,924,61261972.0,1e-14,-1,7.0108922204037345e-15
0.0002,0.021064589180391783,1000,784,0,38552.0,0,0,0,23,1630,2.7842391790152496e-12,18724528.0,825,93760565.0,1e-14,970,1.0730069475059653e-14
0.0002,0.021064589180391783,1000,763,0,39650.0,1,0,0,19,1640,2.7862785663484345e-12,18724528.0,789,107018900.0,1e-14,973,1.2247368946043165e-14
0.0002,0.021064589180391783,1000,820,0,26395.0,0,0,0,16,1514,1.7893552968063492e-12,18724528.0,910,83852310.0,1e-14,-1,9.596157104473926e-15
0.0002,0.021064589180391783,1000,862,0,29837.0,0,0,0,12,1656,1.9705611512414506e-12,18724528.0,900,69513442.0,1e-14,-1,7.955200164488448e-15
0.0002,0.021064589180391783,1000,820,0,32766.0,0,0,0,25,1728,2.1647183177558716e-12,18724528.0,844,82457431.0,1e-14,-1,9.436525509044637e-15
0.0002,0.021064589180391783,1000,805,0,35439.0,0,0,0,24,1735,2.3190350762963687e-12,18724528.0,828,70590087.0,1e-14,-1,8.078412686191743e-15
0.0002,0.021064589180391783,1000,885,0,21836.0,0,0,0,18,1505,1.324391794990446e-12,18724528.0,934,56992802.0,1e-14,-1,6.52232337804618e-15
0.0002,0.021064589180391783,1000,822,0,25088.0,0,0,0,24,1477,1.5778664904710112e-12,18724528.0,851,52522358.0,1e-14,-1,6.01072050209974e-15
0.0002,0.021064589180391783,1000,814,0,27380.0,0,0,0,21,1531,1.874452474073744e-12,18724528.0,846,88266197.0,1e-14,1060,1.0101287530736417e-14
0.0002,0.021064589180391783,1000,835,0,36349.0,0,0,0,20,1536,2.475449059940122e-12,18724528.0,859,83960597.0,1e-14,-1,9.608549596277331e-15
0.0002,0.021064589180391783,1000,871,0,26546.0,0,0,0,22,1609,1.675552636161034e-12,18724528.0,905,53760880.0,1e-14,-1,6.152458418316324e-15
0.0002,0.021064589180391783,1000,289,0,29794.0,1,0,0,15,1223,2.1230277008107642e-12,18724528.0,323,113156614.0,1e-14,461,1.2949776164238217e-14
