Dx,Dt,iNstep,thrCrossTimeStep,avalStatus,computeTime,streamer,classicStreamer,elecLimit,nCluster,size,finalChargesTot,ElecThr,ElecThrReachedTime,ElecMax,InducedChargeThr,InducedChargeThrTime,ChargeMax
0.0002,0.021209823698390348,1000,936,0,23658.0,0,0,0,13,1645,1.1534383155031832e-12,18724528.0,969,37622848.0,1e-14,-1,4.305603031398213e-15
0.0002,0.021209823698390348,1000,881,0,26845.0,0,0,0,18,1601,1.3312616577999653e-12,18724528.0,917,48249498.0,1e-14,-1,5.521729371796676e-15
0.0002,0.021209823698390348,1000,895,0,26858.0,0,0,0,17,1592,1.362424740290711e-12,18724528.0,936,54478325.0,1e-14,-1,6.234563669010301e-15
0.0002,0.021209823698390348,1000,855,0,33370.0,0,0,0,24,1635,1.667352932191624e-12,18724528.0,924,59871039.0,1e-14,-1,6.851712209861428e-15
0.0002,0.021209823698390348,1000,875,0,34084.0,0,0,0,32,1658,1.6720343118706682e-12,18724528.0,912,71590009.0,1e-14,-1,8.192844937422744e-15
0.0002,0.021209823698390348,1000,897,0,36110.0,0,0,0,24,1652,1.948815609956128e-12,18724528.0,932,64846641.0,1e-14,-1,7.421125962223591e-15
0.0002,0.021209823698390348,1000,897,0,37483.0,0,0,0,22,1687,2.016970537286059e-12,18724528.0,931,72445846.0,1e-14,-1,8.29078793157307e-15
0.0002,0.021209823698390348,1000,904,0,38213.0,0,0,0,25,1635,2.013819558304018e-12,18724528.0,963,70213517.0,1e-14,-1,8.035317571926771e-15
0.0002,0.021209823698390348,1000,884,0,40129.0,0,0,0,18,1655,2.1991475397835235e-12,18724528.0,941,68756534.0,1e-14,-1,7.86857872160114e-15
0.0002,0.021209823698390348,1000,826,0,41279.0,0,0,0,18,1737,2.308801566633323e-12,18724528.0,874,76652734.0,1e-14,-1,8.772229148504674e-15
0.0002,0.021209823698390348,1000,850,0,42199.0,0,0,0,16,1683,2.3757664410996728e-12,18724528.0,883,80674118.0,1e-14,-1,9.232441069218814e-15
0.0002,0.021209823698390348,1000,794,0,44823.0,0,0,0,26,1655,2.5107342192356087e-12,18724528.0,826,95997724.0,1e-14,1048,1.0986092585593968e-14
0.0002,0.021209823698390348,1000,910,0,28089.0,0,0,0,16,1693,1.4422049900578748e-12,18724528.0,950,46497430.0,1e-14,-1,5.321220646566317e-15
0.0002,0.021209823698390348,1000,828,0,37313.0,0,0,0,21,1650,2.009715523608723e-12,18724528.0,906,72959759.0,1e-14,-1,8.349600740499046e-15
0.0002,0.021209823698390348,1000,841,0,36356.0,0,0,0,22,1639,2.0334949956719003e-12,18724528.0,875,59289390.0,1e-14,-1,6.78514761332664e-15
0.0002,0.021209823698390348,1000,896,0,29571.0,0,0,0,14,1591,1.6421042671509079e-12,18724528.0,940,50747263.0,1e-14,-1,5.807576539871791e-15
0.0002,0.021209823698390348,1000,796,0,33276.0,0,0,0,30,1575,1.8561348594203453e-12,18724528.0,828,60501365.0,1e-14,-1,6.9238474596003445e-15
0.0002,0.021209823698390348,1000,855,0,37792.0,0,0,0,26,1638,2.2112654100684185e-12,18724528.0,893,65059468.0,1e-14,-1,7.445482134737779e-15
0.0002,0.021209823698390348,1000,874,0,31317.0,0,0,0,16,1569,1.7773172087306847e-12,18724528.0,903,56713116.0,1e-14,-1,6.490315782835968e-15
0.0002,0.021209823698390348,1000,910,0,13286.0,0,0,0,19,1449,6.161376343214768e-13,18724528.0,1036,25051583.0,1e-14,-1,2.8669326603377797e-15
0.0002,0.021209823698390348,1000,955,0,30751.0,0,0,0,22,1686,1.6245398134624603e-12,18724528.0,992,54044001.0,1e-14,-1,6.184859118971752e-15
0.0002,0.021209823698390348,1000,884,0,43531.0,0,0,0,20,1784,2.502654118770919e-12,18724528.0,914,73216796.0,1e-14,-1,8.379016357476827e-15
0.0002,0.021209823698390348,1000,841,0,39702.0,0,0,0,19,1776,2.211097922315037e-12,18724528.0,899,72874553.0,1e-14,-1,8.339849665516797e-15
0.0002,0.021209823698390348,1000,856,0,38235.0,0,0,0,20,1700,2.2350275616882485e-12,18724528.0,888,88032498.0,1e-14,1098,1.0074542741962475e-14
0.0002,0.021209823698390348,1000,835,0,40491.0,0,0,0,24,1784,2.2869838247523456e-12,18724528.0,889,69986094.0,1e-14,-1,8.00929101598369e-15
0.0002,0.021209823698390348,1000,919,0,29762.0,0,0,0,16,1760,1.7009819140993743e-12,18724528.0,1015,64121095.0,1e-14,-1,7.338093623549519e-15
0.0002,0.021209823698390348,1000,959,0,13644.0,0,0,0,10,1552,8.028185483294899e-13,18724528.0,1014,24039714.0,1e-14,-1,2.751133180357479e-15
0.0002,0.021209823698390348,1000,953,0,16673.0,0,0,0,13,1671,9.611422878935306e-13,18724528.0,994,31431776.0,1e-14,-1,3.597089460846495e-15
0.0002,0.021209823698390348,1000,889,0,21497.0,0,0,0,14,1537,1.3476289425579794e-12,18724528.0,922,39684806.0,1e-14,-1,4.541575933168324e-15
0.0002,0.021209823698390348,1000,906,0,17472.0,0,0,0,23,1505,1.021044128564572e-12,18724528.0,977,39020241.0,1e-14,-1,4.4655223319480995e-15
0.0002,0.021209823698390348,1000,862,0,26422.0,0,0,0,15,1708,1.6335328747160535e-12,18724528.0,905,61352207.0,1e-14,-1,7.021218820068352e-15
0.0002,0.021209823698390348,1000,846,0,36255.0,0,0,0,18,1653,2.3163970180948554e-12,18724528.0,880,69110458.0,1e-14,-1,7.909082200957222e-15
0.0002,0.021209823698390348,1000,1004,0,24292.0,0,0,0,15,1778,1.375137855876139e-12,18724528.0,1057,42360190.0,1e-14,-1,4.847750028775181e-15
0.0002,0.021209823698390348,1000,882,0,36266.0,0,0,0,24,1692,2.264327267720345e-12,18724528.0,912,94177253.0,1e-14,1103,1.07777557404893e-14
0.0002,0.021209823698390348,1000,829,0,34261.0,0,0,0,29,1748,2.1042810781114914e-12,18724528.0,869,78095637.0,1e-14,-1,8.93735666704908e-15
0.0002,0.021209823698390348,1000,855,0,40122.0,0,0,0,23,1724,2.522501831424392e-12,18724528.0,921,80581878.0,1e-14,-1,9.221885014993039e-15
0.0002,0.021209823698390348,1000,949,0,23671.0,0,0,0,15,1652,1.3380872350780891e-12,18724528.0,990,44324094.0,1e-14,-1,5.072501515312699e-15
0.0002,0.021209823698390348,1000,887,0,35853.0,0,0,0,23,1725,2.100932747836293e-12,18724528.0,946,86792107.0,1e-14,-1,9.932590935184871e-15
0.0002,0.021209823698390348,1000,912,0,23967.0,0,0,0,16,1692,1.2269519011943269e-12,18724528.0,1009,47673744.0,1e-14,-1,5.4558394060041e-15
0.0002,0.021209823698390348,1000,970,0,8062.0,0,0,0,14,1414,2.2232247826410682e-13,18724528.0,-1,7177406.0,1e-14,-1,8.21390795060909e-16
