#eta	alpha	v	dl	dt	E
17076.6	0	-0.000589552	0.00481953	0.00390651	2498
17076.6	0	-0.000589552	0.00481953	0.00390651	4896
9900.57	0	-0.000996315	0.0051095	0.00392838	7294
4889.15	0	-0.00165567	0.00796442	0.00489626	9692
2095.17	0	-0.00274952	0.0106546	0.00667959	12090
1038.54	0	-0.00410515	0.0105719	0.00829543	14488
533.544	0	-0.00536219	0.00936251	0.00956433	16886
305.52	0.000135948	-0.00627391	0.00824747	0.0103163	19284
181.718	0.1085	-0.00687163	0.00777292	0.0110195	21682
118.451	0.629219	-0.00726224	0.00782229	0.0112459	24080
82.3678	2.08977	-0.00755413	0.00752145	0.0119725	26478
56.0465	4.8918	-0.00779163	0.00730891	0.011964	28876
46.4743	11.4081	-0.00801578	0.0081076	0.0122144	31274
35.2554	19.5571	-0.00823666	0.00841363	0.0120556	33672
28.8732	31.7566	-0.0084837	0.00856481	0.012322	36070
23.0778	46.3144	-0.00876147	0.00876178	0.0125715	38468
19.9681	65.3541	-0.00903043	0.0086887	0.0119716	40866
16.9679	86.3416	-0.00932808	0.0095273	0.0123341	43264
15.0294	110.666	-0.00963142	0.00942809	0.0118552	45662
13.3987	137.057	-0.00996271	0.00959604	0.0125423	48060
11.8496	164.542	-0.010307	0.00989332	0.0121515	50458
10.7096	195.142	-0.0106434	0.00949579	0.0119015	52856
9.98924	227.439	-0.0110021	0.00970702	0.0119526	55254
9.0467	258.633	-0.0113539	0.0100688	0.0118286	57652
8.27063	291.382	-0.0117043	0.0101347	0.0115892	60050
7.60142	328.484	-0.0120677	0.00987351	0.0114708	62448
7.34461	365.969	-0.0124409	0.0102921	0.0114672	64846
6.64449	403.383	-0.0128021	0.00959088	0.0114664	67244
6.18874	440.416	-0.0131608	0.00958097	0.0114111	69642
6.13002	484.224	-0.0135355	0.00971321	0.0112943	72040
5.79216	523.043	-0.0139057	0.00990762	0.0108002	74438
5.26963	561.271	-0.0142664	0.00972836	0.0106829	76836
4.86085	596.632	-0.0146427	0.00969084	0.0105935	79234
4.82795	643.274	-0.0150346	0.00908711	0.0109658	81632
4.75324	683.03	-0.015406	0.00931428	0.0105516	84030
4.48778	728.104	-0.015765	0.0101793	0.0105304	86428
4.18145	767.684	-0.0161565	0.00898373	0.0108643	88826
4.05444	810.117	-0.016535	0.00966439	0.0102566	91224
3.81347	853.535	-0.0168773	0.00915517	0.0103829	93622
3.77993	895.071	-0.0172713	0.00946982	0.0103391	96020
3.6116	934.162	-0.0176333	0.00964287	0.010434	98418
3.46252	985.562	-0.0179976	0.00938324	0.0101627	100816
3.39544	1025.73	-0.0183801	0.00915891	0.00994906	103214
3.23426	1070.68	-0.0187462	0.00918404	0.00993192	105612
3.24899	1120.88	-0.0191297	0.00925154	0.0101141	108010
3.03073	1162.93	-0.019501	0.00931044	0.00992268	110408
2.81864	1206.52	-0.0198504	0.00868375	0.00953258	112806
2.65601	1250.93	-0.0202444	0.00880959	0.00970003	115204
2.80677	1298.8	-0.0205997	0.00858838	0.00970513	117602
2.78329	1340.7	-0.0209678	0.00882608	0.00953177	120000
