#eta	alpha	v	dl	dt	E
0	0	-0.00538207	0.00701137	0.0120188	2498
0	0	-0.00538207	0.00701137	0.0120188	4896
0	0	-0.00536215	0.00690535	0.0129456	7294
0	0	-0.00536986	0.00710049	0.0130424	9692
0	0	-0.00543877	0.00774866	0.0130161	12090
0	0	-0.00554087	0.00731479	0.0139111	14488
0	0	-0.00565264	0.00734748	0.0137973	16886
0	0	-0.00575642	0.00712212	0.0136256	19284
0	0	-0.00584836	0.00721339	0.0133729	21682
0	0.0255409	-0.00594734	0.00686675	0.0131588	24080
0	0.0522007	-0.00603583	0.00701878	0.0130603	26478
0	0.291439	-0.00614816	0.00698405	0.0133547	28876
0	0.773235	-0.00626296	0.00736555	0.0132623	31274
0	1.98444	-0.00639914	0.00729695	0.0133527	33672
0	3.56263	-0.00654475	0.00767106	0.0127962	36070
0	7.64415	-0.00671005	0.00749695	0.0131804	38468
0	12.759	-0.0068802	0.0077061	0.0121281	40866
0	19.3899	-0.00707662	0.0077732	0.0126427	43264
0	30.2205	-0.00726558	0.00745312	0.0122129	45662
0	42.7025	-0.00749085	0.00789806	0.0119969	48060
0	58.412	-0.00769603	0.00771086	0.0116911	50458
0	75.8481	-0.00793833	0.00799292	0.0116594	52856
0	99.2338	-0.00816989	0.00765813	0.0115423	55254
0	124.179	-0.00840725	0.00855784	0.0112932	57652
0	152.583	-0.00865852	0.00830418	0.0113475	60050
0	182.526	-0.00890528	0.00827879	0.0109527	62448
0	214.504	-0.00915604	0.00790872	0.0112764	64846
0	252.035	-0.00940012	0.00782939	0.0106343	67244
0	291.028	-0.00965766	0.0083131	0.0109152	69642
0	332.083	-0.00990274	0.00809971	0.0107571	72040
0	378.905	-0.0101852	0.00804462	0.0105319	74438
0	429.433	-0.0104272	0.00812792	0.0102382	76836
0	475.938	-0.010695	0.00802209	0.0104062	79234
0	521.088	-0.0109546	0.00803821	0.0104248	81632
0	580.58	-0.0112371	0.00774161	0.00980839	84030
0	635.527	-0.0114926	0.00806115	0.00999038	86428
0	695.254	-0.0117638	0.00791507	0.00948751	88826
0	753.893	-0.012045	0.00724647	0.010068	91224
0	812.683	-0.0123255	0.00662192	0.0105509	93622
0	871.473	-0.012606	0.00599738	0.0110339	96020
0	930.263	-0.0128865	0.00537283	0.0115168	98418
0	989.053	-0.013167	0.00474828	0.0119997	100816
0	1047.84	-0.0134475	0.00412373	0.0124826	103214
0	1106.63	-0.013728	0.00349919	0.0129656	105612
0	1165.42	-0.0140085	0.00287464	0.0134485	108010
0	1224.21	-0.014289	0.00225009	0.0139314	110408
0	1283	-0.0145695	0.00162554	0.0144144	112806
0	1341.79	-0.01485	0.001001	0.0148973	115204
0	1400.58	-0.0151304	0.000376449	0.0153802	117602
0	1459.37	-0.0154109	0	0.0158631	120000
