#eta	alpha	v	dl	dt	E
1.70038	0	-0.000556162	0.00491326	0.00393233	2498
1.70038	0	-0.000556162	0.00491326	0.00393233	4896
0.281781	0	-0.000927435	0.00530742	0.0037045	7294
0.993849	0	-0.0015256	0.007083	0.00469863	9692
1.92105	0	-0.00252205	0.00978243	0.00649693	12090
2.07699	0	-0.0038679	0.0106129	0.00804711	14488
2.62558	0	-0.00516693	0.0103067	0.00950283	16886
3.31481	0	-0.00615667	0.00896727	0.00996428	19284
3.75157	0.259541	-0.00682821	0.00838401	0.0107884	21682
3.85573	0.339958	-0.00726861	0.00775501	0.0109752	24080
3.49291	1.24762	-0.00758701	0.0076161	0.0113652	26478
3.17386	3.56412	-0.00784292	0.00791184	0.0120014	28876
3.39413	6.99865	-0.00807941	0.00827503	0.0122205	31274
3.24674	13.8772	-0.00832281	0.00864932	0.0119649	33672
2.90979	22.5811	-0.00858452	0.00877113	0.0125237	36070
2.71327	34.3305	-0.00884762	0.00964062	0.0122785	38468
2.5619	48.9481	-0.00914033	0.00929569	0.012173	40866
2.3758	65.8574	-0.00944309	0.0102238	0.0117398	43264
2.21633	84.1564	-0.00977304	0.00957463	0.0121066	45662
2.10892	107.143	-0.0101134	0.0105142	0.0122378	48060
1.9917	129.758	-0.0104493	0.0102933	0.0120508	50458
1.86455	155.096	-0.0107963	0.0100379	0.012024	52856
1.64506	183.427	-0.0111467	0.0101254	0.0120481	55254
1.63038	212.377	-0.0115211	0.0104717	0.0119754	57652
1.47663	241.047	-0.0118924	0.0100739	0.0117818	60050
1.49726	274.971	-0.0122757	0.0098255	0.0116222	62448
1.31077	302.891	-0.0126312	0.0101178	0.0115247	64846
1.36283	335.442	-0.013006	0.0104377	0.0112005	67244
1.26095	371.523	-0.0133978	0.00991579	0.0118515	69642
1.27014	405.245	-0.0137571	0.00999731	0.0112432	72040
1.13955	438.986	-0.0141495	0.00933404	0.0113567	74438
1.00667	476.096	-0.0145136	0.009928	0.0111601	76836
0.971161	510.476	-0.0148953	0.0099713	0.0109383	79234
0.970827	551.64	-0.015277	0.00965819	0.0110424	81632
0.952794	587.67	-0.0156612	0.00989841	0.010676	84030
0.884216	622.391	-0.0160203	0.0101388	0.0103763	86428
0.857242	663.782	-0.0164199	0.00936053	0.0106234	88826
0.885023	698.821	-0.0167766	0.00942063	0.00972013	91224
0.908133	734.471	-0.0171372	0.00940812	0.00891738	93622
0.931243	770.12	-0.0174978	0.00939561	0.00811463	96020
0.954353	805.77	-0.0178584	0.00938311	0.00731188	98418
0.977463	841.419	-0.0182189	0.0093706	0.00650913	100816
1.00057	877.069	-0.0185795	0.00935809	0.00570639	103214
1.02368	912.719	-0.0189401	0.00934559	0.00490364	105612
1.04679	948.368	-0.0193007	0.00933308	0.00410089	108010
1.0699	984.018	-0.0196612	0.00932057	0.00329814	110408
1.09301	1019.67	-0.0200218	0.00930807	0.00249539	112806
1.11612	1055.32	-0.0203824	0.00929556	0.00169264	115204
1.13923	1090.97	-0.020743	0.00928305	0.000889894	117602
1.16234	1126.62	-0.0211035	0.00927054	8.71454e-05	120000
