#eta	alpha	v	dl	dt	E
9381.84	0	-0.00101689	0.00611858	0.00451895	2498
9381.84	0	-0.00101689	0.00611858	0.00451895	4896
3735.52	0	-0.00199464	0.0091305	0.00608714	7294
1258.92	0	-0.00369643	0.0116356	0.00867094	9692
544.556	0	-0.00553262	0.0105637	0.0102794	12090
262.458	8.51951e-09	-0.00684534	0.00995134	0.0112603	14488
144.936	0.14013	-0.00768391	0.00885559	0.0115014	16886
91.982	0.306558	-0.00823985	0.00838777	0.0122456	19284
59.0712	1.33119	-0.00866056	0.00799922	0.0123572	21682
47.1171	4.10122	-0.0089982	0.00872251	0.012494	24080
36.1209	8.84908	-0.00931833	0.00855573	0.0128161	26478
29.837	16.0398	-0.00964498	0.00892628	0.0127522	28876
25.6095	26.3348	-0.00996122	0.00931896	0.0127681	31274
23.0941	40.1247	-0.0103196	0.00971996	0.0123532	33672
20.4336	55.8536	-0.0106855	0.009471	0.012223	36070
18.6602	74.2649	-0.0110529	0.00998936	0.0128993	38468
16.576	93.2273	-0.0114455	0.0102004	0.0127416	40866
15.7504	118.335	-0.0118433	0.00963614	0.0128151	43264
14.6258	142.054	-0.0122569	0.0102342	0.0126986	45662
13.8134	170.493	-0.0126506	0.00973489	0.0124572	48060
13.0663	200.025	-0.013077	0.0102129	0.0122762	50458
12.3168	231.624	-0.0135082	0.0100149	0.0121586	52856
11.7379	265.169	-0.013913	0.0102899	0.0121866	55254
11.1551	296.411	-0.0143414	0.00987553	0.0117462	57652
10.9943	333.178	-0.0147867	0.00954197	0.0116692	60050
10.1879	366.872	-0.0152054	0.00939126	0.0113406	62448
9.84145	403.299	-0.0156337	0.00997846	0.0118834	64846
9.17112	441.086	-0.0160668	0.0101613	0.0116391	67244
9.07661	478.556	-0.0165002	0.0100163	0.0111751	69642
8.6136	519.908	-0.0169246	0.00972103	0.0116284	72040
8.55905	556.508	-0.0173369	0.0101064	0.0108379	74438
8.20772	600.651	-0.0177676	0.00954644	0.0107381	76836
7.79134	639.891	-0.0181994	0.00935151	0.011292	79234
7.5401	681.791	-0.0186301	0.00933792	0.0109734	81632
7.22759	725.547	-0.0190436	0.00921638	0.0106276	84030
7.01001	766.27	-0.019486	0.00948485	0.0109873	86428
6.689	812.777	-0.0198766	0.00935868	0.0106709	88826
6.58063	853.052	-0.0203204	0.0094908	0.00976697	91224
6.4545	893.921	-0.0207595	0.00959828	0.00891132	93622
6.32837	934.791	-0.0211985	0.00970576	0.00805567	96020
6.20223	975.661	-0.0216376	0.00981324	0.00720002	98418
6.0761	1016.53	-0.0220766	0.00992072	0.00634437	100816
5.94997	1057.4	-0.0225157	0.0100282	0.00548872	103214
5.82383	1098.27	-0.0229547	0.0101357	0.00463307	105612
5.6977	1139.14	-0.0233938	0.0102432	0.00377742	108010
5.57157	1180.01	-0.0238328	0.0103506	0.00292177	110408
5.44543	1220.88	-0.0242719	0.0104581	0.00206612	112806
5.3193	1261.75	-0.0247109	0.0105656	0.00121047	115204
5.19317	1302.62	-0.02515	0.0106731	0.000354819	117602
5.06703	1343.49	-0.025589	0.0107806	0	120000
