#eta	alpha	v	dl	dt	E
24476	0	-0.00100232	0.00588052	0.00481395	2498
24476	0	-0.00100232	0.00588052	0.00481395	4896
10851.7	0	-0.00195298	0.00915573	0.00574891	7294
3187.57	0	-0.00363395	0.0114125	0.00844289	9692
1275.78	0	-0.0054784	0.0111271	0.0105093	12090
705.838	8.05222e-09	-0.00681216	0.0102065	0.0109759	14488
412.519	0.0829232	-0.00767577	0.0090103	0.0119907	16886
262.663	0.330714	-0.00824816	0.00843571	0.0122767	19284
182.842	1.41777	-0.0086696	0.00839707	0.0123681	21682
130.313	3.94948	-0.00900507	0.00862847	0.0128919	24080
102.859	8.54728	-0.00931976	0.00875523	0.0125466	26478
79.5526	15.0096	-0.00964694	0.00950575	0.0128731	28876
68.0636	26.8226	-0.00997888	0.00946318	0.013089	31274
57.9552	39.3858	-0.0103221	0.00930857	0.0131859	33672
52.0075	57.2622	-0.01068	0.0100724	0.0128769	36070
43.502	73.5527	-0.0110749	0.0102663	0.0124837	38468
39.4557	95.6218	-0.0114661	0.0102814	0.0125433	40866
35.3902	115.816	-0.011845	0.00999812	0.0126242	43264
32.4555	143.12	-0.012258	0.00989953	0.0121623	45662
30.0945	171.145	-0.0126684	0.0100288	0.0121795	48060
28.1323	201.161	-0.0130886	0.00991793	0.0123806	50458
25.9165	229.435	-0.0135166	0.00990087	0.0122529	52856
24.6835	262.283	-0.0139319	0.00991839	0.012189	55254
22.7819	296.423	-0.0143577	0.00980156	0.0118036	57652
21.4828	327.257	-0.0147857	0.00966778	0.0123821	60050
20.4795	366.029	-0.0152042	0.0100079	0.0118503	62448
19.3991	402.392	-0.015641	0.00980873	0.0116895	64846
19.0043	442.217	-0.0160684	0.00967224	0.0118115	67244
17.4561	478.621	-0.0164953	0.00962547	0.0113343	69642
17.2156	519.135	-0.0169321	0.0096629	0.0111997	72040
16.4885	562.082	-0.0173554	0.00974295	0.0113968	74438
15.4719	597.194	-0.0177859	0.00989389	0.0111458	76836
14.8474	640.3	-0.0182215	0.00985081	0.0109756	79234
14.5635	681.814	-0.0186453	0.00985834	0.0111781	81632
13.8435	726.855	-0.0190579	0.00941934	0.0108132	84030
13.5232	770.248	-0.0194953	0.00947793	0.0109714	86428
12.742	813.233	-0.0199198	0.00922672	0.010568	88826
12.0633	854.106	-0.0203202	0.00964342	0.010059	91224
11.3729	895.154	-0.0207225	0.0100019	0.00955655	93622
10.6825	936.202	-0.0211249	0.0103604	0.00905413	96020
9.99217	977.25	-0.0215273	0.0107189	0.00855172	98418
9.30181	1018.3	-0.0219296	0.0110773	0.0080493	100816
8.61145	1059.35	-0.022332	0.0114358	0.00754689	103214
7.92109	1100.39	-0.0227344	0.0117943	0.00704447	105612
7.23073	1141.44	-0.0231367	0.0121528	0.00654206	108010
6.54037	1182.49	-0.0235391	0.0125113	0.00603964	110408
5.85	1223.54	-0.0239415	0.0128698	0.00553723	112806
5.15964	1264.58	-0.0243438	0.0132282	0.00503481	115204
4.46928	1305.63	-0.0247462	0.0135867	0.0045324	117602
3.77892	1346.68	-0.0251486	0.0139452	0.00402998	120000
