#eta	alpha	v	dl	dt	E
29380	0	-0.000847246	0.00530068	0.0046242	2498
29380	0	-0.000847246	0.00530068	0.0046242	4896
14745.4	0	-0.00157085	0.00770523	0.0049001	7294
5183.39	0	-0.0028917	0.0106229	0.00732991	9692
1827.83	0	-0.00463302	0.0110739	0.00944329	12090
974.79	0	-0.00610226	0.0102475	0.0103113	14488
568.381	0.000548433	-0.00708666	0.00917058	0.0115333	16886
355.243	0.165263	-0.00772781	0.00847228	0.0118865	19284
236.596	0.867052	-0.00818118	0.00798106	0.012212	21682
168.069	2.65664	-0.00851892	0.00800849	0.0124036	24080
124.028	6.30337	-0.00881262	0.00844755	0.0125533	26478
97.1136	12.6037	-0.0091094	0.0081855	0.0125457	28876
80.419	22.1069	-0.00940274	0.00937145	0.0126739	31274
64.235	33.0921	-0.00971571	0.00969039	0.0125458	33672
57.0946	49.6157	-0.0100423	0.00931998	0.0126623	36070
50.2834	68.6569	-0.0103952	0.00985714	0.0127696	38468
42.9079	87.2444	-0.010752	0.0094443	0.0123857	40866
38.8236	111.214	-0.0111305	0.0103412	0.0129171	43264
34.6769	134.192	-0.0114916	0.00942263	0.0124289	45662
32.2922	164.012	-0.0118979	0.0100248	0.0124868	48060
29.6702	192.16	-0.0122959	0.0102188	0.0122463	50458
27.7069	224.552	-0.0126881	0.0104759	0.0117592	52856
25.4553	253.556	-0.0130961	0.00970239	0.0120281	55254
23.2887	287.131	-0.0134864	0.00995578	0.0117299	57652
22.2831	322.458	-0.0138967	0.0104136	0.0123181	60050
21.3946	359.833	-0.0143132	0.00986732	0.0112521	62448
20.031	394.565	-0.0147168	0.0102736	0.011502	64846
18.7298	432.177	-0.0151378	0.00998285	0.0112939	67244
18.0091	470.593	-0.0155585	0.00989242	0.0114211	69642
17.1744	509.364	-0.0159626	0.00939633	0.0110026	72040
16.2858	546.078	-0.0163735	0.0100898	0.0112607	74438
15.9588	589.039	-0.0167836	0.00941924	0.0107949	76836
15.2296	628.769	-0.0171877	0.00955255	0.0108195	79234
14.1117	670.233	-0.0175935	0.00973476	0.0104771	81632
13.6197	715.065	-0.0180011	0.00947588	0.0106406	84030
13.3626	755.217	-0.0184151	0.00932627	0.0106411	86428
12.7206	797.156	-0.018834	0.00898404	0.0105619	88826
12.7065	842.329	-0.0192497	0.00982191	0.0108213	91224
12.6386	887.26	-0.0196656	0.0105582	0.0110516	93622
12.5706	932.191	-0.0200815	0.0112944	0.0112818	96020
12.5027	977.123	-0.0204973	0.0120307	0.0115121	98418
12.4348	1022.05	-0.0209132	0.012767	0.0117423	100816
12.3669	1066.98	-0.0213291	0.0135032	0.0119726	103214
12.299	1111.92	-0.021745	0.0142395	0.0122028	105612
12.231	1156.85	-0.0221609	0.0149758	0.0124331	108010
12.1631	1201.78	-0.0225768	0.015712	0.0126633	110408
12.0952	1246.71	-0.0229927	0.0164483	0.0128936	112806
12.0273	1291.64	-0.0234086	0.0171846	0.0131238	115204
11.9594	1336.57	-0.0238245	0.0179208	0.0133541	117602
11.8914	1381.5	-0.0242404	0.0186571	0.0135843	120000
