Dx,Dt,iNstep,thrCrossTimeStep,avalStatus,computeTime,streamer,nCluster,size,finalChargesTot,ElecThr,ElecThrReachedTime,ElecMax,InducedChargeThr,InducedChargeThrTime,ChargeMax
0.0002,0.01636249496215863,500,-1,0,3599.0,0,9,1168,1.3864839262635527e-12,18724528.0,542,50680966.0,1e-14,584,1.0972952981573842e-14
0.0002,0.01636249496215863,500,-1,0,3923.0,0,7,1234,1.443544201243834e-12,18724528.0,478,42755462.0,1e-14,-1,9.25699944692189e-15
0.0002,0.01636249496215863,500,-1,0,592.0,0,6,835,1.8474538304567548e-13,18724528.0,-1,7784489.0,1e-14,-1,1.6854223296094792e-15
0.0002,0.01636249496215863,500,675,6,8346.0,0,13,1,3.491428220250012e-12,18724528.0,470,405649630.0,1e-14,512,8.782733772246618e-14
0.0002,0.01636249496215863,500,891,6,8984.0,1,8,1,3.6511582523819746e-12,18724528.0,520,879838567.0,1e-14,564,1.9049414383826687e-13
0.0002,0.01636249496215863,500,-1,0,4806.0,0,10,1657,1.7831827287471886e-12,18724528.0,502,58683033.0,1e-14,542,1.2705483197087168e-14
0.0002,0.01636249496215863,500,-1,0,1472.0,0,8,983,4.958473180197288e-13,18724528.0,-1,16049030.0,1e-14,-1,3.4747808790753543e-15
0.0002,0.01636249496215863,500,-1,6,6736.0,1,13,1,2.7443077259118547e-12,18724528.0,476,674332298.0,1e-14,516,1.4599991247030766e-13
0.0002,0.01636249496215863,500,-1,0,1592.0,0,7,1030,5.470597774295973e-13,18724528.0,610,27440086.0,1e-14,-1,5.941062241953769e-15
0.0002,0.01636249496215863,500,-1,6,6618.0,1,8,1,2.708618353940411e-12,18724528.0,525,553041384.0,1e-14,565,1.1973917591658628e-13
0.0002,0.01636249496215863,500,730,0,8295.0,0,3,1348,3.319603077220297e-12,18724528.0,454,86712571.0,1e-14,532,1.8774167889664605e-14
0.0002,0.01636249496215863,500,726,6,8982.0,0,9,1,3.714041356990348e-12,18724528.0,507,432640573.0,1e-14,554,9.367115586254147e-14
0.0002,0.01636249496215863,500,748,0,8528.0,0,11,1401,3.2802987384738716e-12,18724528.0,466,81021540.0,1e-14,520,1.7542000855206758e-14
0.0002,0.01636249496215863,500,-1,0,363.0,0,9,753,8.542133197111141e-14,18724528.0,-1,3533641.0,1e-14,-1,7.650698004998875e-16
0.0002,0.01636249496215863,500,-1,0,3120.0,0,10,1085,1.1438193494337958e-12,18724528.0,512,39860369.0,1e-14,-1,8.630181888505908e-15
0.0002,0.01636249496215863,500,-1,0,2946.0,0,4,1145,1.1313437603757271e-12,18724528.0,541,42959883.0,1e-14,-1,9.301258706333926e-15
