Dx,Dt,iNstep,thrCrossTimeStep,avalStatus,computeTime,streamer,nCluster,size,finalChargesTot,ElecThr,ElecThrReachedTime,ElecMax,ChargeMax
0.0002,0.016585543392311382,500,-1,0,8.0,0,2,314,5.23673549879311e-18,18724528.0,-1,298.0,6.452008015216217e-20
0.0002,0.016585543392311382,500,-1,0,2139.0,0,3,1155,7.383895112994603e-13,18724528.0,661,34683673.0,7.509373697756319e-15
0.0002,0.016585543392311382,500,-1,0,89.0,0,6,700,3.1681204022775012e-15,18724528.0,-1,98318.0,2.128686322281973e-17
0.0002,0.016585543392311382,500,-1,0,4006.0,0,6,1210,1.5291048942064597e-12,18724528.0,571,45298317.0,9.807553837577345e-15
0.0002,0.016585543392311382,500,-1,0,5442.0,0,8,1230,2.093623966841939e-12,18724528.0,530,70444051.0,1.525186515692282e-14
0.0002,0.016585543392311382,500,-1,0,3376.0,0,6,1139,1.2113017796473785e-12,18724528.0,546,37045940.0,8.020828919839569e-15
0.0002,0.016585543392311382,500,-1,4,6850.0,1,11,800,2.898922131931719e-12,18724528.0,498,820019470.0,1.775426910427302e-13
0.0002,0.016585543392311382,500,-1,0,2874.0,0,5,1160,1.0449103285380421e-12,18724528.0,580,32632621.0,7.065299739916546e-15
0.0002,0.016585543392311382,500,-1,0,5879.0,0,8,1319,2.201161606638089e-12,18724528.0,574,52378794.0,1.1340550292461712e-14
0.0002,0.016585543392311382,500,786,4,7678.0,0,15,786,3.021780103515347e-12,18724528.0,481,273565573.0,5.922977415044356e-14
0.0002,0.016585543392311382,500,844,4,7670.0,0,10,844,3.0087131208044775e-12,18724528.0,487,150371001.0,3.2556875963358607e-14
0.0002,0.016585543392311382,500,-1,0,822.0,0,4,938,2.736372111563107e-13,18724528.0,-1,10727375.0,2.3225875665177875e-15
0.0002,0.016585543392311382,500,-1,0,3349.0,0,9,1182,1.226823079576466e-12,18724528.0,563,40189211.0,8.70137958044348e-15
0.0002,0.016585543392311382,500,-1,0,6082.0,0,6,1375,2.237206607878582e-12,18724528.0,603,57720255.0,1.2497031808735704e-14
0.0002,0.016585543392311382,500,-1,0,4237.0,0,12,1244,1.5070699578940535e-12,18724528.0,584,47969542.0,1.0385901660075538e-14
0.0002,0.016585543392311382,500,-1,4,7166.0,1,9,805,2.9388431665948524e-12,18724528.0,508,705442753.0,1.5273564753799293e-13
0.0002,0.016585543392311382,500,-1,0,6195.0,0,8,1288,2.3511150327033983e-12,18724528.0,538,87995076.0,1.9051843478240276e-14
0.0002,0.016585543392311382,500,-1,0,2904.0,0,10,1109,1.0153707562070512e-12,18724528.0,569,36484702.0,7.899315091838093e-15
0.0002,0.016585543392311382,500,-1,0,6039.0,0,11,1298,2.2763537198500755e-12,18724528.0,564,82837853.0,1.7935251393265204e-14
0.0002,0.016585543392311382,500,1190,4,8081.0,0,9,1190,3.004981978913373e-12,18724528.0,536,98080146.0,2.1235365373341494e-14
0.0002,0.016585543392311382,500,-1,0,6736.0,0,6,1351,2.5121054832210295e-12,18724528.0,557,95929908.0,2.0769816621307184e-14
0.0002,0.016585543392311382,500,-1,0,7120.0,0,8,1362,2.72188597266603e-12,18724528.0,522,67515442.0,1.4617791038082742e-14
0.0002,0.016585543392311382,500,916,4,8066.0,0,7,916,3.0255129846339834e-12,18724528.0,566,129708624.0,2.80832577748546e-14
0.0002,0.016585543392311382,500,-1,0,3478.0,0,9,1239,1.268207102077312e-12,18724528.0,625,34172308.0,7.398657889746216e-15
0.0002,0.016585543392311382,500,-1,0,6700.0,0,8,1396,2.398305586800285e-12,18724528.0,482,53040039.0,1.1483716669643653e-14
0.0002,0.016585543392311382,500,-1,0,4075.0,0,6,1176,1.5198540453851625e-12,18724528.0,538,46014885.0,9.962698216082297e-15
0.0002,0.016585543392311382,500,779,4,7557.0,0,9,779,3.0010760962932427e-12,18724528.0,512,99287193.0,2.149670352497717e-14
0.0002,0.016585543392311382,500,653,4,7635.0,0,15,653,3.003241895301763e-12,18724528.0,488,124413908.0,2.6936897034240703e-14
0.0002,0.016585543392311382,500,-1,0,1637.0,0,7,1021,5.948418011744065e-13,18724528.0,597,28066946.0,6.076783911229555e-15
0.0002,0.016585543392311382,500,-1,0,5726.0,0,6,1328,2.12274682692532e-12,18724528.0,600,57461412.0,1.2440989623813464e-14
0.0002,0.016585543392311382,500,-1,0,1570.0,0,5,1042,5.475826265081168e-13,18724528.0,613,23867890.0,5.167644885446275e-15
0.0002,0.016585543392311382,500,746,4,7426.0,0,6,746,3.005556677021133e-12,18724528.0,524,92610633.0,2.0051159275511662e-14
0.0002,0.016585543392311382,500,-1,0,3538.0,0,5,1274,1.282258198745225e-12,18724528.0,664,39808459.0,8.61894283695994e-15
0.0002,0.016585543392311382,500,-1,4,6620.0,1,9,882,2.6750346580057448e-12,18724528.0,543,530823300.0,1.1492873108266846e-13
0.0002,0.016585543392311382,500,-1,0,7265.0,0,9,2002,2.604808869058771e-12,18724528.0,530,80552689.0,1.7440489767624814e-14
0.0002,0.016585543392311382,500,-1,0,2821.0,0,7,1157,9.305403528245376e-13,18724528.0,622,31239616.0,6.763699759203921e-15
0.0002,0.016585543392311382,500,-1,0,3835.0,0,9,1096,1.2424799736502405e-12,18724528.0,490,36220092.0,7.842024291807679e-15
0.0002,0.016585543392311382,500,-1,0,16.0,0,3,407,7.839969175697605e-17,18724528.0,-1,3977.0,8.610616065944596e-19
0.0002,0.016585543392311382,500,715,4,8034.0,0,10,715,3.0053471179659023e-12,18724528.0,511,100931400.0,2.1852691335134032e-14
0.0002,0.016585543392311382,500,925,4,7864.0,0,7,925,3.0054479550568082e-12,18724528.0,548,80900843.0,1.7515868707172774e-14
0.0002,0.016585543392311382,500,707,4,7691.0,0,10,707,3.0058550416878965e-12,18724528.0,501,103106365.0,2.232359373824861e-14
0.0002,0.016585543392311382,500,758,4,7460.0,0,9,758,3.0167394700883546e-12,18724528.0,495,484552895.0,1.0491071014551093e-13
0.0002,0.016585543392311382,500,-1,0,6592.0,0,6,1325,2.4922825403459414e-12,18724528.0,449,51330156.0,1.1113509326654318e-14
0.0002,0.016585543392311382,500,-1,0,2836.0,0,7,1084,1.0686828865230247e-12,18724528.0,527,37331989.0,8.082761484965225e-15
0.0002,0.016585543392311382,500,-1,4,6342.0,1,17,781,2.7176102130976827e-12,18724528.0,531,600055468.0,1.299182110439704e-13
0.0002,0.016585543392311382,500,-1,0,2495.0,0,3,1146,9.519362363629273e-13,18724528.0,593,34700438.0,7.513003493540717e-15
0.0002,0.016585543392311382,500,800,4,7184.0,0,12,800,3.0050545694163e-12,18724528.0,526,89569640.0,1.9392752859061457e-14
0.0002,0.016585543392311382,500,-1,0,5847.0,0,5,1318,2.366569344118e-12,18724528.0,536,65978544.0,1.42850367355804e-14
0.0002,0.016585543392311382,500,-1,0,3864.0,0,8,1208,1.5048981775709851e-12,18724528.0,560,43542658.0,9.42743551744357e-15
0.0002,0.016585543392311382,500,-1,0,2819.0,0,13,1083,1.0042680379720618e-12,18724528.0,538,36575435.0,7.918959724161734e-15
0.0002,0.016585543392311382,500,-1,0,2546.0,0,2,1145,9.344647029102948e-13,18724528.0,616,44313362.0,9.594300899502606e-15
0.0002,0.016585543392311382,500,-1,0,6257.0,0,7,1348,2.451105341508736e-12,18724528.0,565,70249571.0,1.5209758226761764e-14
0.0002,0.016585543392311382,500,-1,6,28.0,0,7,1,1.1895695568283431e-14,18724528.0,-1,15859083.0,4.39455749069096e-15
0.0002,0.016585543392311382,500,-1,0,3517.0,0,7,1238,1.2344824003221099e-12,18724528.0,640,40329826.0,8.73182418135152e-15
0.0002,0.016585543392311382,500,-1,0,6272.0,0,9,1358,2.3614092132237666e-12,18724528.0,582,64738494.0,1.4016553093323056e-14
0.0002,0.016585543392311382,500,-1,0,178.0,0,7,682,1.9283835169392498e-14,18724528.0,-1,585350.0,1.2673432522506083e-16
0.0002,0.016585543392311382,500,-1,0,3712.0,0,9,1260,1.3369780329331824e-12,18724528.0,648,40932099.0,8.862222510994088e-15
0.0002,0.016585543392311382,500,-1,0,3596.0,0,8,1176,1.3211177425543838e-12,18724528.0,589,43916350.0,9.508343697954386e-15
0.0002,0.016585543392311382,500,811,4,7256.0,0,6,811,3.003172576486521e-12,18724528.0,515,86790303.0,1.8790997671108857e-14
0.0002,0.016585543392311382,500,-1,6,48.0,0,6,1,1.8624950698120222e-14,18724528.0,44,35990397.0,8.994578094074822e-15
0.0002,0.016585543392311382,500,-1,0,3839.0,0,6,1188,1.429405828176893e-12,18724528.0,584,49543595.0,1.072670040411497e-14
0.0002,0.016585543392311382,500,-1,0,1871.0,0,9,1092,6.413596466150589e-13,18724528.0,638,23682473.0,5.127500188461127e-15
0.0002,0.016585543392311382,500,-1,0,2114.0,0,8,1042,7.105927835198868e-13,18724528.0,547,22482741.0,4.8677458099339016e-15
0.0002,0.016585543392311382,500,-1,4,5893.0,1,13,859,2.5064271997904824e-12,18724528.0,513,614759319.0,1.3310174676566646e-13
0.0002,0.016585543392311382,500,-1,0,1009.0,0,9,953,3.395283072875009e-13,18724528.0,-1,13129777.0,2.842732430939649e-15
0.0002,0.016585543392311382,500,-1,0,5451.0,0,7,1260,2.0659983863693376e-12,18724528.0,532,65455493.0,1.417179078778285e-14
0.0002,0.016585543392311382,500,-1,0,2971.0,0,2,1218,1.117311177506654e-12,18724528.0,582,39503168.0,8.552844179947411e-15
0.0002,0.016585543392311382,500,-1,0,3009.0,0,7,1133,1.0963068078769164e-12,18724528.0,554,42546959.0,9.211856392317976e-15
0.0002,0.016585543392311382,500,-1,0,6404.0,0,7,1349,2.6018788660745834e-12,18724528.0,577,82513308.0,1.7864984046241753e-14
0.0002,0.016585543392311382,500,-1,0,2523.0,0,8,1128,1.0245644350410864e-12,18724528.0,587,37098934.0,8.032302668589844e-15
0.0002,0.016585543392311382,500,-1,0,3888.0,0,6,1174,1.574877071121317e-12,18724528.0,506,57322811.0,1.2410981074722293e-14
0.0002,0.016585543392311382,500,777,4,4827.0,0,11,777,3.0010726524798384e-12,18724528.0,510,97437960.0,2.1096325466654937e-14
