#eta	alpha	v	dl	dt	E
16857.4	0	-0.000858071	0.00574936	0.00426235	2498
16857.4	0	-0.000858071	0.00574936	0.00426235	4896
8151.08	0	-0.00159485	0.00769984	0.00524463	7294
2805.98	0	-0.00294326	0.0115616	0.00745035	9692
1165.7	0	-0.00466527	0.0109669	0.009358	12090
594.396	0	-0.00612481	0.00981974	0.010474	14488
322.433	0.000605809	-0.00709647	0.00884091	0.0110513	16886
192.617	0.156715	-0.00773138	0.00811384	0.0114621	19284
123.06	0.846245	-0.00817478	0.00800992	0.011797	21682
93.3336	2.56316	-0.00851427	0.00832648	0.012595	24080
67.491	6.41955	-0.00881125	0.00877875	0.0127969	26478
52.1479	12.3458	-0.00910135	0.00862004	0.0134251	28876
50.6119	26.0007	-0.00939948	0.00855652	0.0124303	31274
37.3596	34.1947	-0.00970661	0.00974492	0.0132388	33672
32.2059	49.6831	-0.0100261	0.00945239	0.0130224	36070
27.0981	66.0272	-0.0103921	0.00958378	0.0127381	38468
24.5309	87.7278	-0.0107482	0.00995474	0.0126562	40866
22.7275	110.875	-0.0111172	0.0100132	0.012599	43264
20.3604	134.692	-0.0114901	0.0102823	0.0124767	45662
18.4886	161.121	-0.0118818	0.0101859	0.0121308	48060
17.6111	192.96	-0.0122731	0.0102859	0.0119419	50458
16.5368	222.503	-0.0126742	0.00946708	0.0118209	52856
15.4479	256.423	-0.013072	0.0103939	0.011924	55254
14.1972	288.528	-0.0134723	0.0102	0.0117782	57652
13.9465	321.751	-0.0138884	0.0103643	0.0118523	60050
12.9916	355.116	-0.0142997	0.009463	0.0116133	62448
12.4393	394.173	-0.0147028	0.00954116	0.0113196	64846
11.8549	430.046	-0.0151279	0.00964921	0.0112629	67244
11.5184	470.188	-0.0155422	0.00937881	0.0116615	69642
10.5968	507.999	-0.0159416	0.0098621	0.0111155	72040
10.1202	548.873	-0.0163628	0.00932698	0.0113307	74438
9.81719	588.606	-0.0167734	0.00990635	0.0111856	76836
9.23034	631.085	-0.0171954	0.00920369	0.0112481	79234
9.07743	670.431	-0.0176038	0.00949574	0.0110343	81632
8.82433	712.928	-0.0180025	0.00993046	0.0106935	84030
8.58417	755.08	-0.0184189	0.00886494	0.0102962	86428
8.08677	797.556	-0.0188367	0.00902593	0.0106263	88826
7.69637	841.736	-0.0192368	0.00824213	0.0103753	91224
7.29726	885.764	-0.0196384	0.00754655	0.010176	93622
6.89814	929.792	-0.02004	0.00685098	0.00997663	96020
6.49902	973.82	-0.0204416	0.00615541	0.00977731	98418
6.09991	1017.85	-0.0208432	0.00545984	0.00957799	100816
5.70079	1061.88	-0.0212448	0.00476427	0.00937867	103214
5.30167	1105.9	-0.0216464	0.00406869	0.00917935	105612
4.90256	1149.93	-0.022048	0.00337312	0.00898003	108010
4.50344	1193.96	-0.0224495	0.00267755	0.00878071	110408
4.10432	1237.99	-0.0228511	0.00198198	0.00858139	112806
3.70521	1282.02	-0.0232527	0.0012864	0.00838206	115204
3.30609	1326.04	-0.0236543	0.000590832	0.00818274	117602
2.90697	1370.07	-0.0240559	0	0.00798342	120000
