Dx,Dt,iNstep,thrCrossTimeStep,avalStatus,computeTime,streamer,classicStreamer,elecLimit,nCluster,size,finalChargesTot,ElecThr,ElecThrReachedTime,ElecMax,InducedChargeThr,InducedChargeThrTime,ChargeMax
0.0005,0.04880309186480112,200,-1,6,206.0,1,0,0,15,1,1.374299174240876e-13,18724528.0,40,197664047.0,1e-14,40,1.086985595578009e-13
0.0005,0.04880309186480112,200,-1,4,2794.0,1,1,1,8,252,2.131282615720055e-12,18724528.0,213,1075271522.0,1e-14,212,5.820184965165891e-13
0.0005,0.04880309186480112,200,-1,6,2862.0,1,1,0,11,1,1.7420795554434195e-12,18724528.0,213,758206504.0,1e-14,212,4.1039886249975387e-13
0.0005,0.04880309186480112,200,-1,4,2991.0,1,1,1,8,261,2.914044391619849e-12,18724528.0,220,2276572024.0,1e-14,220,1.2322534350725677e-12
0.0005,0.04880309186480112,200,283,4,4285.0,1,1,1,10,283,8.091841670271886e-12,18724528.0,209,10290611708.0,1e-14,209,5.570059498447469e-12
0.0005,0.04880309186480112,200,262,4,5297.0,1,1,1,15,263,4.500077882034817e-12,18724528.0,190,2755128717.0,1e-14,190,1.4912846111607697e-12
0.0005,0.04880309186480112,200,264,4,5657.0,1,1,1,11,267,5.242894319877996e-12,18724528.0,196,3663359893.0,1e-14,196,1.9828882040484582e-12
0.0005,0.04880309186480112,200,285,4,5987.0,1,1,1,10,289,4.3010597548444e-12,18724528.0,211,1589141677.0,1e-14,211,8.601639964193073e-13
0.0005,0.04880309186480112,200,278,4,6309.0,1,1,1,10,289,4.402506101505657e-12,18724528.0,209,1497415965.0,1e-14,208,8.10515084588316e-13
0.0005,0.04880309186480112,200,253,4,3684.0,1,1,1,9,253,3.6111003729021953e-12,18724528.0,210,2743702799.0,1e-14,210,1.4851000377952322e-12
0.0005,0.04880309186480112,200,-1,6,3723.0,1,1,0,10,1,2.0643373513309677e-12,18724528.0,202,786822919.0,1e-14,201,4.258882365724683e-13
0.0005,0.04880309186480112,200,-1,4,3718.0,1,1,1,6,248,2.6488075892423054e-12,18724528.0,205,1029242553.0,1e-14,205,5.5710412764745e-13
0.0005,0.04880309186480112,200,272,4,5272.0,1,1,1,12,273,4.307497082917555e-12,18724528.0,200,2319310499.0,1e-14,200,1.255386739037175e-12
0.0005,0.04880309186480112,200,245,4,3200.0,1,1,1,13,245,8.641685315951781e-12,18724528.0,203,12535181393.0,1e-14,202,6.78499084058936e-12
0.0005,0.04880309186480112,200,244,4,3324.0,1,1,1,9,244,3.5857803048002045e-12,18724528.0,209,3142064467.0,1e-14,208,1.700723584346482e-12
0.0005,0.04880309186480112,200,274,4,5206.0,1,1,1,14,275,3.63873294081287e-12,18724528.0,205,1152422833.0,1e-14,204,6.23778637200854e-13
0.0005,0.04880309186480112,200,-1,6,4786.0,1,1,0,9,1,2.7837596719872164e-12,18724528.0,198,702140056.0,1e-14,198,3.8005144875137305e-13
0.0005,0.04880309186480112,200,392,4,4604.0,1,1,1,7,392,3.4751805474127944e-12,18724528.0,227,1527752584.0,1e-14,227,8.269355635264502e-13
0.0005,0.04880309186480112,200,-1,6,2572.0,1,1,0,6,1,1.4355205765260217e-12,18724528.0,202,831187692.0,1e-14,202,4.499018163534454e-13
0.0005,0.04880309186480112,200,-1,4,3613.0,1,1,1,10,297,2.6665565409609785e-12,18724528.0,212,1070933677.0,1e-14,212,5.796705258195448e-13
0.0005,0.04880309186480112,200,-1,0,161.0,0,0,0,8,360,6.249465572829482e-14,18724528.0,-1,1759622.0,1e-14,-1,9.524408764891601e-16
0.0005,0.04880309186480112,200,252,4,5440.0,1,1,1,6,253,3.844472948033289e-12,18724528.0,207,1399215360.0,1e-14,207,7.573614696085273e-13
0.0005,0.04880309186480112,200,-1,0,1256.0,0,0,0,6,450,6.733362108989143e-13,18724528.0,235,30011354.0,1e-14,235,1.6244420851970745e-14
0.0005,0.04880309186480112,200,280,4,4196.0,1,1,1,13,280,3.6650547881667374e-12,18724528.0,205,2230872576.0,1e-14,204,1.2075174279595676e-12
0.0005,0.04880309186480112,200,237,4,3240.0,1,1,1,14,237,3.563310542227689e-12,18724528.0,202,3108401248.0,1e-14,201,1.6825024971983302e-12
0.0005,0.04880309186480112,200,-1,4,2162.0,1,1,1,13,262,1.8431911987761284e-12,18724528.0,230,1103369148.0,1e-14,230,5.972270626374406e-13
0.0005,0.04880309186480112,200,242,4,3727.0,1,1,1,9,242,3.827801073531173e-12,18724528.0,203,3131634108.0,1e-14,203,1.6950778830151421e-12
0.0005,0.04880309186480112,200,-1,4,2950.0,1,1,1,14,289,2.2732935492280114e-12,18724528.0,208,1041240736.0,1e-14,208,5.635984542316806e-13
0.0005,0.04880309186480112,200,-1,6,3288.0,1,1,0,7,1,1.949946212706409e-12,18724528.0,207,819591070.0,1e-14,207,4.4362484503688215e-13
0.0005,0.04880309186480112,200,-1,0,353.0,0,0,0,7,369,1.7726258891456286e-13,18724528.0,-1,6308128.0,1e-14,-1,3.4144372833061957e-15
0.0005,0.04880309186480112,200,247,4,4606.0,1,1,1,6,247,1.1625760054803328e-11,18724528.0,205,16700606462.0,1e-14,204,9.039634794613735e-12
0.0005,0.04880309186480112,200,-1,6,2964.0,1,1,0,3,1,1.7554607819056086e-12,18724528.0,208,892548501.0,1e-14,208,4.831149398004379e-13
0.0005,0.04880309186480112,200,-1,0,1015.0,0,0,0,5,406,6.085795028115182e-13,18724528.0,224,19610690.0,1e-14,223,1.0614792706704742e-14
0.0005,0.04880309186480112,200,-1,4,2354.0,1,1,1,5,266,2.349434939126183e-12,18724528.0,233,1770728959.0,1e-14,233,9.584528050539827e-13
0.0005,0.04880309186480112,200,-1,6,2251.0,1,0,0,8,1,1.33989529969685e-12,18724528.0,213,298726798.0,1e-14,213,1.616935985785131e-13
0.0005,0.04880309186480112,200,285,4,4737.0,1,1,1,8,285,3.329427929908958e-12,18724528.0,209,1129420412.0,1e-14,209,6.113279824473827e-13
0.0005,0.04880309186480112,200,261,4,6684.0,1,1,1,9,274,4.550828402785996e-12,18724528.0,197,1310921507.0,1e-14,197,7.095701401412186e-13
0.0005,0.04880309186480112,200,-1,4,66.0,1,1,1,8,36,1.0270175445646459e-12,18724528.0,35,1806454778.0,1e-14,35,9.803379805173899e-13
0.0005,0.04880309186480112,200,-1,4,3539.0,1,1,1,9,253,2.746628471408436e-12,18724528.0,212,1371967536.0,1e-14,212,7.42612880779232e-13
0.0005,0.04880309186480112,200,250,6,6684.0,1,1,0,12,1,3.980181156861481e-12,18724528.0,189,787523064.0,1e-14,189,4.2626720814560707e-13
0.0005,0.04880309186480112,200,283,4,4954.0,1,1,1,8,283,4.276705249769094e-12,18724528.0,202,2590430313.0,1e-14,202,1.402137344155625e-12
0.0005,0.04880309186480112,200,-1,4,2894.0,1,1,1,11,242,2.3477641672932298e-12,18724528.0,202,1130057302.0,1e-14,202,6.116727156172494e-13
0.0005,0.04880309186480112,200,-1,4,3266.0,1,1,1,10,335,2.833731988554867e-12,18724528.0,237,1655394307.0,1e-14,237,8.960249443881963e-13
0.0005,0.04880309186480112,200,284,4,3820.0,1,1,1,7,284,3.1317432373747096e-12,18724528.0,239,1614467240.0,1e-14,238,8.738721118107384e-13
0.0005,0.04880309186480112,200,261,4,2711.0,1,1,1,5,261,5.609813343396064e-12,18724528.0,227,7203170655.0,1e-14,227,3.898902248408581e-12
0.0005,0.04880309186480112,200,268,4,6058.0,1,1,1,10,277,5.0693715486402176e-12,18724528.0,206,2488342749.0,1e-14,206,1.3468798121772783e-12
0.0005,0.04880309186480112,200,311,4,4187.0,1,1,1,9,311,5.947800911277782e-12,18724528.0,231,5696726274.0,1e-14,231,3.08350030036416e-12
0.0005,0.04880309186480112,200,269,4,3948.0,1,1,1,11,269,5.143839753156464e-12,18724528.0,214,4116984862.0,1e-14,214,2.228424440280859e-12
0.0005,0.04880309186480112,200,-1,6,3103.0,1,1,0,11,1,2.365131544984525e-12,18724528.0,213,868940439.0,1e-14,213,4.703364662058304e-13
0.0005,0.04880309186480112,200,256,4,1799.0,1,1,1,9,256,4.499451570677566e-12,18724528.0,215,4961183178.0,1e-14,215,2.6853685930714652e-12
