Dx,Dt,iNstep,thrCrossTimeStep,avalStatus,computeTime,streamer,classicStreamer,elecLimit,nCluster,size,finalChargesTot,ElecThr,ElecThrReachedTime,ElecMax,InducedChargeThr,InducedChargeThrTime,ChargeMax
0.0004,0.03961182122031486,500,-1,4,7149.0,1,1,1,20,319,2.963937897614798e-12,18724528.0,238,1374055300.0,1e-14,260,3.144970133568189e-13
0.0004,0.03961182122031486,500,-1,4,7274.0,1,1,1,19,335,2.9322423791472455e-12,18724528.0,257,1217270281.0,1e-14,277,2.7861168893458334e-13
0.0004,0.03961182122031486,500,367,4,7404.0,1,1,1,9,367,3.080508019678816e-12,18724528.0,285,1253808248.0,1e-14,306,2.86974584878895e-13
0.0004,0.03961182122031486,500,332,4,7488.0,1,1,1,20,332,3.022350270222612e-12,18724528.0,260,1342948139.0,1e-14,279,3.073771330808868e-13
0.0004,0.03961182122031486,500,343,4,7527.0,1,1,1,18,343,3.0088450915682718e-12,18724528.0,265,1159101199.0,1e-14,284,2.652978124416154e-13
0.0004,0.03961182122031486,500,339,4,9148.0,1,1,1,18,341,3.5930320841626385e-12,18724528.0,259,1160113253.0,1e-14,277,2.6552945374481184e-13
0.0004,0.03961182122031486,500,350,4,11387.0,1,1,1,18,358,4.4840099201317084e-12,18724528.0,270,1133034827.0,1e-14,289,2.5933167982450166e-13
0.0004,0.03961182122031486,500,-1,4,5425.0,1,1,1,13,336,2.1271214755111725e-12,18724528.0,260,1075951715.0,1e-14,283,2.4626636270290345e-13
0.0004,0.03961182122031486,500,-1,4,7303.0,1,1,1,19,331,2.859421307463367e-12,18724528.0,256,1090324921.0,1e-14,275,2.4955613594519034e-13
0.0004,0.03961182122031486,500,339,4,9365.0,1,1,1,19,342,3.631098479131392e-12,18724528.0,252,1238785756.0,1e-14,271,2.835362015276741e-13
0.0004,0.03961182122031486,500,341,4,10324.0,1,1,1,22,345,3.890421416336569e-12,18724528.0,262,1054067189.0,1e-14,280,2.41257380847712e-13
0.0004,0.03961182122031486,500,336,4,18216.0,1,1,1,23,364,6.899922561410678e-12,18724528.0,262,1312381293.0,1e-14,280,3.00380921374751e-13
0.0004,0.03961182122031486,500,343,4,11237.0,1,1,1,14,352,4.36028891109909e-12,18724528.0,258,1530427269.0,1e-14,278,3.5028779792220344e-13
0.0004,0.03961182122031486,500,334,4,13337.0,1,1,1,30,345,4.977671453488255e-12,18724528.0,257,1120086249.0,1e-14,277,2.5636797879426105e-13
0.0004,0.03961182122031486,500,333,4,12431.0,1,1,1,15,343,4.563298071919479e-12,18724528.0,255,1120875133.0,1e-14,273,2.565485404222285e-13
0.0004,0.03961182122031486,500,347,4,11738.0,1,1,1,18,354,4.2473738049579236e-12,18724528.0,260,1475595156.0,1e-14,280,3.3773769475347097e-13
0.0004,0.03961182122031486,500,364,4,8633.0,1,1,1,17,364,3.175371694250427e-12,18724528.0,270,1108356895.0,1e-14,293,2.5368333662476107e-13
0.0004,0.03961182122031486,500,-1,4,7495.0,1,1,1,24,332,2.7802787056274418e-12,18724528.0,238,1220222568.0,1e-14,259,2.792874153366223e-13
0.0004,0.03961182122031486,500,-1,4,7043.0,1,1,1,12,364,2.9466597805593413e-12,18724528.0,283,1016938511.0,1e-14,306,2.327592815784273e-13
0.0004,0.03961182122031486,500,321,4,12377.0,1,1,1,26,328,4.098752761856005e-12,18724528.0,239,1155147805.0,1e-14,258,2.643929503115231e-13
0.0004,0.03961182122031486,500,336,4,12272.0,1,1,1,16,343,4.3424494204706466e-12,18724528.0,259,1025831135.0,1e-14,277,2.3479464630421737e-13
0.0004,0.03961182122031486,500,-1,4,6910.0,1,1,1,15,347,2.726836937712545e-12,18724528.0,270,1559910627.0,1e-14,290,3.570360183429751e-13
0.0004,0.03961182122031486,500,338,4,12529.0,1,1,1,24,348,4.50861012769976e-12,18724528.0,258,1466954175.0,1e-14,276,3.3575992667021173e-13
0.0004,0.03961182122031486,500,335,4,8391.0,1,1,1,22,335,3.2487929231646292e-12,18724528.0,261,1427228180.0,1e-14,279,3.2666734736854364e-13
