Dx,Dt,iNstep,thrCrossTimeStep,avalStatus,computeTime,streamer,nCluster,size,finalChargesTot,ElecThr,ElecThrReachedTime,ElecMax,ChargeMax
0.0002,0.018475350469785268,500,-1,4,3701.0,1,11,450,1.5791686606263726e-12,6241.0,136,1219578087.0,2.640512614934921e-13
0.0002,0.018475350469785268,500,-1,4,5134.0,1,4,505,1.4587883989037118e-12,6241.0,199,984614557.0,2.131792286463948e-13
0.0002,0.018475350469785268,500,-1,4,5615.0,1,11,461,1.5088218120900806e-12,6241.0,149,1021375078.0,2.2113826140262023e-13
0.0002,0.018475350469785268,500,-1,4,6206.0,1,8,452,1.6138879008782797e-12,6241.0,154,1805599322.0,3.909309160339922e-13
0.0002,0.018475350469785268,500,518,4,7249.0,1,10,518,3.8501843042837104e-12,6241.0,148,10159306938.0,2.1995949594972406e-12
0.0002,0.018475350469785268,500,-1,4,10591.0,1,12,481,2.775364386384276e-12,6241.0,161,789183091.0,1.7086629626191628e-13
0.0002,0.018475350469785268,500,474,4,11182.0,0,10,474,3.0204820283529726e-12,6241.0,146,214644561.0,4.647276604008611e-14
0.0002,0.018475350469785268,500,466,4,11445.0,0,12,466,3.004441382482603e-12,6241.0,151,260198398.0,5.633564259873894e-14
0.0002,0.018475350469785268,500,463,4,6247.0,1,11,463,3.000978219764673e-12,6241.0,160,6257424409.0,1.3547970617945504e-12
0.0002,0.018475350469785268,500,-1,4,5880.0,1,9,468,1.809038023931863e-12,6241.0,145,1720774598.0,3.7256548653276744e-13
0.0002,0.018475350469785268,500,-1,4,5419.0,1,10,508,2.123733756382776e-12,6241.0,170,3030965844.0,6.562354335347176e-13
0.0002,0.018475350469785268,500,-1,4,7583.0,1,9,477,1.7657707520917585e-12,6241.0,157,530709729.0,1.149041417872895e-13
0.0002,0.018475350469785268,500,612,4,10046.0,0,7,612,3.0295296540775094e-12,6241.0,175,394414827.0,8.539488674913159e-14
0.0002,0.018475350469785268,500,-1,4,5145.0,1,11,469,1.388425952313278e-12,6241.0,164,540666081.0,1.1705979490495102e-13
0.0002,0.018475350469785268,500,-1,0,6227.0,0,5,999,1.3303155695099443e-12,6241.0,156,44988646.0,9.740506865292786e-15
0.0002,0.018475350469785268,500,-1,0,9154.0,0,6,824,2.373733534953921e-12,6241.0,147,105413112.0,2.2823028306472653e-14
0.0002,0.018475350469785268,500,542,4,10047.0,1,14,542,3.0487054001422912e-12,6241.0,145,991149732.0,2.145941615819934e-13
0.0002,0.018475350469785268,500,-1,4,5582.0,1,6,561,1.4773379565891126e-12,6241.0,178,583829145.0,1.2640504439788023e-13
0.0002,0.018475350469785268,500,-1,0,8732.0,0,8,866,2.4769041658180255e-12,6241.0,139,87078922.0,1.885348666779825e-14
0.0002,0.018475350469785268,500,474,4,11865.0,1,9,474,3.1078704290418327e-12,6241.0,157,701959621.0,1.519815134580583e-13
0.0002,0.018475350469785268,500,507,4,12423.0,0,8,507,3.0039661587496915e-12,6241.0,157,174712897.0,3.7827148047169317e-14
0.0002,0.018475350469785268,500,465,4,13618.0,0,14,465,3.0606815901398338e-12,6241.0,149,333368114.0,7.217764240085613e-14
0.0002,0.018475350469785268,500,-1,4,4341.0,1,7,507,1.918451578996146e-12,6241.0,173,2968378978.0,6.426847301427962e-13
0.0002,0.018475350469785268,500,-1,4,4631.0,1,5,526,1.6103251587779858e-12,6241.0,211,2254024883.0,4.880196849534495e-13
0.0002,0.018475350469785268,500,-1,0,2582.0,0,9,897,6.39965436100236e-13,6241.0,152,35949409.0,7.783418624506243e-15
0.0002,0.018475350469785268,500,497,4,10925.0,0,11,497,3.0096419252475766e-12,6241.0,166,200341590.0,4.337602498191819e-14
0.0002,0.018475350469785268,500,491,4,9569.0,0,11,491,3.021748855661091e-12,6241.0,109,206989900.0,4.4815452814389375e-14
0.0002,0.018475350469785268,500,-1,0,7701.0,0,8,926,2.085455488698411e-12,6241.0,189,98235351.0,2.126896886005296e-14
0.0002,0.018475350469785268,500,508,4,13809.0,0,12,508,3.0212593820838993e-12,6241.0,159,200551398.0,4.342145058251065e-14
0.0002,0.018475350469785268,500,-1,4,6972.0,1,5,499,2.494589572294334e-12,6241.0,164,2359110472.0,5.107718011451179e-13
0.0002,0.018475350469785268,500,546,4,12413.0,1,6,546,4.847364323003735e-12,6241.0,160,8722776511.0,1.88857127395677e-12
0.0002,0.018475350469785268,500,-1,4,3825.0,1,6,465,1.3270839574516116e-12,6241.0,121,666325802.0,1.4426642333051578e-13
0.0002,0.018475350469785268,500,-1,4,5831.0,1,13,548,2.601136893380227e-12,6241.0,138,4362204586.0,9.444623809692937e-13
0.0002,0.018475350469785268,500,-1,4,6885.0,1,12,449,2.2564718920093527e-12,6241.0,148,1033922739.0,2.2385495970276195e-13
0.0002,0.018475350469785268,500,-1,4,6308.0,1,7,497,2.910946463218997e-12,6241.0,179,6874095408.0,1.4883127070394957e-12
0.0002,0.018475350469785268,500,653,4,10076.0,0,5,653,3.0096999827107074e-12,6241.0,251,128465398.0,2.7814086495769853e-14
0.0002,0.018475350469785268,500,-1,0,4667.0,0,6,786,7.627922650536331e-13,6241.0,162,32074963.0,6.944561018918243e-15
0.0002,0.018475350469785268,500,-1,4,6207.0,1,5,494,1.9220109991783536e-12,6241.0,187,942750434.0,2.0411521330592515e-13
0.0002,0.018475350469785268,500,-1,4,5757.0,1,7,505,2.3653090398332786e-12,6241.0,175,6283856573.0,1.3605198985055408e-12
0.0002,0.018475350469785268,500,526,4,10669.0,0,9,526,3.025936242422068e-12,6241.0,167,168712140.0,3.6527922132358445e-14
0.0002,0.018475350469785268,500,515,4,11176.0,1,10,515,5.397448582898915e-12,6241.0,145,12045126423.0,2.6078943699828404e-12
0.0002,0.018475350469785268,500,-1,0,6561.0,0,9,945,1.934984294835655e-12,6241.0,177,81299261.0,1.760213032225355e-14
0.0002,0.018475350469785268,500,-1,4,5641.0,1,11,460,1.7793301018239517e-12,6241.0,147,588575178.0,1.2743260959776214e-13
0.0002,0.018475350469785268,500,545,4,10641.0,1,9,545,4.317407298053877e-12,6241.0,157,8459435221.0,1.831555162754846e-12
0.0002,0.018475350469785268,500,523,4,10800.0,1,11,523,4.247070046338229e-12,6241.0,148,6623795521.0,1.434120194384069e-12
0.0002,0.018475350469785268,500,-1,4,7975.0,1,8,458,2.476529729811661e-12,6241.0,152,2269370197.0,4.913421040448595e-13
0.0002,0.018475350469785268,500,-1,4,5841.0,1,10,481,1.8605228319099985e-12,6241.0,155,875605599.0,1.8957766251396617e-13
0.0002,0.018475350469785268,500,-1,4,4490.0,1,11,487,2.5985660812601086e-12,6241.0,143,5542539412.0,1.2000170708347578e-12
0.0002,0.018475350469785268,500,526,4,12689.0,0,8,526,3.006052970457402e-12,6241.0,147,143763746.0,3.112633696273517e-14
