Dx,Dt,iNstep,thrCrossTimeStep,avalStatus,computeTime,streamer,nCluster,size,finalChargesTot,ElecThr,ElecThrReachedTime,ElecMax,ChargeMax
0.0002,0.01951055442651065,500,-1,0,3366.0,0,8,946,2.554549866391888e-13,6241.0,234,8881798.0,1.9230010699842738e-15
0.0002,0.01951055442651065,500,-1,0,8993.0,0,12,1064,1.7544163364773752e-12,6241.0,204,47163433.0,1.021137072956755e-14
0.0002,0.01951055442651065,500,-1,0,13772.0,0,11,1340,2.1094797076890475e-12,6241.0,203,55250629.0,1.1962332253481125e-14
0.0002,0.01951055442651065,500,-1,0,14409.0,0,12,1317,2.6929522185559668e-12,6241.0,211,77210416.0,1.6716853117120076e-14
0.0002,0.01951055442651065,500,-1,0,15066.0,0,7,1333,2.2356554778170092e-12,6241.0,259,60415490.0,1.3080578044403196e-14
0.0002,0.01951055442651065,500,-1,0,15320.0,0,8,1132,2.3149014935385104e-12,6241.0,238,74206503.0,1.606647490393176e-14
0.0002,0.01951055442651065,500,-1,0,1886.0,0,5,981,2.7471552074970186e-13,6241.0,330,12524172.0,2.7116126888572658e-15
0.0002,0.01951055442651065,500,731,4,17326.0,0,13,731,3.00022564564171e-12,6241.0,228,105202776.0,2.2777488388422702e-14
0.0002,0.01951055442651065,500,812,4,18264.0,0,7,812,3.0015090491976716e-12,6241.0,225,101579796.0,2.1993075771007665e-14
0.0002,0.01951055442651065,500,-1,0,5388.0,0,6,1114,9.978190245112994e-13,6241.0,239,35911684.0,7.775250772077581e-15
0.0002,0.01951055442651065,500,629,4,16588.0,0,18,629,3.0030785902156713e-12,6241.0,175,116811098.0,2.52908100859801e-14
0.0002,0.01951055442651065,500,-1,0,13586.0,0,9,1306,2.83682398836145e-12,6241.0,162,66584999.0,1.441634051144845e-14
0.0002,0.01951055442651065,500,-1,0,5757.0,0,7,1156,1.4078297422197426e-12,6241.0,253,47793071.0,1.0347693864556975e-14
0.0002,0.01951055442651065,500,-1,0,1068.0,0,5,721,1.2817397238250246e-13,6241.0,167,5208328.0,1.127656845700505e-15
0.0002,0.01951055442651065,500,-1,0,7504.0,0,10,1158,2.039419362084243e-12,6241.0,214,69607914.0,1.5070832854042993e-14
0.0002,0.01951055442651065,500,-1,0,10031.0,0,8,1311,2.4562281882405432e-12,6241.0,224,66307219.0,1.435619827029185e-14
0.0002,0.01951055442651065,500,-1,0,7425.0,0,9,1242,1.2055667139995856e-12,6241.0,253,40907445.0,8.856884665168341e-15
0.0002,0.01951055442651065,500,-1,0,11983.0,0,10,1263,2.1281316580921224e-12,6241.0,200,82877474.0,1.7943829749291064e-14
0.0002,0.01951055442651065,500,-1,4,167.0,1,7,45,2.1920171198184556e-13,6241.0,24,742893077.0,1.6306248452885472e-13
0.0002,0.01951055442651065,500,-1,0,2569.0,0,7,996,5.156037222888033e-13,6241.0,219,17206737.0,3.725436410728775e-15
0.0002,0.01951055442651065,500,-1,0,8476.0,0,7,1247,1.8793788179731194e-12,6241.0,241,64494164.0,1.3963653122908364e-14
0.0002,0.01951055442651065,500,-1,0,6206.0,0,9,1135,1.4335372974628994e-12,6241.0,230,47512007.0,1.028684060345668e-14
0.0002,0.01951055442651065,500,703,4,9671.0,0,14,703,3.0061474867455554e-12,6241.0,188,98149449.0,2.125037018916291e-14
0.0002,0.01951055442651065,500,-1,0,6270.0,0,12,1131,1.7891871516564392e-12,6241.0,213,58305682.0,1.262378280525664e-14
0.0002,0.01951055442651065,500,-1,0,8819.0,0,10,1145,2.5169124695188285e-12,6241.0,203,77518510.0,1.6783558652604627e-14
0.0002,0.01951055442651065,500,-1,0,10649.0,0,10,1218,2.4848840796971036e-12,6241.0,224,83280610.0,1.8031112860137453e-14
0.0002,0.01951055442651065,500,-1,0,4206.0,0,3,1162,9.951654129928882e-13,6241.0,256,52290843.0,1.1321507991893048e-14
0.0002,0.01951055442651065,500,-1,0,10915.0,0,9,1272,2.6091641206135175e-12,6241.0,220,66090935.0,1.4309370548762885e-14
0.0002,0.01951055442651065,500,-1,0,8349.0,0,7,1212,2.8301732255897835e-12,6241.0,214,107161624.0,2.320159922723445e-14
0.0002,0.01951055442651065,500,-1,0,9423.0,0,15,1106,2.9469091662826197e-12,6241.0,198,82903246.0,1.794940965367255e-14
0.0002,0.01951055442651065,500,-1,0,8867.0,0,5,1287,2.05738070838576e-12,6241.0,209,59736024.0,1.2933466632387534e-14
0.0002,0.01951055442651065,500,-1,0,3786.0,0,4,1134,1.3870556196408713e-12,6241.0,224,48884413.0,1.0583980687756368e-14
0.0002,0.01951055442651065,500,-1,0,4724.0,0,12,1235,1.563191452500986e-12,6241.0,266,69828934.0,1.5118685968523632e-14
0.0002,0.01951055442651065,500,-1,0,5936.0,0,10,1205,1.3251484611371117e-12,6241.0,218,45928777.0,9.944054944063027e-15
0.0002,0.01951055442651065,500,-1,0,3918.0,0,8,1195,1.2550200604878978e-12,6241.0,208,39924324.0,8.644028807049971e-15
0.0002,0.01951055442651065,500,-1,0,8491.0,0,11,1244,2.6205382611855626e-12,6241.0,109,55797137.0,1.2080656884232129e-14
0.0002,0.01951055442651065,500,684,4,14655.0,0,9,684,3.002614626102786e-12,6241.0,197,98283993.0,2.127950035582062e-14
0.0002,0.01951055442651065,500,-1,0,8312.0,0,5,1203,2.2145340683288536e-12,6241.0,263,63571100.0,1.3763800226044016e-14
0.0002,0.01951055442651065,500,-1,0,3991.0,0,6,1159,1.2455453382470093e-12,6241.0,208,32979247.0,7.140347851670988e-15
0.0002,0.01951055442651065,500,795,4,8866.0,0,12,795,3.0010478927908237e-12,6241.0,195,89717731.0,1.9424816091242042e-14
0.0002,0.01951055442651065,500,685,4,9417.0,0,13,685,3.0064039962836767e-12,6241.0,198,97509336.0,2.1111779108403075e-14
0.0002,0.01951055442651065,500,-1,0,6122.0,0,12,1196,1.8084350138500022e-12,6241.0,236,62752846.0,1.3586639777504324e-14
0.0002,0.01951055442651065,500,-1,0,8081.0,0,9,1150,2.5938416962536388e-12,6241.0,223,83607874.0,1.810196889876469e-14
0.0002,0.01951055442651065,500,-1,0,4305.0,0,13,1127,7.469470667443209e-13,6241.0,250,22664526.0,4.9071041413784016e-15
0.0002,0.01951055442651065,500,-1,0,1843.0,0,10,947,5.10657293591592e-13,6241.0,217,14745879.0,3.1926352181009576e-15
0.0002,0.01951055442651065,500,-1,0,8424.0,0,7,1318,1.9179952375626724e-12,6241.0,259,43465588.0,9.410749065841807e-15
0.0002,0.01951055442651065,500,-1,0,9955.0,0,11,1183,2.3035931305386516e-12,6241.0,239,76444273.0,1.6550975238703918e-14
0.0002,0.01951055442651065,500,-1,0,8291.0,0,4,1387,2.510982737479282e-12,6241.0,211,61144686.0,1.3238456515432176e-14
0.0002,0.01951055442651065,500,-1,0,7967.0,0,10,1280,2.3167037868484763e-12,6241.0,208,97270654.0,2.106010198836656e-14
0.0002,0.01951055442651065,500,-1,0,6381.0,0,11,1182,2.0173782052133723e-12,6241.0,161,46884929.0,1.0151071734927624e-14
0.0002,0.01951055442651065,500,744,4,12468.0,0,18,744,3.00187968198347e-12,6241.0,175,104569188.0,2.2640310037605763e-14
0.0002,0.01951055442651065,500,-1,0,3983.0,0,16,1102,1.1670655593167205e-12,6241.0,180,39502224.0,8.552639794190148e-15
0.0002,0.01951055442651065,500,-1,0,9115.0,0,7,1262,2.738709558667021e-12,6241.0,234,112956633.0,2.4456278573417342e-14
0.0002,0.01951055442651065,500,678,4,12344.0,1,12,678,5.0044660861521235e-12,6241.0,172,9714608663.0,2.1033131865223166e-12
0.0002,0.01951055442651065,500,-1,0,6888.0,0,7,1062,2.221254171133763e-12,6241.0,191,69752181.0,1.5102068150698405e-14
0.0002,0.01951055442651065,500,882,4,10375.0,0,11,882,3.000346365959331e-12,6241.0,220,110271682.0,2.387495893004611e-14
0.0002,0.01951055442651065,500,-1,0,6409.0,0,11,1159,1.21637323981602e-12,6241.0,249,39185413.0,8.484046938105966e-15
0.0002,0.01951055442651065,500,-1,0,10122.0,0,4,1312,1.8910887413942434e-12,6241.0,254,41630038.0,9.013333518448177e-15
0.0002,0.01951055442651065,500,-1,0,4085.0,0,7,1044,7.288663704190968e-13,6241.0,213,25971235.0,5.623040818290738e-15
0.0002,0.01951055442651065,500,-1,0,6020.0,0,6,1127,1.1106660613245633e-12,6241.0,260,45630384.0,9.87944977534879e-15
0.0002,0.01951055442651065,500,835,4,15599.0,0,9,835,3.0016527546855914e-12,6241.0,205,94972215.0,2.0562466188014695e-14
0.0002,0.01951055442651065,500,-1,0,6638.0,0,9,1084,1.4959163826801731e-12,6241.0,208,56776049.0,1.229260145034593e-14
0.0002,0.01951055442651065,500,-1,0,9759.0,0,16,1092,2.001270995188772e-12,6241.0,226,60799648.0,1.3163752222091433e-14
0.0002,0.01951055442651065,500,-1,0,12031.0,0,12,1195,2.711893744388699e-12,6241.0,192,82761233.0,1.791866237131467e-14
0.0002,0.01951055442651065,500,-1,0,4069.0,0,4,1144,1.0283936528667763e-12,6241.0,289,39241184.0,8.496121936059544e-15
0.0002,0.01951055442651065,500,951,4,12682.0,0,11,951,3.0000105883064932e-12,6241.0,197,89070101.0,1.9284597502285847e-14
0.0002,0.01951055442651065,500,-1,0,6751.0,0,13,1155,1.7707249203839493e-12,6241.0,232,64010341.0,1.3858900442574605e-14
0.0002,0.01951055442651065,500,-1,0,7477.0,0,12,1204,1.7680617973499634e-12,6241.0,246,63929841.0,1.3841471360520076e-14
0.0002,0.01951055442651065,500,-1,0,7954.0,0,8,1152,2.4274887095045648e-12,6241.0,226,77069328.0,1.6686306106823078e-14
