Dx,Dt,iNstep,thrCrossTimeStep,avalStatus,computeTime,streamer,classicStreamer,elecLimit,nCluster,size,finalChargesTot,ElecThr,ElecThrReachedTime,ElecMax,InducedChargeThr,InducedChargeThrTime,ChargeMax
0.0002,0.01823743435152272,500,-1,0,930.0,0,0,0,7,681,1.874132894425193e-13,18724528.0,-1,8725671.0,1e-14,-1,1.8891979607429433e-15
0.0002,0.01823743435152272,500,-1,4,7381.0,1,1,1,6,453,2.867137250202428e-12,18724528.0,371,4107212513.0,1e-14,401,8.892539615460517e-13
0.0002,0.01823743435152272,500,556,4,9034.0,1,1,1,6,556,4.109333326190055e-12,18724528.0,369,7533644515.0,1e-14,399,1.6311119058580452e-12
0.0002,0.01823743435152272,500,476,4,10527.0,1,1,1,9,476,3.4223516365564462e-12,18724528.0,346,2516661021.0,1e-14,375,5.448831234588666e-13
0.0002,0.01823743435152272,500,493,4,10687.0,1,1,1,9,493,3.1591101304317178e-12,18724528.0,366,1058781134.0,1e-14,395,2.292370591586482e-13
0.0002,0.01823743435152272,500,540,4,11564.0,1,1,1,5,541,3.919190484012228e-12,18724528.0,367,3310960303.0,1e-14,398,7.168571279536481e-13
0.0002,0.01823743435152272,500,506,4,12014.0,1,1,1,12,508,6.4413184318285466e-12,18724528.0,364,14493534150.0,1e-14,389,3.137999949819125e-12
0.0002,0.01823743435152272,500,432,4,16066.0,1,1,1,13,449,4.682609387353721e-12,18724528.0,337,1028483236.0,1e-14,362,2.2267725108011786e-13
0.0002,0.01823743435152272,500,427,4,16630.0,1,1,1,14,458,5.122959142242149e-12,18724528.0,332,2181424543.0,1e-14,356,4.723009609404489e-13
0.0002,0.01823743435152272,500,-1,4,8780.0,1,1,1,6,537,2.8114037821721625e-12,18724528.0,370,1798279629.0,1e-14,475,3.893461268425516e-13
0.0002,0.01823743435152272,500,-1,4,8190.0,1,1,1,5,519,2.461143273385927e-12,18724528.0,352,1195687033.0,1e-14,439,2.588786013626207e-13
0.0002,0.01823743435152272,500,528,4,10915.0,1,1,1,5,528,3.716939186971613e-12,18724528.0,352,3381583165.0,1e-14,385,7.321477075402762e-13
0.0002,0.01823743435152272,500,519,4,11097.0,1,1,1,10,519,3.4735374935578317e-12,18724528.0,346,2627869698.0,1e-14,374,5.689609514912692e-13
0.0002,0.01823743435152272,500,439,4,15739.0,1,1,1,19,483,4.551943248715107e-12,18724528.0,317,2447498973.0,1e-14,343,5.299088252023322e-13
