Dx,Dt,iNstep,thrCrossTimeStep,avalStatus,computeTime,streamer,nCluster,size,finalChargesTot,ElecThr,ElecThrReachedTime,ElecMax,InducedChargeThr,InducedChargeThrTime,ChargeMax
0.0002,0.0197889564045033,500,-1,0,944.0,0,8,1014,2.7646464106971744e-13,18724528.0,-1,10304744.0,1e-14,-1,2.2310835866695043e-15
0.0002,0.0197889564045033,500,-1,0,396.0,0,5,992,8.324384638418019e-14,18724528.0,-1,3178878.0,1e-14,-1,6.882599441407551e-16
0.0002,0.0197889564045033,500,-1,0,2731.0,1,10,1140,9.781453315208128e-13,18724528.0,578,48322137.0,1e-14,623,1.0462242122026051e-14
0.0002,0.0197889564045033,500,-1,0,3887.0,1,4,1260,1.46751836715846e-12,18724528.0,595,43138022.0,1e-14,-1,9.339827641093071e-15
0.0002,0.0197889564045033,500,-1,0,4408.0,1,12,1225,1.6463668816189674e-12,18724528.0,550,40137548.0,1e-14,-1,8.690194006950521e-15
0.0002,0.0197889564045033,500,-1,0,3842.0,1,4,1209,1.461837084843258e-12,18724528.0,588,37370844.0,1e-14,-1,8.091173994073651e-15
0.0002,0.0197889564045033,500,-1,0,5117.0,0,6,1272,1.9747385758360636e-12,18724528.0,564,53895470.0,1e-14,619,1.1668926322947822e-14
0.0002,0.0197889564045033,500,-1,0,3713.0,1,7,1290,1.3438876437711007e-12,18724528.0,671,37455950.0,1e-14,-1,8.109600322736165e-15
0.0002,0.0197889564045033,500,-1,0,4299.0,0,8,1335,1.5503681792371678e-12,18724528.0,675,48778908.0,1e-14,733,1.0561137764748141e-14
0.0002,0.0197889564045033,500,-1,0,1989.0,0,6,1074,6.573469900222969e-13,18724528.0,629,26655284.0,1e-14,-1,5.771144497176666e-15
0.0002,0.0197889564045033,500,-1,0,6239.0,1,12,1287,2.4003703612199493e-12,18724528.0,574,77213852.0,1e-14,616,1.671759704663485e-14
0.0002,0.0197889564045033,500,-1,0,2737.0,0,8,1141,9.353914277716154e-13,18724528.0,598,28208000.0,1e-14,-1,6.1073235601751336e-15
0.0002,0.0197889564045033,500,-1,0,3981.0,1,13,1253,1.4234535554627595e-12,18724528.0,582,39873480.0,1e-14,-1,8.633020555522264e-15
0.0002,0.0197889564045033,500,-1,0,6773.0,1,16,1194,2.6393413563716995e-12,18724528.0,577,68605659.0,1e-14,627,1.4853834287154043e-14
0.0002,0.0197889564045033,500,-1,0,5627.0,0,8,1358,2.034526973933897e-12,18724528.0,632,58208301.0,1e-14,694,1.2602698812218734e-14
0.0002,0.0197889564045033,500,-1,0,2405.0,0,9,1120,9.191712742641535e-13,18724528.0,607,41946726.0,1e-14,-1,9.081899743761023e-15
0.0002,0.0197889564045033,500,-1,0,1710.0,0,9,1070,5.74199215769545e-13,18724528.0,-1,16221693.0,1e-14,-1,3.512164203234121e-15
