Dx,Dt,iNstep,thrCrossTimeStep,avalStatus,computeTime,streamer,nCluster,size,finalChargesTot,ElecThr,ElecThrReachedTime,ElecMax,InducedChargeThr,InducedChargeThrTime,ChargeMax
0.0002,0.02033980507851926,500,-1,0,280.0,0,5,884,3.189883111916961e-14,18724528.0,-1,1154377.0,1e-14,-1,2.4993455223427015e-16
0.0002,0.02033980507851926,500,-1,0,1877.0,0,4,1288,5.727982884545679e-13,18724528.0,842,18894081.0,1e-14,-1,4.09076382725317e-15
0.0002,0.02033980507851926,500,-1,0,966.0,0,11,1028,2.838480823965336e-13,18724528.0,-1,8728284.0,1e-14,-1,1.8897637022511226e-15
0.0002,0.02033980507851926,500,-1,0,2959.0,0,13,1272,1.02458643877003e-12,18724528.0,698,31892256.0,1e-14,-1,6.905003064943874e-15
0.0002,0.02033980507851926,500,-1,0,3412.0,0,11,1293,1.1913322140241015e-12,18724528.0,685,26338512.0,1e-14,-1,5.702560084995587e-15
0.0002,0.02033980507851926,500,-1,0,3826.0,0,13,1292,1.3064848657256155e-12,18724528.0,689,32727648.0,1e-14,-1,7.085874067623321e-15
0.0002,0.02033980507851926,500,-1,0,869.0,0,10,1085,2.3301271838948576e-13,18724528.0,-1,6403603.0,1e-14,-1,1.3864462376598196e-15
0.0002,0.02033980507851926,500,-1,0,2165.0,0,6,1230,7.153861610605203e-13,18724528.0,-1,18517228.0,1e-14,-1,4.0091712575700065e-15
0.0002,0.02033980507851926,500,-1,0,1269.0,0,8,1178,3.726283453291106e-13,18724528.0,-1,8805324.0,1e-14,-1,1.90644365854281e-15
0.0002,0.02033980507851926,500,-1,0,3212.0,1,7,1301,1.0945552091630835e-12,18724528.0,751,46397033.0,1e-14,811,1.004543720799501e-14
0.0002,0.02033980507851926,500,-1,0,1906.0,0,10,1202,5.87096066823426e-13,18724528.0,791,19829650.0,1e-14,-1,4.293324185870211e-15
0.0002,0.02033980507851926,500,-1,0,4428.0,0,10,1347,1.571987383660768e-12,18724528.0,669,41439603.0,1e-14,-1,8.972102372596579e-15
0.0002,0.02033980507851926,500,-1,0,1602.0,0,11,1222,4.3913676828813457e-13,18724528.0,-1,12862186.0,1e-14,-1,2.7847962135973774e-15
0.0002,0.02033980507851926,500,-1,0,1113.0,0,6,1141,3.0966467895676276e-13,18724528.0,-1,10602486.0,1e-14,-1,2.295547807154957e-15
0.0002,0.02033980507851926,500,-1,0,3268.0,0,12,1277,1.1011645626008806e-12,18724528.0,698,23057275.0,1e-14,-1,4.992138359363909e-15
0.0002,0.02033980507851926,500,-1,0,3766.0,0,14,1251,1.305344119098015e-12,18724528.0,688,43774879.0,1e-14,-1,9.47771376419866e-15
0.0002,0.02033980507851926,500,-1,0,3125.0,0,7,1296,1.0495213686514895e-12,18724528.0,746,31319549.0,1e-14,-1,6.781006079897888e-15
0.0002,0.02033980507851926,500,-1,0,1212.0,0,11,1086,3.3961564062874526e-13,18724528.0,-1,7573876.0,1e-14,-1,1.6398224381964347e-15
0.0002,0.02033980507851926,500,-1,0,1959.0,0,8,1233,6.170021073639002e-13,18724528.0,-1,15543469.0,1e-14,-1,3.3653216970558663e-15
0.0002,0.02033980507851926,500,-1,0,2439.0,0,11,1215,7.989686047116421e-13,18724528.0,744,20071741.0,1e-14,-1,4.3457393896424145e-15
0.0002,0.02033980507851926,500,-1,0,4352.0,0,10,1330,1.497692932261646e-12,18724528.0,670,41667859.0,1e-14,-1,9.021522155869098e-15
0.0002,0.02033980507851926,500,-1,0,2654.0,0,10,1245,9.190104824300422e-13,18724528.0,712,32581183.0,1e-14,-1,7.054162881249207e-15
0.0002,0.02033980507851926,500,-1,0,2125.0,0,9,1177,6.82009250683684e-13,18724528.0,717,19680698.0,1e-14,-1,4.26107453829026e-15
0.0002,0.02033980507851926,500,-1,0,3891.0,0,11,1263,1.3480708064154206e-12,18724528.0,657,30716122.0,1e-14,-1,6.650357897327487e-15
0.0002,0.02033980507851926,500,-1,0,3211.0,0,8,1253,9.995170204621694e-13,18724528.0,725,25378305.0,1e-14,-1,5.4946653447181825e-15
0.0002,0.02033980507851926,500,-1,0,1197.0,0,6,1180,3.441398282704059e-13,18724528.0,-1,9805987.0,1e-14,-1,2.1230975409767133e-15
0.0002,0.02033980507851926,500,-1,0,3693.0,0,11,1270,1.1102333684490488e-12,18724528.0,718,28841431.0,1e-14,-1,6.244467918869312e-15
0.0002,0.02033980507851926,500,-1,0,4175.0,0,12,1327,1.3704568252798098e-12,18724528.0,692,30036094.0,1e-14,-1,6.503124806502948e-15
0.0002,0.02033980507851926,500,-1,0,2987.0,0,9,1270,9.030552520523604e-13,18724528.0,736,26153982.0,1e-14,-1,5.662607432678549e-15
0.0002,0.02033980507851926,500,-1,0,831.0,0,7,1032,2.389991824158949e-13,18724528.0,-1,6978703.0,1e-14,-1,1.5109613319400487e-15
0.0002,0.02033980507851926,500,-1,0,3468.0,0,7,1311,1.1561667256175619e-12,18724528.0,743,29859577.0,1e-14,-1,6.464907051508919e-15
0.0002,0.02033980507851926,500,-1,0,3741.0,0,9,1297,1.1696299096858614e-12,18724528.0,716,38456472.0,1e-14,-1,8.326223677212687e-15
0.0002,0.02033980507851926,500,-1,0,3899.0,0,10,1331,1.2876484188542885e-12,18724528.0,680,25220331.0,1e-14,-1,5.460462340886107e-15
0.0002,0.02033980507851926,500,-1,0,1948.0,0,6,1153,6.057466289622229e-13,18724528.0,722,19537572.0,1e-14,-1,4.230086279928319e-15
0.0002,0.02033980507851926,500,-1,0,1672.0,0,7,1217,5.12711780306128e-13,18724528.0,-1,11804125.0,1e-14,-1,2.555715070893092e-15
0.0002,0.02033980507851926,500,-1,0,3327.0,0,7,1213,1.0839839575510073e-12,18724528.0,641,44509019.0,1e-14,-1,9.636662662329224e-15
0.0002,0.02033980507851926,500,-1,0,1111.0,0,11,1050,3.308188806673969e-13,18724528.0,-1,6357549.0,1e-14,-1,1.3764750706419412e-15
0.0002,0.02033980507851926,500,-1,0,458.0,0,6,943,7.813158267760005e-14,18724528.0,-1,2539105.0,1e-14,-1,5.497424768951535e-16
0.0002,0.02033980507851926,500,-1,0,2184.0,0,7,1199,7.057880859528385e-13,18724528.0,700,19297747.0,1e-14,-1,4.1781616885776764e-15
0.0002,0.02033980507851926,500,-1,0,165.0,0,8,900,1.854260986871558e-15,18724528.0,-1,68625.0,1e-14,-1,1.485802181356419e-17
0.0002,0.02033980507851926,500,-1,0,2599.0,0,8,1252,7.541274978040414e-13,18724528.0,778,18876387.0,1e-14,-1,4.086932893366551e-15
0.0002,0.02033980507851926,500,-1,0,3462.0,0,14,1321,1.1115157171666515e-12,18724528.0,760,23864808.0,1e-14,-1,5.166977600590476e-15
0.0002,0.02033980507851926,500,-1,0,3277.0,0,10,1271,1.1074080536251153e-12,18724528.0,732,32707290.0,1e-14,-1,7.081466350201385e-15
0.0002,0.02033980507851926,500,-1,0,2551.0,0,4,1243,8.289664211689484e-13,18724528.0,739,26821139.0,1e-14,-1,5.807053818967391e-15
0.0002,0.02033980507851926,500,-1,0,3610.0,0,18,1276,1.1124761273555883e-12,18724528.0,670,31513199.0,1e-14,-1,6.82293330647999e-15
0.0002,0.02033980507851926,500,-1,0,1444.0,0,9,1106,3.534253449432252e-13,18724528.0,-1,10032845.0,1e-14,-1,2.1722146427993942e-15
0.0002,0.02033980507851926,500,-1,0,2994.0,0,11,1245,8.980692205835368e-13,18724528.0,767,23664908.0,1e-14,-1,5.123697184407865e-15
0.0002,0.02033980507851926,500,-1,0,2876.0,0,9,1236,9.544926124398761e-13,18724528.0,674,24496821.0,1e-14,-1,5.303814947628086e-15
0.0002,0.02033980507851926,500,-1,0,3828.0,0,14,1323,1.2999278798593184e-12,18724528.0,663,27069385.0,1e-14,-1,5.860801643858176e-15
0.0002,0.02033980507851926,500,-1,0,2706.0,0,17,1355,1.7380734153305533e-12,18724528.0,659,40903978.0,1e-14,-1,8.856134023833152e-15
