Dx,Dt,iNstep,thrCrossTimeStep,avalStatus,computeTime,streamer,nCluster,size,finalChargesTot,ElecThr,ElecThrReachedTime,ElecMax,ChargeMax
0.0002,0.01924720516147927,500,-1,0,3185.0,0,5,706,2.5959390539633088e-14,6241.0,252,893249.0,1.933976411940896e-16
0.0002,0.01924720516147927,500,-1,0,5205.0,0,10,754,6.991772699877194e-14,6241.0,218,2499665.0,5.412033092401157e-16
0.0002,0.01924720516147927,500,-1,0,7183.0,0,9,777,1.2916191445879885e-13,6241.0,228,5539821.0,1.199428506539031e-15
0.0002,0.01924720516147927,500,-1,0,22049.0,0,4,923,4.949527995039211e-13,6241.0,215,26471868.0,5.731433037374017e-15
0.0002,0.01924720516147927,500,-1,0,31735.0,0,6,1044,7.184712859061378e-13,6241.0,205,28856171.0,6.247659281223148e-15
0.0002,0.01924720516147927,500,-1,0,31879.0,0,6,1035,7.293895232616175e-13,6241.0,243,36731006.0,7.952642453656207e-15
0.0002,0.01924720516147927,500,-1,0,32536.0,0,6,956,7.662955716025071e-13,6241.0,202,24494814.0,5.30338041138357e-15
0.0002,0.01924720516147927,500,-1,0,33144.0,0,7,994,7.794886633567517e-13,6241.0,167,32757801.0,7.092402503787174e-15
0.0002,0.01924720516147927,500,-1,0,45475.0,0,10,955,1.1390785696151497e-12,6241.0,178,32392218.0,7.0132500055916434e-15
0.0002,0.01924720516147927,500,-1,0,49098.0,0,7,1144,1.238904468482146e-12,6241.0,223,41387754.0,8.96087652818111e-15
0.0002,0.01924720516147927,500,-1,0,54984.0,0,7,1114,1.4286305286960322e-12,6241.0,200,63224700.0,1.3688801045625527e-14
0.0002,0.01924720516147927,500,-1,0,55069.0,0,10,1150,1.4495773412180252e-12,6241.0,201,74021271.0,1.602637026135878e-14
0.0002,0.01924720516147927,500,-1,0,57870.0,0,5,943,1.4975849639698028e-12,6241.0,208,48715867.0,1.0547488736651248e-14
0.0002,0.01924720516147927,500,-1,0,58061.0,0,7,1164,1.5072907237407907e-12,6241.0,238,43312406.0,9.377583579540234e-15
