Dx,Dt,iNstep,thrCrossTimeStep,avalStatus,computeTime,streamer,nCluster,size,finalChargesTot,ElecThr,ElecThrReachedTime,ElecMax,ChargeMax
0.0002,0.017769227073802452,500,-1,4,2507.0,1,8,364,9.682106768060151e-13,6241.0,124,842633786.0,1.824389242001338e-13
0.0002,0.017769227073802452,500,-1,4,3557.0,1,6,420,1.566598298282378e-12,6241.0,151,1597167393.0,3.4580324903617435e-13
0.0002,0.017769227073802452,500,-1,4,5214.0,1,7,431,2.024222326870871e-12,6241.0,135,612148490.0,1.3253647530142635e-13
0.0002,0.017769227073802452,500,-1,4,2753.0,1,8,373,1.9774629476955366e-12,6241.0,75,4513191384.0,9.771525833480798e-13
0.0002,0.017769227073802452,500,-1,4,6463.0,1,7,421,2.580965903861086e-12,6241.0,143,1949672118.0,4.221241655160931e-13
0.0002,0.017769227073802452,500,-1,4,4232.0,1,8,413,1.981080626478977e-12,6241.0,144,486512058.0,1.0533488918507842e-13
0.0002,0.017769227073802452,500,-1,4,3537.0,1,7,368,1.9289900282097547e-12,6241.0,117,2003443435.0,4.337662114312855e-13
0.0002,0.017769227073802452,500,-1,4,4802.0,1,7,402,2.6802688148664365e-12,6241.0,136,4738007821.0,1.025827665679501e-12
0.0002,0.017769227073802452,500,-1,4,7581.0,1,13,386,2.877303627486034e-12,6241.0,124,521218487.0,1.128491897920426e-13
0.0002,0.017769227073802452,500,-1,4,2900.0,1,10,457,1.4851084861368014e-12,6241.0,133,1565462674.0,3.389388496701277e-13
0.0002,0.017769227073802452,500,-1,4,3803.0,1,12,386,1.8518503010327764e-12,6241.0,135,1167825073.0,2.528461990391431e-13
0.0002,0.017769227073802452,500,-1,4,5104.0,1,15,408,2.0561216971007777e-12,6241.0,111,547436640.0,1.185256909094976e-13
0.0002,0.017769227073802452,500,433,4,4862.0,1,4,433,3.0209557951878337e-12,6241.0,98,4409372295.0,9.54674677497058e-13
0.0002,0.017769227073802452,500,-1,4,2891.0,1,6,412,1.131997234037191e-12,6241.0,158,719009861.0,1.5567306665072154e-13
0.0002,0.017769227073802452,500,-1,4,4183.0,1,6,404,1.580419273908443e-12,6241.0,141,498873096.0,1.0801118167676943e-13
0.0002,0.017769227073802452,500,-1,0,1507.0,0,3,647,6.494357460769822e-13,6241.0,172,32935922.0,7.130967541360274e-15
0.0002,0.017769227073802452,500,-1,4,2559.0,1,3,427,1.3997349016231268e-12,6241.0,173,2048430647.0,4.4350640782075625e-13
0.0002,0.017769227073802452,500,-1,4,4369.0,1,7,397,1.8649100529479518e-12,6241.0,138,662486962.0,1.4343527479195453e-13
0.0002,0.017769227073802452,500,-1,4,6883.0,1,10,445,2.7599298845828816e-12,6241.0,127,1038474305.0,2.24840420787117e-13
0.0002,0.017769227073802452,500,-1,4,2534.0,1,7,389,1.1050904687464226e-12,6241.0,149,539574875.0,1.1682353752715726e-13
0.0002,0.017769227073802452,500,-1,4,6993.0,1,8,388,2.7354756606925545e-12,6241.0,116,778238263.0,1.6849662787328674e-13
0.0002,0.017769227073802452,500,-1,4,5256.0,1,8,409,2.1998366683887854e-12,6241.0,147,652667009.0,1.4130915346762402e-13
0.0002,0.017769227073802452,500,-1,4,3503.0,1,9,393,1.5373737285714366e-12,6241.0,136,760222524.0,1.6459603416764776e-13
0.0002,0.017769227073802452,500,-1,4,6759.0,1,11,416,2.6912463769200455e-12,6241.0,124,622446220.0,1.3476604028459847e-13
0.0002,0.017769227073802452,500,-1,4,6067.0,1,18,385,2.4733449190605957e-12,6241.0,127,888637380.0,1.9239917779801147e-13
0.0002,0.017769227073802452,500,-1,4,1164.0,1,11,358,6.925013184035653e-13,6241.0,110,605608755.0,1.3112055507869516e-13
0.0002,0.017769227073802452,500,-1,4,3937.0,1,11,384,1.7453210204541274e-12,6241.0,132,1647849192.0,3.567763823708578e-13
0.0002,0.017769227073802452,500,399,4,5495.0,1,11,399,3.409990741034281e-12,6241.0,131,6566476507.0,1.4217100353990942e-12
0.0002,0.017769227073802452,500,-1,4,3571.0,1,8,387,2.4086985248297712e-12,6241.0,131,4824305204.0,1.0445119410757492e-12
0.0002,0.017769227073802452,500,-1,4,4705.0,1,8,356,2.5627246618740037e-12,6241.0,88,3937124654.0,8.524281820306503e-13
0.0002,0.017769227073802452,500,-1,4,2261.0,1,4,387,1.5811194341266966e-12,6241.0,142,4125257599.0,8.931609091805237e-13
0.0002,0.017769227073802452,500,-1,0,3202.0,0,3,754,1.0331627444430174e-12,6241.0,130,46063487.0,9.973221051436512e-15
0.0002,0.017769227073802452,500,-1,4,2923.0,1,7,401,2.2353972682397243e-12,6241.0,150,4611568810.0,9.984523129141313e-13
