#eta	alpha	v	dl	dt	E
0.00475331	0	-0.00626541	0.0136746	0.0129277	2498
0.00475331	0	-0.00626541	0.0136746	0.0129277	4896
0.104336	0	-0.00886584	0.0113054	0.0152311	7294
0.677505	5.62994e-06	-0.0101166	0.0100165	0.0155357	9692
1.92052	0.0759944	-0.0109799	0.0102922	0.0163091	12090
3.68955	0.523838	-0.0117246	0.0104511	0.015782	14488
5.51697	1.88984	-0.0124182	0.0102324	0.015583	16886
7.03646	4.81917	-0.0130998	0.0109783	0.0159234	19284
8.04501	9.89609	-0.0137919	0.0109316	0.0154095	21682
8.80787	17.3674	-0.0144629	0.0121111	0.0155432	24080
9.79516	27.2815	-0.0151799	0.0118822	0.0155561	26478
10.0866	39.5052	-0.0158773	0.0111157	0.015073	28876
9.93762	53.3511	-0.0165783	0.0114616	0.0148364	31274
10.0567	70.5441	-0.0172684	0.0117381	0.0150369	33672
9.90435	89.2499	-0.0179516	0.0114603	0.0144478	36070
9.75529	110.65	-0.0186252	0.0116318	0.0140516	38468
9.58338	132.461	-0.019292	0.0116827	0.0138734	40866
9.4722	156.287	-0.0199586	0.0108623	0.0138513	43264
9.04806	181.932	-0.0206085	0.0108195	0.0135758	45662
8.87014	209.373	-0.0212549	0.0112215	0.0131313	48060
8.67852	238.459	-0.0218876	0.0103865	0.0131615	50458
8.52916	267.898	-0.0224975	0.0102159	0.0129146	52856
8.12955	299.088	-0.0231122	0.0107714	0.0129349	55254
7.89883	332.434	-0.0237209	0.0100914	0.0128484	57652
7.86305	368.046	-0.0243281	0.0101847	0.0128931	60050
7.53637	401.435	-0.0249161	0.0105212	0.0123312	62448
7.36758	436.881	-0.0254913	0.00972393	0.0124713	64846
7.25396	472.112	-0.0260681	0.0100743	0.0118971	67244
6.94082	511.542	-0.0266463	0.0101242	0.0122947	69642
6.74922	548.262	-0.0272192	0.00958307	0.011946	72040
6.55976	588.784	-0.0277717	0.00961348	0.011594	74438
6.63622	627.067	-0.0283387	0.00961314	0.0116784	76836
6.3376	668.799	-0.0288633	0.00896298	0.0115106	79234
6.19684	710.762	-0.0294084	0.00927077	0.0114998	81632
5.89198	749.357	-0.0299462	0.00887815	0.011256	84030
5.969	788.019	-0.0304783	0.00924673	0.0113626	86428
5.73988	834.975	-0.0310083	0.0094085	0.0114474	88826
5.4786	879.278	-0.0315408	0.00812684	0.0108	91224
5.21779	923.845	-0.0320731	0.00696876	0.0102154	93622
4.95697	968.413	-0.0326055	0.00581067	0.00963071	96020
4.69616	1012.98	-0.0331378	0.00465259	0.00904606	98418
4.43535	1057.55	-0.0336701	0.00349451	0.0084614	100816
4.17454	1102.12	-0.0342024	0.00233643	0.00787674	103214
3.91373	1146.68	-0.0347347	0.00117834	0.00729209	105612
3.65291	1191.25	-0.035267	2.02608e-05	0.00670743	108010
3.3921	1235.82	-0.0357993	0	0.00612277	110408
3.13129	1280.39	-0.0363316	0	0.00553812	112806
2.87048	1324.96	-0.036864	0	0.00495346	115204
2.60966	1369.52	-0.0373963	0	0.0043688	117602
2.34885	1414.09	-0.0379286	0	0.00378415	120000
