#eta	alpha	v	dl	dt	E
19090.9	13.5855	-0.00848083	0.0098743	0.012363	2498
19090.9	13.5855	-0.00848083	0.0098743	0.012363	4896
19090.9	13.5855	-0.00848083	0.0098743	0.012363	7294
19090.9	13.5855	-0.00848083	0.0098743	0.012363	9692
19090.9	13.5855	-0.00848083	0.0098743	0.012363	12090
19090.9	13.5855	-0.00848083	0.0098743	0.012363	14488
19090.9	13.5855	-0.00848083	0.0098743	0.012363	16886
19090.9	13.5855	-0.00848083	0.0098743	0.012363	19284
19090.9	13.5855	-0.00848083	0.0098743	0.012363	21682
19090.9	13.5855	-0.00848083	0.0098743	0.012363	24080
19090.9	13.5855	-0.00848083	0.0098743	0.012363	26478
19090.9	13.5855	-0.00848083	0.0098743	0.012363	28876
11614	30.7479	-0.00863353	0.00884525	0.0124127	31274
5382.31	58.7069	-0.00890948	0.0104152	0.0132086	33672
3088.3	67.6399	-0.00919683	0.0107174	0.0133908	36070
2329.39	75.7302	-0.00950768	0.0103041	0.0148898	38468
2083.77	91.4411	-0.00982712	0.0114924	0.0132076	40866
2046.06	111.988	-0.010166	0.0104949	0.0136701	43264
1958.63	142.487	-0.0105061	0.0116292	0.0142062	45662
1786.56	160.879	-0.0108674	0.0112709	0.013149	48060
1620.45	179.446	-0.0112232	0.0118716	0.0135323	50458
1498.32	201.561	-0.0116193	0.011208	0.0134087	52856
1440	236.307	-0.0119364	0.0102465	0.0127864	55254
1369.99	271.356	-0.0123285	0.0103123	0.0126263	57652
1312.65	303.31	-0.0127281	0.010958	0.012962	60050
1246.19	334.082	-0.013106	0.0108663	0.012599	62448
1199.53	370.216	-0.0134848	0.0106465	0.0123483	64846
1168.88	413.234	-0.013811	0.010028	0.0123384	67244
1093.27	448.303	-0.0142275	0.0101492	0.0126629	69642
1091.63	502.588	-0.0146005	0.00939873	0.01196	72040
1027.41	533.082	-0.0149783	0.0106908	0.0122217	74438
999.823	578.772	-0.0153612	0.0111094	0.0117344	76836
1006.9	649.665	-0.0157154	0.00992047	0.0112601	79234
937.053	680.87	-0.0161101	0.00959636	0.0116785	81632
876.822	701.053	-0.0164571	0.00981579	0.0121492	84030
818.14	707.262	-0.0168696	0.0101019	0.0115953	86428
1158.39	1114.34	-0.0172006	0.00993541	0.0113655	88826
2337.01	2399.4	-0.0176036	0.00862749	0.0123948	91224
3363.67	3521.08	-0.0179977	0.0074711	0.0132583	93622
4390.32	4642.77	-0.0183918	0.00631472	0.0141217	96020
5416.97	5764.45	-0.0187859	0.00515834	0.0149852	98418
6443.63	6886.13	-0.01918	0.00400196	0.0158486	100816
7470.28	8007.81	-0.0195742	0.00284557	0.0167121	103214
8496.93	9129.49	-0.0199683	0.00168919	0.0175755	105612
9523.59	10251.2	-0.0203624	0.000532808	0.018439	108010
10550.2	11372.9	-0.0207565	0	0.0193024	110408
11576.9	12494.5	-0.0211506	0	0.0201659	112806
12603.5	13616.2	-0.0215447	0	0.0210293	115204
13630.2	14737.9	-0.0219389	0	0.0218928	117602
14656.9	15859.6	-0.022333	0	0.0227563	120000
