#eta	alpha	v	dl	dt	E
10534	0	-0.000857898	0.00572146	0.00448488	2498
10534	0	-0.000857898	0.00572146	0.00448488	4896
5171.92	0	-0.00159516	0.00815446	0.00506032	7294
1882.54	0	-0.00295546	0.011082	0.00733355	9692
782.324	0	-0.00469418	0.0110495	0.00941672	12090
380.805	1.09191e-08	-0.00613888	0.0100564	0.0106364	14488
203.791	0.0390676	-0.00710341	0.00862994	0.0109271	16886
123.336	0.195378	-0.00772857	0.00818392	0.0116613	19284
77.8963	0.866346	-0.00817355	0.00820483	0.0124219	21682
58.5649	3.0308	-0.00851063	0.00793219	0.012348	24080
43.0555	6.53656	-0.00881602	0.00839933	0.0123489	26478
35.5693	12.5533	-0.0090964	0.00883077	0.0123973	28876
29.1334	21.6167	-0.00939184	0.00866408	0.012526	31274
24.7904	34.5584	-0.009712	0.00951356	0.012752	33672
21.5999	48.7921	-0.0100374	0.00948405	0.0125815	36070
19.1682	67.0303	-0.0103753	0.00966817	0.0128062	38468
17.513	87.4662	-0.0107409	0.00966499	0.0129221	40866
16.1571	111.514	-0.011121	0.00962771	0.0124673	43264
14.6831	134.366	-0.0114957	0.00981919	0.0124199	45662
13.9965	164.196	-0.0118733	0.00988435	0.0124299	48060
12.9321	192.394	-0.0122867	0.0101615	0.0123692	50458
12.0776	222.536	-0.0126776	0.0105267	0.0122222	52856
11.5277	253.997	-0.0130773	0.0100611	0.0118733	55254
10.8969	287.351	-0.0134874	0.010089	0.0115316	57652
10.6496	322.351	-0.013882	0.0100288	0.0112916	60050
9.77728	357.76	-0.0143144	0.00968699	0.011751	62448
9.1888	394.096	-0.0147039	0.00946636	0.0116403	64846
8.7713	431.26	-0.0151366	0.010036	0.0111802	67244
8.68205	468.285	-0.0155351	0.00948763	0.0112443	69642
8.14744	508.971	-0.0159528	0.00979543	0.0114001	72040
7.839	547.7	-0.0163574	0.0106978	0.0111281	74438
7.75713	590.899	-0.016774	0.00908772	0.0110055	76836
7.22977	628.496	-0.0171742	0.00961478	0.0108455	79234
6.96348	671.894	-0.0176009	0.00932181	0.0108532	81632
6.77847	713.176	-0.018005	0.00959074	0.0108802	84030
6.52593	755.705	-0.0184273	0.00877724	0.0102592	86428
6.3262	797.039	-0.0188376	0.00922668	0.0106505	88826
5.96861	839.26	-0.0191876	0.0104346	0.0104147	91224
5.62421	881.395	-0.0195427	0.0115849	0.0102375	93622
5.27981	923.53	-0.0198978	0.0127352	0.0100603	96020
4.93541	965.665	-0.0202529	0.0138854	0.00988316	98418
4.59101	1007.8	-0.020608	0.0150357	0.00970599	100816
4.24661	1049.94	-0.0209631	0.016186	0.00952883	103214
3.90221	1092.07	-0.0213182	0.0173363	0.00935166	105612
3.55782	1134.21	-0.0216733	0.0184866	0.00917449	108010
3.21342	1176.34	-0.0220284	0.0196368	0.00899733	110408
2.86902	1218.48	-0.0223835	0.0207871	0.00882016	112806
2.52462	1260.61	-0.0227386	0.0219374	0.00864299	115204
2.18022	1302.75	-0.0230937	0.0230877	0.00846582	117602
1.83582	1344.88	-0.0234488	0.0242379	0.00828866	120000
