Dx,Dt,iNstep,thrCrossTimeStep,avalStatus,computeTime,streamer,nCluster,size,finalChargesTot,ElecThr,ElecThrReachedTime,ElecMax,ChargeMax
0.0002,0.015732329025411388,500,-1,0,9597.0,0,8,505,1.8508067140680242e-12,6241.0,165,462665988.0,1.0017196855516551e-13
0.0002,0.015732329025411388,500,-1,0,9720.0,0,6,547,2.017428673339692e-12,6241.0,198,230441364.0,9.101700783151453e-14
0.0002,0.015732329025411388,500,-1,4,10510.0,1,6,539,2.6277139004385226e-12,6241.0,172,537146694.0,1.1629781124278164e-13
0.0002,0.015732329025411388,500,-1,0,12879.0,0,10,504,2.876939485030578e-12,6241.0,164,276562804.0,9.489419330565786e-14
0.0002,0.015732329025411388,500,502,4,13543.0,0,11,502,3.007184665004363e-12,6241.0,136,161799848.0,3.503133946834784e-14
0.0002,0.015732329025411388,500,556,4,13632.0,0,9,556,3.024131073854841e-12,6241.0,183,193860532.0,4.197280893617717e-14
0.0002,0.015732329025411388,500,-1,0,0.0,0,0,1,0.0,6241.0,-1,0.0,0.0
0.0002,0.015732329025411388,500,480,4,14234.0,0,11,480,3.005912982451955e-12,6241.0,153,207513309.0,4.4928776272887255e-14
0.0002,0.015732329025411388,500,-1,0,8082.0,0,7,599,1.6350367682072526e-12,6241.0,148,314309707.0,1.264558379392351e-13
0.0002,0.015732329025411388,500,-1,0,11936.0,0,12,1187,2.4870647934531454e-12,6241.0,133,60995102.0,1.3206070033319822e-14
0.0002,0.015732329025411388,500,572,4,13452.0,0,7,572,3.0613041712405028e-12,6241.0,173,381636174.0,8.262817629343802e-14
0.0002,0.015732329025411388,500,-1,0,15085.0,0,7,636,2.9991184890771804e-12,6241.0,181,399835306.0,1.6458730057371109e-13
0.0002,0.015732329025411388,500,-1,0,11493.0,0,9,524,2.4463208616768698e-12,6241.0,147,290617457.0,1.2392931149279051e-13
0.0002,0.015732329025411388,500,498,4,13463.0,1,12,498,3.0766873213368936e-12,6241.0,145,499657709.0,1.0818105850109308e-13
0.0002,0.015732329025411388,500,519,4,13360.0,0,11,519,3.011002085181842e-12,6241.0,148,156039469.0,3.378415787510344e-14
0.0002,0.015732329025411388,500,606,4,28187.0,0,8,606,3.0044261425365304e-12,6241.0,28,31885815.0,1.5413471286408082e-14
0.0002,0.015732329025411388,500,-1,0,9064.0,0,6,563,1.7779044176345945e-12,6241.0,175,276850166.0,1.1753641686161399e-13
0.0002,0.015732329025411388,500,-1,4,9566.0,1,10,503,1.9237588080952636e-12,6241.0,163,558696329.0,1.2096352995905626e-13
0.0002,0.015732329025411388,500,-1,0,14484.0,0,7,606,2.955267493462934e-12,6241.0,162,350156366.0,1.4007194087629427e-13
0.0002,0.015732329025411388,500,-1,0,6468.0,0,9,1015,1.271815857170736e-12,6241.0,156,40282159.0,8.721503783161547e-15
0.0002,0.015732329025411388,500,516,4,14207.0,0,13,516,3.0067185983596022e-12,6241.0,160,162804091.0,3.5248768457784915e-14
0.0002,0.015732329025411388,500,-1,4,10445.0,1,10,585,2.467311117863836e-12,6241.0,162,589149038.0,1.2755685621922545e-13
0.0002,0.015732329025411388,500,471,4,14522.0,0,6,471,3.004968241549058e-12,6241.0,106,195030821.0,4.222618860087919e-14
0.0002,0.015732329025411388,500,528,4,14585.0,0,12,528,3.0066310589005166e-12,6241.0,166,138008176.0,2.9880196567696976e-14
0.0002,0.015732329025411388,500,506,4,15314.0,0,9,506,3.030589045863777e-12,6241.0,152,418121721.0,9.052767433651003e-14
0.0002,0.015732329025411388,500,-1,0,9251.0,0,11,498,2.2881759177371233e-12,6241.0,173,476232063.0,2.0460559189632178e-13
0.0002,0.015732329025411388,500,-1,0,9733.0,0,5,649,2.1608092849010542e-12,6241.0,157,385766929.0,1.523743379037753e-13
0.0002,0.015732329025411388,500,548,4,11793.0,0,7,548,3.00332222063645e-12,6241.0,165,167458095.0,3.625640842794761e-14
0.0002,0.015732329025411388,500,647,4,10404.0,0,4,647,3.007455960033332e-12,6241.0,185,86519221.0,1.8732305616183334e-14
0.0002,0.015732329025411388,500,564,4,11011.0,0,9,564,3.0500047003201464e-12,6241.0,201,231478485.0,5.0117484582889484e-14
0.0002,0.015732329025411388,500,556,4,9922.0,1,6,556,3.0748094416704794e-12,6241.0,154,577739042.0,1.250864741505816e-13
0.0002,0.015732329025411388,500,516,4,15507.0,0,10,516,3.1521603690510386e-12,6241.0,151,369856177.0,1.6514234993545367e-13
0.0002,0.015732329025411388,500,523,4,14305.0,0,14,523,3.0000531180813415e-12,6241.0,144,140280333.0,3.037214204339597e-14
0.0002,0.015732329025411388,500,542,4,12298.0,0,5,542,3.0051976697578305e-12,6241.0,165,156093595.0,3.379587671355416e-14
0.0002,0.015732329025411388,500,-1,0,13221.0,0,6,632,2.0505427711295054e-12,6241.0,169,380945050.0,1.625990651559758e-13
0.0002,0.015732329025411388,500,-1,0,12426.0,0,9,551,2.909635047555758e-12,6241.0,147,400045009.0,1.9339474839948939e-13
0.0002,0.015732329025411388,500,570,4,15101.0,0,6,570,3.015514368868717e-12,6241.0,165,244308970.0,5.2895417202322746e-14
0.0002,0.015732329025411388,500,862,4,16070.0,0,7,862,3.0012062255005393e-12,6241.0,219,75603418.0,1.6368921440058457e-14
0.0002,0.015732329025411388,500,-1,4,17698.0,1,4,621,2.788489016271189e-12,6241.0,196,569915130.0,1.2339251633399305e-13
0.0002,0.015732329025411388,500,737,4,16698.0,0,2,737,3.0005654014554596e-12,6241.0,237,99226541.0,2.148357174007317e-14
0.0002,0.015732329025411388,500,-1,0,15471.0,0,7,556,2.63759593924447e-12,6241.0,162,282109924.0,1.0484368612332186e-13
0.0002,0.015732329025411388,500,540,4,13770.0,0,5,540,3.0011695798270936e-12,6241.0,159,159946973.0,3.463017287938161e-14
0.0002,0.015732329025411388,500,-1,4,12225.0,1,8,786,2.7298850041912718e-12,6241.0,175,625500195.0,1.3542725743823159e-13
0.0002,0.015732329025411388,500,574,4,13830.0,0,8,574,3.0059554420774548e-12,6241.0,168,238137195.0,5.1559164122855975e-14
0.0002,0.015732329025411388,500,-1,0,7908.0,0,5,575,1.9101746497427214e-12,6241.0,178,332044539.0,1.3483256135327676e-13
0.0002,0.015732329025411388,500,557,4,15123.0,0,8,557,3.0065586398737738e-12,6241.0,176,125713894.0,2.7218357440001403e-14
0.0002,0.015732329025411388,500,-1,0,7401.0,0,6,495,1.8394246656724668e-12,6241.0,113,182446788.0,6.627141840406051e-14
0.0002,0.015732329025411388,500,544,4,16748.0,0,8,544,3.126024522804007e-12,6241.0,162,332154410.0,1.3190338348998087e-13
0.0002,0.015732329025411388,500,520,4,32209.0,0,10,520,3.001873349056163e-12,6241.0,26,30827030.0,1.7419100495012996e-14
0.0002,0.015732329025411388,500,-1,4,13482.0,1,6,518,2.753933659620992e-12,6241.0,186,488746628.0,1.0581869668677509e-13
0.0002,0.015732329025411388,500,530,4,10586.0,0,8,530,3.0048164238518653e-12,6241.0,166,176179076.0,3.8144590955214355e-14
0.0002,0.015732329025411388,500,522,4,10296.0,0,7,522,3.0106289787654537e-12,6241.0,153,164274833.0,3.556719930249349e-14
0.0002,0.015732329025411388,500,513,4,12893.0,0,9,513,3.0006498222996645e-12,6241.0,136,145138181.0,3.1423916346506795e-14
0.0002,0.015732329025411388,500,-1,0,8914.0,0,6,569,1.7076914186027012e-12,6241.0,188,356218807.0,1.4716810632972232e-13
0.0002,0.015732329025411388,500,-1,0,12802.0,0,7,497,2.8111413792226945e-12,6241.0,138,214505011.0,7.095879053555697e-14
0.0002,0.015732329025411388,500,498,4,12634.0,0,10,498,3.003301108497068e-12,6241.0,156,202089804.0,4.3754531382599806e-14
0.0002,0.015732329025411388,500,-1,0,6645.0,0,6,984,1.1694484686114634e-12,6241.0,172,43880820.0,9.500651085713428e-15
0.0002,0.015732329025411388,500,-1,4,12610.0,1,9,483,2.950681544515822e-12,6241.0,156,489923862.0,1.0607358001576122e-13
0.0002,0.015732329025411388,500,-1,4,10783.0,1,10,481,2.9274318451358133e-12,6241.0,122,852278770.0,1.8452716292747045e-13
0.0002,0.015732329025411388,500,-1,0,8923.0,0,5,583,1.9580301809117314e-12,6241.0,194,340174814.0,1.3692585516394016e-13
0.0002,0.015732329025411388,500,-1,0,10912.0,0,7,492,2.1239948308248226e-12,6241.0,156,451743179.0,1.9401677631625034e-13
0.0002,0.015732329025411388,500,-1,4,8418.0,1,7,510,1.8683863366252696e-12,6241.0,164,527609574.0,1.1423292618633604e-13
0.0002,0.015732329025411388,500,-1,0,12445.0,0,11,582,2.547707653056492e-12,6241.0,176,293642253.0,1.2577203507687314e-13
