Dx,Dt,iNstep,thrCrossTimeStep,avalStatus,computeTime,streamer,nCluster,size,finalChargesTot,ElecThr,ElecThrReachedTime,ElecMax,ChargeMax
0.0002,0.015732329025411388,500,-1,0,7251.0,0,5,554,1.4623116880575446e-12,6241.0,156,386295639.0,1.5978039373519501e-13
0.0002,0.015732329025411388,500,-1,0,8075.0,0,7,629,1.979243462230793e-12,6241.0,166,339137828.0,1.352184481582949e-13
0.0002,0.015732329025411388,500,-1,0,9208.0,0,8,519,1.988683283005503e-12,6241.0,161,468486744.0,2.1199550493359387e-13
0.0002,0.015732329025411388,500,551,4,10483.0,0,7,551,3.0027354767596297e-12,6241.0,172,162713366.0,3.5229125557543946e-14
0.0002,0.015732329025411388,500,592,4,11195.0,0,4,592,3.0104055684614706e-12,6241.0,166,286035900.0,6.192972884025452e-14
0.0002,0.015732329025411388,500,602,4,11797.0,0,6,602,3.1082846174284523e-12,6241.0,186,446277307.0,2.023913573605164e-13
0.0002,0.015732329025411388,500,-1,0,153.0,0,3,576,8.06583557293176e-15,6241.0,203,357759.0,7.745852132603149e-17
0.0002,0.015732329025411388,500,-1,0,8768.0,0,7,527,2.153571901230449e-12,6241.0,150,424761317.0,2.3193111892153844e-13
0.0002,0.015732329025411388,500,-1,4,7190.0,1,10,474,2.303947551680013e-12,6241.0,154,491019862.0,1.0631087534410605e-13
0.0002,0.015732329025411388,500,-1,4,11120.0,1,7,587,2.684888347164797e-12,6241.0,222,576372488.0,1.247906010847688e-13
0.0002,0.015732329025411388,500,-1,0,11356.0,0,7,507,2.484560333523644e-12,6241.0,144,361164936.0,1.0856287101460668e-13
0.0002,0.015732329025411388,500,567,4,14231.0,0,5,567,3.004898383839591e-12,6241.0,161,132793864.0,2.875124412414537e-14
0.0002,0.015732329025411388,500,511,4,13582.0,0,6,511,3.0042769915971755e-12,6241.0,163,164203349.0,3.555172227762906e-14
0.0002,0.015732329025411388,500,-1,4,6383.0,1,6,511,2.1449509275265357e-12,6241.0,166,496656885.0,1.0753134908833286e-13
0.0002,0.015732329025411388,500,643,4,11259.0,1,8,643,3.0906489011568235e-12,6241.0,170,556107486.0,1.2040301869106502e-13
0.0002,0.015732329025411388,500,-1,0,10460.0,0,11,558,2.4025077757234078e-12,6241.0,140,454501232.0,2.473826349711824e-13
0.0002,0.015732329025411388,500,518,4,12209.0,0,8,518,3.01489591943479e-12,6241.0,155,195105690.0,4.224239851323124e-14
0.0002,0.015732329025411388,500,-1,0,5791.0,0,7,523,1.4484067256905003e-12,6241.0,179,188542516.0,6.55473130086782e-14
0.0002,0.015732329025411388,500,-1,0,6442.0,0,7,498,1.5966458426171633e-12,6241.0,173,253313760.0,8.56796777333921e-14
0.0002,0.015732329025411388,500,-1,0,9643.0,0,5,1177,2.1991053620761334e-12,6241.0,149,54080768.0,1.1709045255202978e-14
0.0002,0.015732329025411388,500,476,4,11267.0,0,14,476,3.0355317795955904e-12,6241.0,153,271778052.0,5.884275737798154e-14
0.0002,0.015732329025411388,500,519,4,12300.0,0,9,519,3.023562537414734e-12,6241.0,169,260252622.0,5.6347382655202503e-14
0.0002,0.015732329025411388,500,481,4,13801.0,0,12,481,3.0013571929616365e-12,6241.0,146,212318546.0,4.5969159750706504e-14
0.0002,0.015732329025411388,500,-1,4,12971.0,1,4,545,2.9612005422243296e-12,6241.0,161,553638031.0,1.1986835615907795e-13
0.0002,0.015732329025411388,500,-1,0,10777.0,0,3,1207,2.4097327310511994e-12,6241.0,173,67697905.0,1.46572961635351e-14
0.0002,0.015732329025411388,500,650,4,11375.0,0,7,650,3.0017452966159875e-12,6241.0,194,101440011.0,2.196281087367857e-14
0.0002,0.015732329025411388,500,-1,0,11649.0,0,10,521,2.7028107716197122e-12,6241.0,151,310427389.0,1.2159626907516417e-13
0.0002,0.015732329025411388,500,-1,0,1307.0,0,5,738,1.7644186112673202e-13,6241.0,190,7791961.0,1.6870400948406766e-15
0.0002,0.015732329025411388,500,535,4,14119.0,0,8,535,3.010884490623946e-12,6241.0,157,361047279.0,1.3992897022445598e-13
0.0002,0.015732329025411388,500,552,4,11968.0,0,10,552,3.007592349203973e-12,6241.0,152,138958737.0,3.008600284927255e-14
0.0002,0.015732329025411388,500,512,4,12970.0,0,11,512,3.00308178439266e-12,6241.0,141,180574712.0,3.9096291582864424e-14
0.0002,0.015732329025411388,500,610,4,12076.0,0,10,610,3.004851235466256e-12,6241.0,138,126580167.0,2.740591449836938e-14
0.0002,0.015732329025411388,500,594,4,12039.0,0,6,594,3.0106910520622976e-12,6241.0,169,118066962.0,2.5562717622692234e-14
0.0002,0.015732329025411388,500,-1,4,7456.0,1,10,486,2.2275550200762294e-12,6241.0,155,749129675.0,1.6219431770256105e-13
0.0002,0.015732329025411388,500,466,4,11935.0,0,15,466,3.017657996785803e-12,6241.0,138,250815912.0,5.4304237401602846e-14
0.0002,0.015732329025411388,500,557,4,11244.0,0,8,557,3.007103742967189e-12,6241.0,150,136337621.0,2.951850414320506e-14
0.0002,0.015732329025411388,500,846,4,21523.0,0,4,846,3.0032571025547286e-12,6241.0,24,20634205.0,1.1495707445076488e-14
0.0002,0.015732329025411388,500,-1,4,9798.0,1,10,463,2.8881371053751454e-12,6241.0,134,590173012.0,1.2777855717410389e-13
0.0002,0.015732329025411388,500,541,4,10356.0,0,5,541,3.000363596068385e-12,6241.0,188,155943185.0,3.376331139390421e-14
0.0002,0.015732329025411388,500,-1,4,5717.0,1,11,550,1.7303062330326614e-12,6241.0,162,504855523.0,1.0930643895712009e-13
0.0002,0.015732329025411388,500,498,4,10454.0,0,9,498,3.0540601049783725e-12,6241.0,176,398903297.0,1.4652430483450283e-13
0.0002,0.015732329025411388,500,521,4,10979.0,0,9,521,3.120183909882949e-12,6241.0,171,463970743.0,1.997148169644907e-13
0.0002,0.015732329025411388,500,520,4,10748.0,0,9,520,3.0155412014276877e-12,6241.0,159,142130890.0,3.077280676140317e-14
0.0002,0.015732329025411388,500,513,4,11024.0,0,10,513,3.005605489276404e-12,6241.0,164,221493025.0,4.795552928236531e-14
0.0002,0.015732329025411388,500,-1,0,10292.0,0,4,1324,2.760959946146945e-12,6241.0,237,63699429.0,1.3791584780962966e-14
0.0002,0.015732329025411388,500,489,4,11202.0,1,11,489,3.0765271396289092e-12,6241.0,157,592009607.0,1.281761989747988e-13
0.0002,0.015732329025411388,500,467,4,11482.0,0,9,467,3.0187617954915258e-12,6241.0,115,171957787.0,3.7230638255128946e-14
0.0002,0.015732329025411388,500,509,4,11824.0,0,6,509,3.0026006217812287e-12,6241.0,166,189716568.0,4.1075597897829276e-14
0.0002,0.015732329025411388,500,-1,0,8545.0,0,6,561,2.0820425433878313e-12,6241.0,166,369083488.0,1.5419131169707738e-13
0.0002,0.015732329025411388,500,-1,0,1645.0,0,6,828,4.0756293087498083e-13,6241.0,177,19251356.0,4.1681175575765365e-15
0.0002,0.015732329025411388,500,-1,0,8895.0,0,8,493,2.5749434709725448e-12,6241.0,132,440876715.0,2.5380565008729423e-13
0.0002,0.015732329025411388,500,-1,0,9088.0,0,9,517,2.5885819734194426e-12,6241.0,135,215833075.0,8.436213482763842e-14
0.0002,0.015732329025411388,500,-1,4,7933.0,1,8,519,2.1662277886213597e-12,6241.0,149,737407255.0,1.5965629260867746e-13
0.0002,0.015732329025411388,500,-1,0,6406.0,0,8,711,1.4271710730079418e-12,6241.0,165,440965992.0,1.6791942625650772e-13
0.0002,0.015732329025411388,500,529,4,21526.0,0,9,529,3.005168522703341e-12,6241.0,22,34540528.0,1.7385035841285682e-14
0.0002,0.015732329025411388,500,-1,4,9341.0,1,8,503,2.610457923593942e-12,6241.0,108,498655566.0,1.079640841833617e-13
0.0002,0.015732329025411388,500,-1,0,9448.0,0,11,485,2.381427310721422e-12,6241.0,128,476326162.0,1.9462345105205942e-13
0.0002,0.015732329025411388,500,423,4,20694.0,0,9,423,3.0040829957379042e-12,6241.0,24,43924148.0,2.127326918834819e-14
0.0002,0.015732329025411388,500,-1,4,9152.0,1,8,541,2.64188293548275e-12,6241.0,166,649375728.0,1.4059655711217674e-13
0.0002,0.015732329025411388,500,-1,4,7955.0,1,5,725,2.299531029215728e-12,6241.0,176,796821793.0,1.7252015419915983e-13
0.0002,0.015732329025411388,500,651,4,11396.0,0,5,651,3.0060545241355747e-12,6241.0,173,123381443.0,2.6713357690098756e-14
0.0002,0.015732329025411388,500,-1,0,10579.0,0,10,575,2.603310229979588e-12,6241.0,173,463774073.0,2.4087232916636253e-13
0.0002,0.015732329025411388,500,-1,4,7870.0,1,9,508,2.2534190367302674e-12,6241.0,156,566016286.0,1.2254837630922528e-13
0.0002,0.015732329025411388,500,-1,0,6877.0,0,15,512,1.6822626554919224e-12,6241.0,175,405467528.0,1.635489890998079e-13
0.0002,0.015732329025411388,500,550,4,11288.0,0,9,550,3.0034413833787103e-12,6241.0,165,151450933.0,3.2790692403623314e-14
0.0002,0.015732329025411388,500,522,4,11345.0,0,12,522,3.006791936256213e-12,6241.0,163,290156862.0,6.282195970785187e-14
0.0002,0.015732329025411388,500,755,4,11292.0,0,1,755,3.0016461877105866e-12,6241.0,210,83803511.0,1.8144326331384578e-14
0.0002,0.015732329025411388,500,-1,0,10482.0,0,6,670,2.899436303492477e-12,6241.0,201,240163455.0,7.834872933755884e-14
0.0002,0.015732329025411388,500,-1,0,3428.0,0,6,1082,1.0853527553816409e-12,6241.0,256,41908664.0,9.07365892734911e-15
0.0002,0.015732329025411388,500,501,4,9504.0,0,11,501,3.021748600611914e-12,6241.0,162,223714219.0,4.843644074180657e-14
0.0002,0.015732329025411388,500,-1,4,5771.0,1,6,547,2.419867041421941e-12,6241.0,163,790694283.0,1.7119348494971962e-13
0.0002,0.015732329025411388,500,520,4,7612.0,0,9,520,3.0166726638755652e-12,6241.0,162,157741878.0,3.4152747019840876e-14
