#eta	alpha	v	dl	dt	E
0	0.237044	-0.00188205	0.0379959	0.0514947	2498
0	0.237044	-0.00188205	0.0379959	0.0514947	4896
0	2.61356	-0.00261907	0.0319759	0.0441393	7294
0	10.6858	-0.00336082	0.0284797	0.0375466	9692
0	25.9937	-0.00403702	0.0250891	0.033778	12090
0	46.7857	-0.0047067	0.0241809	0.0317584	14488
0	75.3366	-0.00536964	0.0219849	0.028094	16886
0	108.402	-0.00600627	0.0208094	0.0270737	19284
0	146.408	-0.00664	0.0190917	0.0251737	21682
0	189.891	-0.00726198	0.0191153	0.0244707	24080
0	235.967	-0.0078716	0.0181671	0.0229532	26478
0	280.016	-0.0084839	0.0176707	0.0218115	28876
0	332.79	-0.00906676	0.0165054	0.0210379	31274
0	382.317	-0.00965891	0.0165822	0.0205478	33672
0	432.61	-0.0102799	0.0152609	0.0191614	36070
0	489.593	-0.0108592	0.0154181	0.0189418	38468
0	548.161	-0.0114402	0.0145964	0.0187887	40866
0	603.731	-0.0120217	0.0141106	0.0181193	43264
0	661.396	-0.0125921	0.0138202	0.0177173	45662
0	725.329	-0.0132039	0.0140796	0.0171945	48060
0	781.115	-0.0137725	0.0135625	0.0166405	50458
0	840.826	-0.0143419	0.0136771	0.0166322	52856
0	900.496	-0.0149385	0.0129726	0.0157222	55254
0	962.367	-0.0154923	0.0133472	0.0156209	57652
0	1022.46	-0.016071	0.0132002	0.0155856	60050
0	1083.92	-0.0166464	0.0130151	0.0158005	62448
0	1145.77	-0.0171976	0.0125963	0.0149778	64846
0	1205.95	-0.0177687	0.0127673	0.0151214	67244
0	1266.68	-0.0183308	0.011858	0.0145348	69642
0	1325.24	-0.018926	0.0117907	0.0138149	72040
0	1390.48	-0.019471	0.012002	0.0135186	74438
0	1442.57	-0.02006	0.0114156	0.0138417	76836
0	1510.19	-0.0206123	0.011957	0.0137256	79234
0	1576.68	-0.021202	0.0117311	0.0132678	81632
0	1634.65	-0.0217582	0.0113464	0.0133395	84030
0	1696.74	-0.022336	0.0109213	0.013044	86428
0	1751.74	-0.0229021	0.0113245	0.0127182	88826
0	1817.96	-0.0234869	0.0104332	0.0128311	91224
0	1883.17	-0.0240702	0.00965672	0.0129073	93622
0	1948.37	-0.0246534	0.00888028	0.0129835	96020
0	2013.58	-0.0252366	0.00810385	0.0130596	98418
0	2078.78	-0.0258198	0.00732741	0.0131358	100816
0	2143.99	-0.026403	0.00655098	0.013212	103214
0	2209.19	-0.0269863	0.00577454	0.0132882	105612
0	2274.4	-0.0275695	0.00499811	0.0133644	108010
0	2339.6	-0.0281527	0.00422168	0.0134405	110408
0	2404.81	-0.0287359	0.00344524	0.0135167	112806
0	2470.01	-0.0293191	0.00266881	0.0135929	115204
0	2535.22	-0.0299024	0.00189237	0.0136691	117602
0	2600.43	-0.0304856	0.00111594	0.0137453	120000
