Dx,Dt,iNstep,thrCrossTimeStep,avalStatus,computeTime,streamer,nCluster,size,finalChargesTot,ElecThr,ElecThrReachedTime,ElecMax,ChargeMax
0.0002,0.016824696986118316,500,491,0,71.0,0,4,646,2.2446178642882693e-15,12483.0,320,85159.0,1.8437803710328787e-17
0.0002,0.016824696986118316,500,398,0,518.0,0,9,833,8.513515445465842e-14,12483.0,280,2930502.0,6.344839729062804e-16
0.0002,0.016824696986118316,500,385,0,1651.0,0,7,933,2.7948769045338646e-13,12483.0,272,10396993.0,2.251056448662648e-15
0.0002,0.016824696986118316,500,455,0,3612.0,0,10,1205,8.579927325816501e-13,12483.0,301,36864148.0,7.981469072822713e-15
0.0002,0.016824696986118316,500,402,0,4085.0,0,8,1128,7.91257870555554e-13,12483.0,285,27420793.0,5.936885108039754e-15
0.0002,0.016824696986118316,500,386,0,2485.0,0,8,1064,4.942521876451069e-13,12483.0,274,13993506.0,3.0297386870126256e-15
0.0002,0.016824696986118316,500,407,0,4901.0,0,8,1122,7.285012040862612e-13,12483.0,290,21466106.0,4.647633824412111e-15
0.0002,0.016824696986118316,500,-1,0,21.0,0,4,387,6.644334146757037e-17,12483.0,-1,3077.0,6.662023041214867e-19
0.0002,0.016824696986118316,500,375,0,7422.0,0,4,1239,1.3969266807232488e-12,12483.0,255,42323653.0,9.163508335209058e-15
0.0002,0.016824696986118316,500,-1,0,66.0,0,4,578,1.511634029554253e-16,12483.0,-1,6459.0,1.398440260747703e-18
0.0002,0.016824696986118316,500,343,0,7588.0,0,8,1253,1.8397315582483474e-12,12483.0,230,74416053.0,1.6111844644857543e-14
0.0002,0.016824696986118316,500,393,0,7915.0,0,11,1248,1.6074391292595677e-12,12483.0,279,46677714.0,1.0106207545636585e-14
0.0002,0.016824696986118316,500,449,0,2203.0,0,7,1060,3.790133689435294e-13,12483.0,335,14269607.0,3.0895174073149484e-15
0.0002,0.016824696986118316,500,394,0,4470.0,0,6,1241,9.134716372852047e-13,12483.0,265,24916422.0,5.3946629011580425e-15
0.0002,0.016824696986118316,500,419,0,1296.0,0,8,874,1.0165214753007324e-13,12483.0,304,3280600.0,7.102838085475946e-16
0.0002,0.016824696986118316,500,326,0,1635.0,0,5,879,2.9060496597733656e-13,12483.0,213,11579976.0,2.507184495570854e-15
0.0002,0.016824696986118316,500,359,0,2395.0,0,7,969,4.754843583120398e-13,12483.0,244,20215539.0,4.376873142950203e-15
0.0002,0.016824696986118316,500,425,0,2362.0,0,6,1027,4.607889820940851e-13,12483.0,311,16474045.0,3.566801019564854e-15
0.0002,0.016824696986118316,500,413,0,3804.0,0,7,1140,7.967344159337337e-13,12483.0,288,31149572.0,6.744204302501835e-15
0.0002,0.016824696986118316,500,422,0,2821.0,0,10,1097,5.288028726517829e-13,12483.0,305,17108353.0,3.704135257823771e-15
0.0002,0.016824696986118316,500,396,0,1136.0,0,6,898,1.7952153792276175e-13,12483.0,270,5938224.0,1.2856868739647423e-15
0.0002,0.016824696986118316,500,273,4,12520.0,1,11,880,3.152670672438132e-12,12483.0,159,111998071.0,2.4248739992642797e-14
0.0002,0.016824696986118316,500,329,0,5843.0,0,11,1163,1.1834561445644977e-12,12483.0,214,35720701.0,7.733900978561809e-15
0.0002,0.016824696986118316,500,411,0,3785.0,0,5,1177,6.478871154107287e-13,12483.0,296,17587696.0,3.807917971851886e-15
0.0002,0.016824696986118316,500,408,0,1452.0,0,12,969,1.7638090480671167e-13,12483.0,279,5948430.0,1.287896578454785e-15
0.0002,0.016824696986118316,500,330,4,15917.0,1,7,1046,3.433515137903195e-12,12483.0,216,105615211.0,2.286678482888429e-14
0.0002,0.016824696986118316,500,433,0,6100.0,0,4,1207,1.0495862093834488e-12,12483.0,320,34052703.0,7.37276217099924e-15
0.0002,0.016824696986118316,500,427,0,1868.0,0,10,1018,2.2639865152167154e-13,12483.0,285,4990025.0,1.0803919898029968e-15
0.0002,0.016824696986118316,500,356,0,5779.0,0,11,1198,9.573058585446535e-13,12483.0,243,32854933.0,7.113432585751403e-15
0.0002,0.016824696986118316,500,381,0,8936.0,0,9,1315,1.5980199129075006e-12,12483.0,257,32520985.0,7.041129392037799e-15
0.0002,0.016824696986118316,500,461,0,399.0,0,5,833,3.135961559132508e-14,12483.0,317,1114903.0,2.4138802322780556e-16
0.0002,0.016824696986118316,500,389,0,9606.0,0,12,1209,1.656712225696843e-12,12483.0,276,55767352.0,1.2074208123871944e-14
0.0002,0.016824696986118316,500,391,0,901.0,0,10,872,1.1228321445269975e-13,12483.0,268,3706993.0,8.026023002802152e-16
0.0002,0.016824696986118316,500,430,0,1862.0,0,8,1023,2.8130658426034813e-13,12483.0,309,10129863.0,2.1932200425853096e-15
0.0002,0.016824696986118316,500,372,0,4322.0,0,7,1183,5.420487351197697e-13,12483.0,258,19736039.0,4.2730564367993246e-15
