Dx,Dt,iNstep,thrCrossTimeStep,avalStatus,computeTime,streamer,nCluster,size,finalChargesTot,ElecThr,ElecThrReachedTime,ElecMax,ChargeMax
0.0002,0.015944976277389097,500,-1,4,8969.0,1,6,562,2.1775147248923187e-12,6241.0,164,725111098.0,1.569940475241017e-13
0.0002,0.015944976277389097,500,-1,0,9828.0,0,10,563,2.647325827576842e-12,6241.0,138,297184452.0,1.277517713813654e-13
0.0002,0.015944976277389097,500,538,4,10558.0,0,12,538,3.0165977666715132e-12,6241.0,176,170722980.0,3.69632897765637e-14
0.0002,0.015944976277389097,500,-1,4,12430.0,1,10,923,2.8566429781908124e-12,6241.0,177,554488017.0,1.200523869136023e-13
0.0002,0.015944976277389097,500,-1,0,2111.0,0,10,866,5.806012895729315e-13,6241.0,166,23563794.0,5.101804958285362e-15
0.0002,0.015944976277389097,500,532,4,13051.0,0,9,532,3.014891109008142e-12,6241.0,168,171780839.0,3.719232718418008e-14
0.0002,0.015944976277389097,500,955,4,13146.0,1,8,955,3.1394540953747112e-12,6241.0,172,692043187.0,1.4983450299999254e-13
0.0002,0.015944976277389097,500,747,4,13351.0,0,5,747,3.0007189384612303e-12,6241.0,169,87710455.0,1.899022008987454e-14
0.0002,0.015944976277389097,500,613,4,13367.0,0,9,613,3.001620065955047e-12,6241.0,181,108144034.0,2.341430114650386e-14
0.0002,0.015944976277389097,500,-1,0,7431.0,0,4,1149,1.6766775654713785e-12,6241.0,211,52554296.0,1.1378548289464621e-14
0.0002,0.015944976277389097,500,-1,0,11112.0,0,8,586,2.9358273380473998e-12,6241.0,169,362520362.0,1.3910846273589205e-13
0.0002,0.015944976277389097,500,582,4,8840.0,0,6,582,3.004783981510088e-12,6241.0,164,126780859.0,2.7449366390738145e-14
0.0002,0.015944976277389097,500,628,4,13011.0,0,8,628,3.004324821761562e-12,6241.0,185,155578889.0,3.3684437544511206e-14
0.0002,0.015944976277389097,500,580,4,12575.0,0,9,580,3.026854266382514e-12,6241.0,179,159788165.0,3.4595789305929246e-14
0.0002,0.015944976277389097,500,-1,0,12057.0,0,5,670,2.8300467136206724e-12,6241.0,185,370854858.0,1.490910954916381e-13
0.0002,0.015944976277389097,500,548,4,12448.0,0,8,548,3.00429969617008e-12,6241.0,170,150049035.0,3.248716699649189e-14
0.0002,0.015944976277389097,500,599,4,12565.0,1,6,599,3.1293075937399593e-12,6241.0,171,716298099.0,1.5508594214872952e-13
0.0002,0.015944976277389097,500,-1,0,2470.0,0,6,920,5.985519300878634e-13,6241.0,201,36046837.0,7.80451279352995e-15
0.0002,0.015944976277389097,500,610,4,10094.0,0,12,610,3.019042507204546e-12,6241.0,158,150372134.0,3.2557121269569356e-14
0.0002,0.015944976277389097,500,-1,0,9244.0,0,6,610,2.216223059831351e-12,6241.0,193,325935657.0,1.3172239535520972e-13
0.0002,0.015944976277389097,500,590,4,13957.0,0,10,590,3.1484221505195983e-12,6241.0,186,392872262.0,1.6818584135901416e-13
0.0002,0.015944976277389097,500,-1,4,5392.0,1,6,754,2.7963821235786693e-12,6241.0,206,592554853.0,1.282942503695054e-13
0.0002,0.015944976277389097,500,660,4,13367.0,0,8,660,3.0041758208638403e-12,6241.0,203,113246628.0,2.4519065488329182e-14
0.0002,0.015944976277389097,500,-1,0,7998.0,0,3,1203,1.8801286640658465e-12,6241.0,226,54724928.0,1.1848512553292968e-14
0.0002,0.015944976277389097,500,-1,0,31.0,0,2,337,3.243801157233973e-17,6241.0,-1,1818.0,3.936157909954055e-19
0.0002,0.015944976277389097,500,-1,0,2487.0,0,8,891,5.318187826071189e-13,6241.0,161,19586088.0,4.24059049539363e-15
0.0002,0.015944976277389097,500,661,4,12845.0,0,7,661,3.0006767215438142e-12,6241.0,204,114878869.0,2.487246253580449e-14
0.0002,0.015944976277389097,500,654,4,13323.0,0,6,654,3.002333547621259e-12,6241.0,187,128927717.0,2.7914183337836504e-14
0.0002,0.015944976277389097,500,574,4,13680.0,0,12,574,3.0375527721611336e-12,6241.0,171,198202330.0,4.291285308035343e-14
0.0002,0.015944976277389097,500,-1,0,9441.0,0,5,658,1.9386049575645484e-12,6241.0,227,398475721.0,1.6574999268897544e-13
