Dx,Dt,iNstep,thrCrossTimeStep,avalStatus,computeTime,streamer,nCluster,size,finalChargesTot,ElecThr,ElecThrReachedTime,ElecMax,ChargeMax
0.0002,0.0197889564045033,500,-1,0,1428.0,0,5,1009,3.934734393466177e-13,12483.0,305,16802669.0,3.637951512249163e-15
0.0002,0.0197889564045033,500,-1,0,3290.0,0,10,1095,7.005967775702099e-13,12483.0,248,17932638.0,3.882601480200368e-15
0.0002,0.0197889564045033,500,-1,4,3570.0,1,9,685,1.2084464402525894e-12,12483.0,272,100180093.0,2.1690025604063967e-14
0.0002,0.0197889564045033,500,-1,0,3829.0,0,9,1132,8.880141997620256e-13,12483.0,263,27353119.0,5.922232987555807e-15
0.0002,0.0197889564045033,500,-1,0,4554.0,0,5,1196,1.194979513153602e-12,12483.0,286,46062830.0,9.973078804145709e-15
0.0002,0.0197889564045033,500,-1,0,824.0,0,4,1031,2.636589668485672e-13,12483.0,400,10072252.0,2.180746665613342e-15
0.0002,0.0197889564045033,500,-1,0,5628.0,0,9,1211,1.3967268170008689e-12,12483.0,225,48380606.0,1.047490126486637e-14
0.0002,0.0197889564045033,500,-1,0,259.0,0,4,756,6.828446092657279e-15,12483.0,312,264559.0,5.727975800327474e-17
0.0002,0.0197889564045033,500,-1,0,6378.0,0,11,1244,1.5541775162177626e-12,12483.0,267,48659869.0,1.0535364590851375e-14
0.0002,0.0197889564045033,500,-1,4,132.0,1,11,41,8.407739017658959e-14,12483.0,22,264792372.0,5.886521729420516e-14
0.0002,0.0197889564045033,500,-1,0,7142.0,0,9,1209,1.8007069309371926e-12,12483.0,232,51849219.0,1.1225891831231577e-14
0.0002,0.0197889564045033,500,-1,0,2326.0,0,18,997,4.320711717125466e-13,12483.0,249,11984147.0,2.5946916946150797e-15
0.0002,0.0197889564045033,500,-1,0,1823.0,0,8,1085,5.49766947542869e-13,12483.0,304,18555236.0,4.017400382423774e-15
0.0002,0.0197889564045033,500,-1,0,6521.0,0,10,1113,1.404091880930358e-12,12483.0,249,34416341.0,7.451493556591094e-15
0.0002,0.0197889564045033,500,-1,0,312.0,0,6,771,3.0772418125349895e-14,12483.0,342,1256471.0,2.7203895848613206e-16
0.0002,0.0197889564045033,500,-1,0,1354.0,0,4,1037,3.3317188880217485e-13,12483.0,311,11391551.0,2.466388535494776e-15
0.0002,0.0197889564045033,500,-1,0,5233.0,0,12,1140,9.454642723735252e-13,12483.0,227,23859582.0,5.165846117574115e-15
0.0002,0.0197889564045033,500,-1,0,6277.0,0,10,1278,1.7556645166162864e-12,12483.0,263,50432038.0,1.0919057496633858e-14
0.0002,0.0197889564045033,500,-1,0,2582.0,0,12,1021,6.457432140410897e-13,12483.0,238,20191592.0,4.371688369932069e-15
0.0002,0.0197889564045033,500,-1,0,1459.0,0,10,932,3.259781165920558e-13,12483.0,259,12622997.0,2.733009322820478e-15
0.0002,0.0197889564045033,500,-1,0,9414.0,0,15,1164,1.8010553183685075e-12,12483.0,247,50964429.0,1.1034325650970399e-14
0.0002,0.0197889564045033,500,-1,0,6089.0,0,9,1244,1.8012427792962904e-12,12483.0,225,51753404.0,1.1205146893379968e-14
0.0002,0.0197889564045033,500,-1,0,3936.0,0,5,1155,6.545421689842252e-13,12483.0,318,23934159.0,5.181992808908033e-15
0.0002,0.0197889564045033,500,-1,0,7814.0,0,8,1281,1.9874543276853644e-12,12483.0,215,44332553.0,9.598455949362342e-15
0.0002,0.0197889564045033,500,-1,0,7938.0,0,13,1363,2.1293378317616706e-12,12483.0,242,68410489.0,1.4811577964861114e-14
0.0002,0.0197889564045033,500,-1,0,1980.0,0,5,1085,4.394330014106365e-13,12483.0,306,17462028.0,3.780709550937249e-15
0.0002,0.0197889564045033,500,-1,0,8121.0,0,9,1334,2.0118601229767436e-12,12483.0,243,44680986.0,9.673895295294076e-15
0.0002,0.0197889564045033,500,-1,0,7781.0,0,11,1248,2.220714210810365e-12,12483.0,262,67653492.0,1.464768028997873e-14
0.0002,0.0197889564045033,500,-1,0,2765.0,0,11,1087,6.985700593888305e-13,12483.0,276,27054589.0,5.8575981569255194e-15
0.0002,0.0197889564045033,500,-1,0,8581.0,0,12,1340,2.2710156785154987e-12,12483.0,248,70761447.0,1.5320584671553603e-14
0.0002,0.0197889564045033,500,-1,0,4424.0,0,9,1156,1.0338999998101704e-12,12483.0,283,33100595.0,7.166620947933753e-15
0.0002,0.0197889564045033,500,-1,0,7449.0,0,10,1251,1.7536902086589427e-12,12483.0,247,52659894.0,1.1401411347934105e-14
0.0002,0.0197889564045033,500,-1,0,8133.0,0,12,1293,1.7829561680013065e-12,12483.0,269,59627307.0,1.2909928278179807e-14
0.0002,0.0197889564045033,500,-1,0,5586.0,0,7,1201,1.4726686715145827e-12,12483.0,279,50627950.0,1.0961474469596174e-14
0.0002,0.0197889564045033,500,-1,0,8447.0,0,6,1359,2.0449760123895865e-12,12483.0,326,53013185.0,1.1477902501078525e-14
0.0002,0.0197889564045033,500,-1,0,5844.0,0,11,1201,1.1889224721703853e-12,12483.0,223,46403637.0,1.0046867042254492e-14
0.0002,0.0197889564045033,500,-1,0,7990.0,0,14,1272,2.0144750809048584e-12,12483.0,284,57422246.0,1.2432509779990515e-14
0.0002,0.0197889564045033,500,-1,0,11255.0,0,13,1157,2.488328256840173e-12,12483.0,245,67855844.0,1.4691491589505403e-14
0.0002,0.0197889564045033,500,-1,0,9700.0,0,17,1320,2.364930135486604e-12,12483.0,264,87051579.0,1.8847566625678788e-14
0.0002,0.0197889564045033,500,-1,0,6137.0,0,9,1202,1.340946816785681e-12,12483.0,246,38768897.0,8.393866918962817e-15
0.0002,0.0197889564045033,500,-1,0,702.0,0,5,865,1.352954258101644e-13,12483.0,299,4796346.0,1.0384584844211492e-15
0.0002,0.0197889564045033,500,-1,0,8214.0,0,9,1243,1.9695463171895718e-12,12483.0,248,53414229.0,1.1564732672301822e-14
0.0002,0.0197889564045033,500,-1,0,10135.0,0,8,1247,2.391033099009828e-12,12483.0,212,80436477.0,1.7415328668448143e-14
0.0002,0.0197889564045033,500,-1,0,255.0,0,7,747,1.0175691774774423e-14,12483.0,373,409300.0,8.861768055798651e-17
0.0002,0.0197889564045033,500,-1,0,8721.0,0,8,1308,2.2292542529506466e-12,12483.0,288,62873361.0,1.361273252065714e-14
0.0002,0.0197889564045033,500,-1,0,4465.0,0,10,1186,1.2102236571189148e-12,12483.0,237,44305173.0,9.592527896360441e-15
0.0002,0.0197889564045033,500,-1,0,7598.0,0,11,1352,1.7785478201012667e-12,12483.0,278,42483901.0,9.198203683545377e-15
0.0002,0.0197889564045033,500,-1,0,7998.0,0,7,1333,1.858104827372325e-12,12483.0,286,58211668.0,1.260342780252032e-14
0.0002,0.0197889564045033,500,-1,0,7148.0,0,8,1306,1.6349530397631057e-12,12483.0,316,40004155.0,8.661313043689663e-15
0.0002,0.0197889564045033,500,-1,0,7388.0,0,7,1295,1.7826162229575157e-12,12483.0,316,51757899.0,1.1206120107340655e-14
0.0002,0.0197889564045033,500,-1,0,12012.0,0,11,1235,2.738407419359062e-12,12483.0,260,72045347.0,1.559856229204812e-14
0.0002,0.0197889564045033,500,-1,0,10389.0,0,8,1211,2.6592373944353133e-12,12483.0,274,77138739.0,1.6701334305760802e-14
0.0002,0.0197889564045033,500,-1,0,792.0,0,9,872,1.311660590560294e-13,12483.0,325,5016926.0,1.086216334353914e-15
0.0002,0.0197889564045033,500,-1,0,8732.0,0,9,1149,2.0680207594047862e-12,12483.0,241,56225390.0,1.2173378085189862e-14
0.0002,0.0197889564045033,500,-1,0,7831.0,0,13,1282,1.840873805076057e-12,12483.0,284,55657553.0,1.2050435505480586e-14
0.0002,0.0197889564045033,500,-1,0,4821.0,0,10,1104,9.820650084474752e-13,12483.0,264,37530353.0,8.125709341271614e-15
0.0002,0.0197889564045033,500,-1,0,7006.0,0,8,1329,1.5592210450374768e-12,12483.0,243,49745307.0,1.0770373137026564e-14
0.0002,0.0197889564045033,500,-1,0,3962.0,0,10,1127,8.982705399049078e-13,12483.0,237,25403398.0,5.500098238581462e-15
0.0002,0.0197889564045033,500,-1,0,8988.0,0,10,1234,2.0512367967438962e-12,12483.0,228,80914629.0,1.751885351866599e-14
0.0002,0.0197889564045033,500,-1,0,10417.0,0,11,1267,2.5075133044055045e-12,12483.0,205,76096804.0,1.647574460873616e-14
0.0002,0.0197889564045033,500,-1,0,9227.0,0,12,1182,2.18885107445124e-12,12483.0,243,71349378.0,1.5447877809956097e-14
0.0002,0.0197889564045033,500,-1,0,11557.0,0,16,1311,2.5120449051445637e-12,12483.0,216,60268369.0,1.304872482724861e-14
0.0002,0.0197889564045033,500,-1,0,6616.0,0,10,1280,1.6012444738737192e-12,12483.0,261,47020505.0,1.018042534025216e-14
0.0002,0.0197889564045033,500,-1,0,718.0,0,5,790,1.2616650911484058e-13,12483.0,229,4191078.0,9.074117063220253e-16
0.0002,0.0197889564045033,500,-1,0,10602.0,0,9,1331,2.511016485378385e-12,12483.0,292,71125716.0,1.5399452675167527e-14
0.0002,0.0197889564045033,500,-1,0,7602.0,0,8,1299,1.947170239830281e-12,12483.0,285,66754056.0,1.4452943099335307e-14
0.0002,0.0197889564045033,500,-1,0,1519.0,0,13,983,3.2428730661924333e-13,12483.0,258,9458566.0,2.0478773035050866e-15
0.0002,0.0197889564045033,500,-1,0,7458.0,0,8,1272,1.9141224180194447e-12,12483.0,299,59594353.0,1.2902793396564589e-14
0.0002,0.0197889564045033,500,-1,0,3107.0,0,10,1206,1.176105578167112e-12,12483.0,305,40823343.0,8.838675712883243e-15
0.0002,0.0197889564045033,500,-1,0,6006.0,0,9,1260,1.5265872182695277e-12,12483.0,282,55898794.0,1.210266667546712e-14
0.0002,0.0197889564045033,500,-1,0,6289.0,0,7,1300,2.179362687810023e-12,12483.0,303,66875475.0,1.4479231567831935e-14
0.0002,0.0197889564045033,500,-1,0,5646.0,0,11,1335,2.4428999864587246e-12,12483.0,230,65353262.0,1.4149656719614941e-14
