Dx,Dt,iNstep,thrCrossTimeStep,avalStatus,computeTime,streamer,nCluster,size,finalChargesTot,ElecThr,ElecThrReachedTime,ElecMax,ChargeMax
0.0002,0.02033980507851926,500,-1,0,319.0,0,6,858,2.168154186305497e-14,6241.0,308,572743.0,1.2400477941808662e-16
0.0002,0.02033980507851926,500,-1,0,555.0,0,6,872,2.067842262870963e-14,6241.0,342,720874.0,1.5607667201211324e-16
0.0002,0.02033980507851926,500,-1,0,660.0,0,9,897,3.57116294505071e-14,6241.0,317,1245023.0,2.6956034815867585e-16
0.0002,0.02033980507851926,500,-1,0,846.0,0,8,927,7.957592464516906e-14,6241.0,297,2398505.0,5.193011236421535e-16
0.0002,0.02033980507851926,500,-1,0,2556.0,0,8,1262,7.61396757641898e-13,6241.0,300,30247110.0,6.5488119515814315e-15
0.0002,0.02033980507851926,500,-1,0,2622.0,0,9,1250,4.373057003214845e-13,6241.0,292,15061815.0,3.2610386276410685e-15
0.0002,0.02033980507851926,500,-1,0,3476.0,0,10,1281,7.550969024818738e-13,6241.0,310,15824650.0,3.42620028986548e-15
0.0002,0.02033980507851926,500,-1,0,3452.0,0,12,1177,5.075492918308454e-13,6241.0,294,14075270.0,3.0474414381319583e-15
0.0002,0.02033980507851926,500,-1,0,3971.0,0,9,1182,6.654973265482571e-13,6241.0,310,16765715.0,3.6299505892896225e-15
0.0002,0.02033980507851926,500,-1,0,1890.0,0,6,1174,2.9637454012504593e-13,6241.0,433,9095965.0,1.9693704391317507e-15
0.0002,0.02033980507851926,500,-1,0,3058.0,0,11,1260,6.420360372460647e-13,6241.0,293,18487081.0,4.0026441204681676e-15
0.0002,0.02033980507851926,500,-1,0,677.0,0,7,950,5.266935356417243e-14,6241.0,308,1296426.0,2.8068962896425166e-16
0.0002,0.02033980507851926,500,-1,0,128.0,0,4,747,2.125128624439491e-15,6241.0,353,62281.0,1.3484480241465812e-17
0.0002,0.02033980507851926,500,-1,0,1792.0,0,10,1073,2.6038577008300357e-13,6241.0,282,7979405.0,1.7276236582770593e-15
0.0002,0.02033980507851926,500,-1,0,5473.0,0,13,1260,1.017019296650442e-12,6241.0,298,28432209.0,6.15586712611754e-15
0.0002,0.02033980507851926,500,-1,0,5594.0,0,8,1196,7.031720645259561e-13,6241.0,267,17348976.0,3.756232624422611e-15
0.0002,0.02033980507851926,500,-1,0,2379.0,0,4,1239,5.689661877937488e-13,6241.0,371,16803483.0,3.638127751662734e-15
0.0002,0.02033980507851926,500,-1,0,2326.0,0,13,1144,4.857217031370959e-13,6241.0,300,13703909.0,2.9670379432145527e-15
0.0002,0.02033980507851926,500,-1,0,2482.0,0,4,1171,4.482688549112889e-13,6241.0,384,15204647.0,3.2919632319642023e-15
0.0002,0.02033980507851926,500,-1,0,2250.0,0,7,1234,6.416200503080835e-13,6241.0,333,13599460.0,2.94442365512122e-15
0.0002,0.02033980507851926,500,-1,0,2176.0,0,8,1366,6.205824682093048e-13,6241.0,330,24038064.0,5.204489315378536e-15
0.0002,0.02033980507851926,500,-1,0,1914.0,0,10,1144,5.353912930042465e-13,6241.0,237,18334386.0,3.969584074700269e-15
0.0002,0.02033980507851926,500,-1,0,6273.0,0,11,1302,1.2871869127832479e-12,6241.0,281,34869404.0,7.549586378986997e-15
0.0002,0.02033980507851926,500,-1,0,1302.0,0,9,1081,3.587348510815473e-13,6241.0,312,11036131.0,2.389436431844838e-15
0.0002,0.02033980507851926,500,-1,0,4854.0,0,8,1288,1.4211532647801788e-12,6241.0,261,37621484.0,8.145440144709015e-15
0.0002,0.02033980507851926,500,-1,0,1029.0,0,11,1054,2.649019648125873e-13,6241.0,316,9276464.0,2.0084503382840493e-15
0.0002,0.02033980507851926,500,-1,0,6035.0,0,16,1244,1.1814544144905373e-12,6241.0,259,35736805.0,7.737387661014062e-15
0.0002,0.02033980507851926,500,-1,0,5402.0,0,11,1244,7.171917962075217e-13,6241.0,270,16338237.0,3.5373971838423537e-15
0.0002,0.02033980507851926,500,-1,0,4558.0,0,8,1325,1.1323913906710082e-12,6241.0,316,37738014.0,8.170670094172543e-15
0.0002,0.02033980507851926,500,-1,0,1447.0,0,7,1193,3.966846953196636e-13,6241.0,308,7784261.0,1.6853729652528523e-15
0.0002,0.02033980507851926,500,-1,0,2586.0,0,8,1212,8.030297109530602e-13,6241.0,109,26980583.0,5.841575092993505e-15
0.0002,0.02033980507851926,500,-1,0,2409.0,0,15,1041,2.129740744939516e-13,6241.0,302,5631377.0,1.219251326869271e-15
0.0002,0.02033980507851926,500,-1,0,972.0,0,8,1065,2.701946747285677e-13,6241.0,252,8257981.0,1.7879382416611824e-15
0.0002,0.02033980507851926,500,-1,0,2409.0,0,4,1258,7.266512326021688e-13,6241.0,318,27423198.0,5.9374058153980335e-15
0.0002,0.02033980507851926,500,-1,0,2054.0,0,9,1139,4.594612086419308e-13,6241.0,309,16149644.0,3.4965648500298155e-15
0.0002,0.02033980507851926,500,-1,0,1096.0,0,10,1078,3.8254642531164376e-13,6241.0,269,10892960.0,2.358438430517773e-15
