Dx,Dt,iNstep,thrCrossTimeStep,avalStatus,computeTime,streamer,nCluster,size,finalChargesTot
0.0002,0.017648654809150028,500,-1,0,247.0,0,3,439,1.8537183957310602e-15
0.0002,0.017648654809150028,500,-1,8,12203.0,0,10,1,9.62361684047256e-13
0.0002,0.017648654809150028,500,-1,8,13547.0,0,6,1,9.172141442801736e-13
0.0002,0.017648654809150028,500,-1,8,13763.0,0,5,1,1.041831858819611e-12
0.0002,0.017648654809150028,500,-1,8,14175.0,0,7,1,1.1934199810836714e-12
0.0002,0.017648654809150028,500,-1,8,15452.0,0,8,1,1.1995334992318974e-12
0.0002,0.017648654809150028,500,-1,8,16879.0,0,6,1,1.4474863213450542e-12
0.0002,0.017648654809150028,500,-1,8,18739.0,0,13,1,1.7134414111550714e-12
0.0002,0.017648654809150028,500,-1,8,18770.0,0,10,1,1.8273852831441364e-12
0.0002,0.017648654809150028,500,-1,8,21876.0,1,10,1,1.6542048881176403e-12
0.0002,0.017648654809150028,500,-1,8,22527.0,1,6,1,2.4909810777386187e-12
0.0002,0.017648654809150028,500,-1,8,23941.0,0,10,1,2.3833880877462338e-12
0.0002,0.017648654809150028,500,-1,8,25318.0,1,10,1,2.929799095710218e-12
