Dx,Dt,iNstep,thrCrossTimeStep,avalStatus,computeTime,streamer,nCluster,size,finalChargesTot,ElecThr,ElecThrReachedTime,ElecMax,ChargeMax
0.0002,0.018475350469785268,500,432,0,5845.0,0,5,790,3.1698269605626297e-13,18724528.0,-1,13082478.0,2.8324917085533495e-15
0.0002,0.018475350469785268,500,461,0,12715.0,0,4,970,7.796646052851209e-13,18724528.0,477,45003721.0,9.743770758609209e-15
0.0002,0.018475350469785268,500,377,4,15478.0,1,8,461,1.2007247101860604e-12,18724528.0,384,536734320.0,1.1620852800945063e-13
0.0002,0.018475350469785268,500,356,4,17915.0,1,8,500,1.4716612378787697e-12,18724528.0,388,970673727.0,2.101608948578456e-13
0.0002,0.018475350469785268,500,378,4,19043.0,1,14,461,1.5538450732571237e-12,18724528.0,385,1275955118.0,2.762574714225555e-13
0.0002,0.018475350469785268,500,376,4,19432.0,1,6,540,2.208645557475672e-12,18724528.0,408,3843671645.0,8.32194639644272e-13
0.0002,0.018475350469785268,500,390,4,19854.0,1,11,489,2.590889941125517e-12,18724528.0,401,5767477137.0,1.2487184132718216e-12
0.0002,0.018475350469785268,500,372,4,20206.0,1,11,461,1.7473220449209047e-12,18724528.0,380,1513206365.0,3.276248186461813e-13
0.0002,0.018475350469785268,500,372,4,22816.0,1,11,475,1.7677970970093198e-12,18724528.0,379,784052815.0,1.6975553848096777e-13
0.0002,0.018475350469785268,500,370,4,23388.0,1,11,482,2.0144969311279755e-12,18724528.0,377,1873783876.0,4.056935767360708e-13
0.0002,0.018475350469785268,500,364,0,19441.0,0,12,1023,1.2452748951862137e-12,18724528.0,379,46184863.0,9.99950020998869e-15
0.0002,0.018475350469785268,500,365,4,25299.0,1,9,460,2.0234491143331426e-12,18724528.0,372,1064768363.0,2.3053335612163256e-13
0.0002,0.018475350469785268,500,392,4,28173.0,1,8,509,2.358786590396729e-12,18724528.0,406,1640473085.0,3.551793789653179e-13
0.0002,0.018475350469785268,500,362,4,30070.0,1,10,460,2.2976541015452614e-12,18724528.0,367,541839384.0,1.17313827131806e-13
0.0002,0.018475350469785268,500,363,4,30730.0,1,10,545,2.239474239925548e-12,18724528.0,375,505563223.0,1.0945966332196453e-13
0.0002,0.018475350469785268,500,430,0,13143.0,0,7,915,8.846541208627578e-13,18724528.0,511,40373477.0,8.741275074031796e-15
0.0002,0.018475350469785268,500,408,4,12352.0,1,6,510,1.9869201261038877e-12,18724528.0,437,5163289854.0,1.1179056215735755e-12
0.0002,0.018475350469785268,500,396,4,18882.0,1,4,511,1.501816643332783e-12,18724528.0,406,657076392.0,1.4226383046286417e-13
0.0002,0.018475350469785268,500,381,4,39085.0,1,11,539,2.9334387602955485e-12,18724528.0,389,546482068.0,1.1831901620496413e-13
0.0002,0.018475350469785268,500,404,0,16547.0,0,8,932,1.1813148915492877e-12,18724528.0,414,72017431.0,1.5592518189506068e-14
0.0002,0.018475350469785268,500,369,4,40104.0,1,4,535,3.3320028644941293e-12,18724528.0,375,2013769377.0,4.360018846040591e-13
0.0002,0.018475350469785268,500,351,4,41077.0,1,10,468,3.0521797612078242e-12,18724528.0,356,611812640.0,1.324637603050535e-13
0.0002,0.018475350469785268,500,369,8,42261.0,0,7,1,2.8371939423873342e-12,18724528.0,375,471782948.0,5.521204727043293e-14
0.0002,0.018475350469785268,500,342,4,23901.0,1,9,431,2.0517188115400102e-12,18724528.0,347,1610377985.0,3.4866347874992414e-13
0.0002,0.018475350469785268,500,376,4,18563.0,1,8,477,1.7348286078332792e-12,18724528.0,388,1699968620.0,3.680607772434917e-13
0.0002,0.018475350469785268,500,349,4,44409.0,1,11,515,5.52783381215057e-12,18724528.0,354,10880282658.0,2.355693654940738e-12
0.0002,0.018475350469785268,500,383,4,45165.0,1,10,548,3.976245898551975e-12,18724528.0,400,3441317258.0,7.450807560912057e-13
0.0002,0.018475350469785268,500,452,0,45851.0,0,6,1264,3.2210762180692173e-12,18724528.0,470,102905630.0,2.2280132535935387e-14
0.0002,0.018475350469785268,500,355,4,46096.0,1,11,493,3.4778618986684878e-12,18724528.0,360,530378095.0,1.1483233959849364e-13
0.0002,0.018475350469785268,500,335,4,46138.0,1,16,491,4.432169330900464e-12,18724528.0,340,4749199251.0,1.0282507259500299e-12
0.0002,0.018475350469785268,500,419,4,20842.0,1,10,572,1.7854384479624435e-12,18724528.0,429,1208964238.0,2.61753253479388e-13
0.0002,0.018475350469785268,500,369,4,28647.0,1,5,512,2.280683408678976e-12,18724528.0,377,710546822.0,1.5384073123256408e-13
0.0002,0.018475350469785268,500,345,4,23861.0,1,10,470,1.8985717300598923e-12,18724528.0,357,584142021.0,1.2647278528579192e-13
0.0002,0.018475350469785268,500,384,4,15604.0,1,12,476,1.4136288403664103e-12,18724528.0,392,968563482.0,2.0970400500368216e-13
0.0002,0.018475350469785268,500,367,4,48395.0,1,11,565,4.037884376822089e-12,18724528.0,371,2393929485.0,5.183104773517592e-13
0.0002,0.018475350469785268,500,340,4,21544.0,1,5,436,2.1023181888071833e-12,18724528.0,347,1219264110.0,2.639832822277002e-13
